Account Number,Balance Date,Transaction Value,Balance
10295384,04/02/2023,55.98,220.47
10295384,04/02/2023,-96.09,124.38
10295384,06/02/2023,100.34,224.72
10295384,06/02/2023,87.57,312.28999999999996
10295384,07/02/2023,186.15,498.44
10295384,07/02/2023,133.09,631.53
10295384,09/02/2023,-110.01,521.52
10295384,11/02/2023,-62.52,459.0
10295384,13/02/2023,128.0,587.0
10350324,31/01/2023,,861.81
10350324,03/02/2023,247.64,1109.4499999999998
10350324,04/02/2023,81.35,1190.8
10350324,04/02/2023,47.39,1238.1899999999998
10350324,07/02/2023,-42.19,1196.0
10350324,10/02/2023,-91.04,1104.96
10350324,11/02/2023,132.19,1237.1499999999999
10350324,11/02/2023,119.75,1356.8999999999999
10350324,13/02/2023,-142.63,1214.27
10437896,31/01/2023,,661.08
10437896,04/02/2023,55.24,716.32
10437896,04/02/2023,-51.84,664.48
10437896,06/02/2023,68.72,733.2
10437896,09/02/2023,116.34,849.5400000000001
10437896,11/02/2023,1107.1,1956.6399999999999
10437896,13/02/2023,73.97,2030.61
10449180,31/01/2023,,228.24
10449180,01/02/2023,48.99,277.23
10449180,02/02/2023,25.81,303.04
10449180,06/02/2023,784.3,1087.34
10449180,11/02/2023,75.88,1163.2199999999998
10464544,31/01/2023,,755.99
10464544,01/02/2023,-89.56,666.4300000000001
10464544,07/02/2023,135.77,802.2
10464544,08/02/2023,132.1,934.3
10464544,12/02/2023,-463.1,471.2
10464544,14/02/2023,987.9,1459.1
10464544,14/02/2023,-81.26,1377.84
10473116,31/01/2023,,387.7
10473116,01/02/2023,-94.91,292.78999999999996
10473116,03/02/2023,87.46,380.25
10473116,06/02/2023,-1194.9,-814.6500000000001
10473116,08/02/2023,103.49,-711.1600000000001
10473116,10/02/2023,28.23,-682.9300000000001
10473116,12/02/2023,-108.51,-791.44
10521885,31/01/2023,,54.87
10521885,01/02/2023,127.41,182.28
10521885,01/02/2023,-83.86,98.42
10521885,03/02/2023,120.33,218.75
10521885,09/02/2023,37.14,255.89
10521885,12/02/2023,70.6,326.49
10521885,14/02/2023,150.19,476.68
10521885,14/02/2023,53.35,530.03
10553619,31/01/2023,,756.2
10553619,01/02/2023,72.18,828.3800000000001
10553619,01/02/2023,-112.77,715.61
10553619,03/02/2023,133.94,849.5500000000001
10553619,04/02/2023,-1263.9,-414.35
10553619,05/02/2023,-89.62,-503.97
10553619,06/02/2023,-1085.4,-1589.3700000000001
10553619,11/02/2023,873.9,-715.4700000000001
10553619,14/02/2023,1485.6,770.1299999999998
10553619,14/02/2023,-43.02,727.1099999999998
10554116,31/01/2023,,243.95
10554116,01/02/2023,-121.83,122.11999999999999
10586481,31/01/2023,,73.83
10586481,03/02/2023,100.42,174.25
10586481,11/02/2023,142.56,316.81
10586481,12/02/2023,128.32,445.13
10586481,12/02/2023,-49.53,395.6
10586481,14/02/2023,-24.89,370.71
10608220,31/01/2023,,632.92
10608220,01/02/2023,33.49,666.41
10608220,01/02/2023,-89.41,577.0
10608220,04/02/2023,-117.26,459.73999999999995
10608220,05/02/2023,78.8,538.54
10608220,10/02/2023,-55.88,482.65999999999997
10608220,11/02/2023,-142.56,340.09999999999997
10608220,13/02/2023,86.79,426.89
10608220,13/02/2023,-98.19,328.7
10608220,13/02/2023,-118.5,210.2
10631690,31/01/2023,,947.45
10631690,03/02/2023,165.39,1112.8400000000001
10631690,03/02/2023,-41.04,1071.8
10631690,11/02/2023,-151.02,920.78
10675607,31/01/2023,,284.84
10675607,01/02/2023,-114.21,170.63
10675607,08/02/2023,-19.11,151.51999999999998
10675607,14/02/2023,-908.4,-756.88
10725127,31/01/2023,,984.69
10725127,04/02/2023,-1268.7,-284.01
10725127,09/02/2023,148.39,-135.62
10725127,11/02/2023,102.03,-33.59
10725127,12/02/2023,-228.52,-262.11
10725127,13/02/2023,-157.99,-420.1
10769769,31/01/2023,,906.91
10769769,01/02/2023,-93.28,813.63
10769769,02/02/2023,38.78,852.41
10769769,02/02/2023,-20.72,831.6899999999999
10769769,02/02/2023,-96.8,734.89
10769769,02/02/2023,-1502.2,-767.3100000000001
10769769,03/02/2023,-89.51,-856.82
10769769,05/02/2023,145.08,-711.74
10769769,05/02/2023,-59.15,-770.8900000000001
10769769,08/02/2023,-143.57,-914.46
10769769,09/02/2023,58.86,-855.6
10769769,10/02/2023,-51.82,-907.4200000000001
10769769,10/02/2023,-85.7,-993.1200000000001
10769769,11/02/2023,666.5,-326.6200000000001
10769769,11/02/2023,172.32,-154.30000000000013
10783139,31/01/2023,,992.98
10783139,04/02/2023,103.81,1096.79
10783139,05/02/2023,-92.78,1004.01
10783139,08/02/2023,-96.33,907.6800000000001
10783139,09/02/2023,9.69,917.37
10783139,09/02/2023,-129.76,787.61
10783139,10/02/2023,72.06,859.6700000000001
10783139,12/02/2023,109.08,968.75
10799356,31/01/2023,,915.04
10799356,06/02/2023,138.24,1053.28
10799356,06/02/2023,127.85,1181.1299999999999
10799356,11/02/2023,-120.98,1060.1499999999999
10799356,11/02/2023,-259.39,800.76
10799356,12/02/2023,-94.16,706.6
10799356,14/02/2023,-1314.7,-608.1
10819898,31/01/2023,,750.25
10819898,01/02/2023,103.68,853.9300000000001
10819898,02/02/2023,15.52,869.45
10819898,03/02/2023,-91.02,778.4300000000001
10819898,05/02/2023,-36.13,742.3
10819898,08/02/2023,123.29,865.59
10819898,10/02/2023,-104.75,760.84
10819898,12/02/2023,98.15,858.99
10819898,14/02/2023,114.54,973.53
10819898,14/02/2023,47.83,1021.36
10842511,31/01/2023,,651.77
10842511,02/02/2023,-155.92,495.85
10842511,13/02/2023,102.44,598.29
10847941,31/01/2023,,40.25
10847941,06/02/2023,-64.29,-24.040000000000006
10847941,07/02/2023,-143.62,-167.66000000000003
10847941,08/02/2023,92.54,-75.12000000000002
10847941,10/02/2023,-146.12,-221.24
10847941,11/02/2023,1094.0,872.76
10864084,31/01/2023,,119.98
10864084,02/02/2023,-150.75,-30.769999999999996
10864084,02/02/2023,-179.69,-210.45999999999998
10864084,05/02/2023,-39.08,-249.53999999999996
10864084,06/02/2023,154.92,-94.62
10864084,06/02/2023,114.81,20.189999999999998
10864084,06/02/2023,72.7,92.89
10864084,10/02/2023,98.32,191.20999999999998
10864084,11/02/2023,65.15,256.36
10864084,13/02/2023,-1545.5,-1289.1399999999999
10942334,31/01/2023,,55.42
10942334,05/02/2023,-92.89,-37.47
10942334,07/02/2023,-33.98,-71.44999999999999
10942334,10/02/2023,116.67,45.22
10942334,11/02/2023,84.45,129.67000000000002
10949168,31/01/2023,,471.8
10949168,04/02/2023,-105.89,365.91
10949168,04/02/2023,-127.73,238.18
10949168,07/02/2023,71.99,310.17
10949168,09/02/2023,-214.76,95.41000000000003
10949168,11/02/2023,146.95,242.36
10949168,12/02/2023,52.81,295.17
10949168,14/02/2023,-13.43,281.74
10989769,31/01/2023,,334.18
10989769,03/02/2023,854.4,1188.58
10989769,12/02/2023,-154.56,1034.02
10989769,13/02/2023,102.22,1136.24
10989769,13/02/2023,-66.55,1069.69
11008868,31/01/2023,,271.3
11008868,02/02/2023,-0.91,270.39
11008868,07/02/2023,-207.86,62.53
11008868,13/02/2023,96.98,159.51
11008868,13/02/2023,93.56,253.07
11008868,14/02/2023,131.58,384.65000000000003
11026937,31/01/2023,,303.44
11026937,02/02/2023,90.91,394.35
11026937,02/02/2023,-47.72,346.63
11026937,06/02/2023,-85.44,261.19
11026937,07/02/2023,-75.08,186.11
11026937,07/02/2023,-92.55,93.56
11026937,13/02/2023,-42.26,51.300000000000004
11026937,14/02/2023,67.47,118.77000000000001
11061291,31/01/2023,,72.7
11061291,01/02/2023,-162.41,-89.71
11061291,03/02/2023,-53.42,-143.13
11061291,03/02/2023,-149.54,-292.66999999999996
11061291,04/02/2023,186.95,-105.72
11061291,08/02/2023,61.41,-44.31
11061291,08/02/2023,5.73,-38.58
11061291,09/02/2023,-119.17,-157.75
11061291,12/02/2023,121.86,-35.89
11061291,14/02/2023,-78.98,-114.87
11067879,31/01/2023,,481.56
11067879,01/02/2023,187.01,668.5699999999999
11067879,01/02/2023,-812.6,-144.02999999999997
11067879,02/02/2023,-15.52,-159.54999999999998
11067879,04/02/2023,81.63,-77.91999999999997
11067879,06/02/2023,97.09,19.17000000000003
11067879,07/02/2023,151.33,170.50000000000006
11067879,07/02/2023,-96.93,73.57000000000002
11067879,07/02/2023,-123.45,-49.87999999999998
11067879,08/02/2023,-66.39,-116.26999999999998
11067879,11/02/2023,172.57,56.30000000000001
11067879,11/02/2023,-87.16,-30.859999999999985
11067879,13/02/2023,-78.91,-109.76999999999998
11110085,31/01/2023,,861.29
11110085,03/02/2023,107.9,969.1899999999999
11110085,05/02/2023,1712.2,2681.39
11110085,06/02/2023,97.33,2778.7200000000003
11110085,11/02/2023,109.66,2888.38
11110085,12/02/2023,122.36,3010.7400000000002
11110085,12/02/2023,-66.27,2944.4700000000003
11110085,13/02/2023,-147.67,2796.8
11110085,14/02/2023,1397.8,4194.6
11110085,14/02/2023,-152.84,4041.76
11150945,31/01/2023,,858.83
11150945,01/02/2023,240.2,1099.03
11150945,01/02/2023,-345.3,753.73
11150945,03/02/2023,32.07,785.8000000000001
11150945,03/02/2023,-189.03,596.77
11150945,06/02/2023,43.59,640.36
11150945,09/02/2023,133.16,773.52
11150945,09/02/2023,98.03,871.55
11150945,13/02/2023,763.2,1634.75
11150945,13/02/2023,-126.72,1508.03
11228111,31/01/2023,,130.36
11228111,01/02/2023,-142.2,-11.839999999999975
11228111,02/02/2023,-1501.3,-1513.1399999999999
11228111,09/02/2023,179.65,-1333.4899999999998
11228111,10/02/2023,169.47,-1164.02
11228111,11/02/2023,77.54,-1086.4799999999998
11228111,11/02/2023,69.11,-1017.3699999999999
11242986,31/01/2023,,344.68
11242986,01/02/2023,-160.4,184.28
11242986,06/02/2023,-21.12,163.16
11242986,08/02/2023,-93.77,69.39
11242986,09/02/2023,55.87,125.25999999999999
11242986,11/02/2023,-102.16,23.099999999999994
11251776,31/01/2023,,504.02
11251776,03/02/2023,88.94,592.96
11251776,04/02/2023,84.15,677.11
11251776,09/02/2023,150.22,827.3299999999999
11251776,10/02/2023,-67.69,759.64
11251776,11/02/2023,79.08,838.72
11251776,14/02/2023,-950.7,-111.98000000000002
11302888,31/01/2023,,458.83
11302888,04/02/2023,117.6,576.43
11302888,05/02/2023,-80.56,495.87
11302888,06/02/2023,182.96,678.8299999999999
11302888,10/02/2023,-19.72,659.11
11306584,31/01/2023,,522.4
11306584,01/02/2023,52.0,574.4
11306584,03/02/2023,-432.2,142.2
11306584,07/02/2023,1198.9,1341.1000000000001
11306584,07/02/2023,45.38,1386.4800000000002
11306584,09/02/2023,151.14,1537.6200000000001
11306584,10/02/2023,-30.61,1507.0100000000002
11306584,11/02/2023,63.83,1570.8400000000001
11306584,12/02/2023,1681.9,3252.7400000000002
11306584,12/02/2023,-71.74,3181.0000000000005
11306584,14/02/2023,-701.1,2479.9
11333185,31/01/2023,,693.23
11333185,02/02/2023,99.58,792.8100000000001
11333185,06/02/2023,113.2,906.01
11333185,06/02/2023,-676.7,229.30999999999995
11333185,07/02/2023,186.08,415.39
11333185,07/02/2023,-1440.9,-1025.5100000000002
11333185,10/02/2023,-67.29,-1092.8000000000002
11333185,11/02/2023,155.81,-936.9900000000002
11333185,11/02/2023,88.41,-848.5800000000003
11333185,11/02/2023,-138.48,-987.0600000000002
11333185,13/02/2023,1582.4,595.3399999999999
11346696,31/01/2023,,661.99
11346696,04/02/2023,-91.69,570.3
11346696,06/02/2023,-75.77,494.53000000000003
11346696,09/02/2023,-113.15,381.38
11346696,10/02/2023,-812.8,-431.41999999999996
11346696,13/02/2023,-1487.7,-1919.12
11359678,31/01/2023,,837.17
11359678,07/02/2023,65.16,902.3299999999999
11359678,07/02/2023,-67.04,835.29
11359678,11/02/2023,62.24,897.53
11359678,14/02/2023,-74.53,823.0
11360263,31/01/2023,,136.79
11360263,01/02/2023,100.02,236.81
11360263,03/02/2023,130.53,367.34
11360263,03/02/2023,101.8,469.14
11360263,06/02/2023,173.03,642.17
11360263,06/02/2023,80.15,722.3199999999999
11360263,09/02/2023,-68.25,654.0699999999999
11360263,12/02/2023,-47.25,606.8199999999999
11368995,31/01/2023,,565.8
11368995,01/02/2023,-63.48,502.31999999999994
11368995,02/02/2023,150.75,653.0699999999999
11368995,02/02/2023,-140.61,512.4599999999999
11368995,04/02/2023,-121.49,390.96999999999997
11368995,05/02/2023,-92.6,298.36999999999995
11368995,06/02/2023,52.22,350.59
11368995,08/02/2023,65.06,415.65
11437275,31/01/2023,,115.34
11437275,05/02/2023,98.47,213.81
11437275,07/02/2023,112.5,326.31
11437275,07/02/2023,-144.5,181.81
11437275,09/02/2023,94.06,275.87
11437275,10/02/2023,-100.43,175.44
11437275,10/02/2023,-112.61,62.83
11438427,31/01/2023,,484.08
11438427,06/02/2023,123.77,607.85
11438427,07/02/2023,-23.9,583.9499999999999
11438427,08/02/2023,-190.12,393.83
11438427,08/02/2023,-1686.0,-1292.17
11463412,31/01/2023,,342.53
11463412,07/02/2023,-97.82,244.70999999999998
11463412,09/02/2023,1582.3,1827.01
11475827,31/01/2023,,363.88
11475827,01/02/2023,48.39,412.27
11475827,07/02/2023,89.09,501.36
11475827,08/02/2023,-45.54,455.82
11475827,11/02/2023,1129.9,1585.72
11475827,11/02/2023,86.86,1672.58
11475827,12/02/2023,106.02,1778.6
11522216,31/01/2023,,590.37
11522216,03/02/2023,43.61,633.98
11522216,04/02/2023,199.41,833.39
11522216,10/02/2023,106.62,940.01
11522216,10/02/2023,82.97,1022.98
11522216,14/02/2023,81.37,1104.35
11662506,31/01/2023,,573.89
11662506,01/02/2023,-167.85,406.03999999999996
11662506,05/02/2023,102.96,509.0
11662506,05/02/2023,89.72,598.72
11662506,09/02/2023,-38.09,560.63
11662506,09/02/2023,-134.78,425.84999999999997
11662506,11/02/2023,-84.35,341.5
11662506,14/02/2023,-77.33,264.16999999999996
11662506,14/02/2023,-1397.8,-1133.63
11694020,31/01/2023,,379.2
11694020,04/02/2023,-189.72,189.48
11694020,06/02/2023,44.43,233.91
11694020,09/02/2023,-1363.6,-1129.6899999999998
11694020,12/02/2023,1.29,-1128.3999999999999
11694020,14/02/2023,725.0,-403.39999999999986
11717885,31/01/2023,,6.06
11717885,05/02/2023,-72.53,-66.47
11717885,13/02/2023,-86.51,-152.98000000000002
11728970,31/01/2023,,711.65
11728970,06/02/2023,123.61,835.26
11728970,06/02/2023,84.79,920.05
11728970,09/02/2023,-135.18,784.87
11728970,14/02/2023,93.35,878.22
11736814,31/01/2023,,381.51
11736814,03/02/2023,-133.06,248.45
11736814,05/02/2023,-790.5,-542.05
11736814,06/02/2023,98.86,-443.18999999999994
11736814,11/02/2023,-1851.4,-2294.59
11744491,31/01/2023,,105.92
11744491,01/02/2023,142.98,248.89999999999998
11744491,01/02/2023,112.17,361.07
11744491,03/02/2023,656.3,1017.3699999999999
11744491,04/02/2023,-144.75,872.6199999999999
11744491,06/02/2023,-92.39,780.2299999999999
11744491,09/02/2023,87.15,867.3799999999999
11744491,09/02/2023,-176.85,690.53
11744491,10/02/2023,-39.7,650.8299999999999
11744491,11/02/2023,85.89,736.7199999999999
11744491,12/02/2023,-55.81,680.9099999999999
11744491,13/02/2023,115.86,796.7699999999999
11744491,13/02/2023,-121.39,675.3799999999999
11764022,31/01/2023,,286.66
11764022,01/02/2023,-117.24,169.42000000000002
11764022,03/02/2023,3.65,173.07000000000002
11764022,10/02/2023,86.61,259.68000000000006
11778031,31/01/2023,,514.7
11778031,08/02/2023,-37.69,477.01000000000005
11778031,09/02/2023,-64.44,412.57000000000005
11778031,11/02/2023,102.08,514.6500000000001
11778031,13/02/2023,569.6,1084.25
11790056,31/01/2023,,49.7
11790056,01/02/2023,119.97,169.67000000000002
11790056,01/02/2023,-95.49,74.18
11790056,03/02/2023,12.0,86.18
11790056,05/02/2023,-91.81,-5.6299999999999955
11790056,06/02/2023,-47.78,-53.41
11790056,06/02/2023,-688.5,-741.91
11790056,08/02/2023,90.7,-651.2099999999999
11790056,08/02/2023,-41.57,-692.78
11790056,09/02/2023,-969.7,-1662.48
11804173,31/01/2023,,353.62
11804173,02/02/2023,119.36,472.98
11804173,04/02/2023,100.25,573.23
11804173,04/02/2023,-159.42,413.81
11804173,11/02/2023,-53.59,360.22
11826060,31/01/2023,,782.13
11826060,05/02/2023,63.32,845.45
11826060,07/02/2023,81.64,927.09
11826060,09/02/2023,38.13,965.22
11826060,11/02/2023,-63.83,901.39
11826060,13/02/2023,118.67,1020.06
11826060,13/02/2023,93.04,1113.1
11831265,31/01/2023,,292.14
11831265,01/02/2023,-91.77,200.37
11831265,01/02/2023,-103.4,96.96999999999998
11831265,01/02/2023,-140.67,-43.7
11831265,09/02/2023,-98.31,-142.01
11831265,10/02/2023,89.98,-52.03
11831265,13/02/2023,157.99,105.96000000000001
11831265,14/02/2023,-85.67,20.290000000000006
11836917,31/01/2023,,650.14
11836917,01/02/2023,-138.19,511.95
11836917,12/02/2023,90.66,602.61
11836917,14/02/2023,165.55,768.16
11836917,14/02/2023,87.88,856.04
11846043,31/01/2023,,915.59
11846043,02/02/2023,69.49,985.08
11846043,06/02/2023,87.82,1072.9
11846043,07/02/2023,-56.28,1016.62
11846043,10/02/2023,-1640.4,-623.7800000000001
11846043,12/02/2023,139.76,-484.0200000000001
11882775,31/01/2023,,299.41
11882775,01/02/2023,-105.63,193.78000000000003
11882775,01/02/2023,-1058.7,-864.9200000000001
11882775,03/02/2023,118.76,-746.1600000000001
11882775,03/02/2023,-753.5,-1499.66
11882775,05/02/2023,84.05,-1415.6100000000001
11882775,06/02/2023,-90.05,-1505.66
11882775,06/02/2023,-1791.9,-3297.5600000000004
11882775,08/02/2023,209.73,-3087.8300000000004
11882775,09/02/2023,1202.9,-1884.93
11910409,31/01/2023,,241.22
11910409,01/02/2023,-80.43,160.79
11910409,04/02/2023,-78.93,81.85999999999999
11910409,05/02/2023,78.36,160.21999999999997
11910409,05/02/2023,-118.22,41.999999999999986
11910409,06/02/2023,-53.53,-11.530000000000015
11910409,12/02/2023,103.79,92.25999999999999
11910409,13/02/2023,112.31,204.57
11928523,31/01/2023,,818.51
11928523,05/02/2023,-149.91,668.6
11928523,07/02/2023,-76.58,592.02
11928523,08/02/2023,-74.38,517.64
11928523,11/02/2023,99.31,616.95
11928523,12/02/2023,2208.4,2825.3500000000004
11928523,13/02/2023,68.67,2894.02
12035637,31/01/2023,,461.35
12035637,02/02/2023,-779.9,-318.54999999999995
12035637,02/02/2023,-1138.0,-1456.55
12035637,03/02/2023,-36.14,-1492.69
12035637,07/02/2023,1190.8,-301.8900000000001
12035637,07/02/2023,260.82,-41.07000000000011
12035637,07/02/2023,230.31,189.2399999999999
12035637,08/02/2023,-90.52,98.7199999999999
12035637,08/02/2023,-143.15,-44.430000000000106
12035637,08/02/2023,-1169.6,-1214.03
12035637,10/02/2023,551.6,-662.43
12035637,11/02/2023,-137.31,-799.74
12035637,12/02/2023,-123.5,-923.24
12042151,31/01/2023,,336.44
12042151,03/02/2023,-89.74,246.7
12042151,05/02/2023,97.45,344.15
12042151,07/02/2023,101.5,445.65
12042151,09/02/2023,-64.03,381.62
12042151,11/02/2023,1271.5,1653.12
12042151,11/02/2023,-32.04,1621.08
12042151,13/02/2023,-61.53,1559.55
12088180,31/01/2023,,656.51
12088180,11/02/2023,22.62,679.13
12088180,12/02/2023,190.9,870.03
12088180,14/02/2023,-45.9,824.13
12099406,31/01/2023,,681.11
12099406,01/02/2023,-94.97,586.14
12099406,07/02/2023,-934.2,-348.06000000000006
12099406,10/02/2023,-143.73,-491.7900000000001
12099406,12/02/2023,1201.1,709.3099999999998
12099406,13/02/2023,112.0,821.3099999999998
12111805,31/01/2023,,890.99
12111805,01/02/2023,110.9,1001.89
12111805,03/02/2023,-79.35,922.54
12111805,06/02/2023,128.91,1051.45
12111805,10/02/2023,-185.21,866.24
12111805,11/02/2023,-77.84,788.4
12111805,13/02/2023,-202.54,585.86
12111805,14/02/2023,-94.45,491.41
12172627,31/01/2023,,550.41
12172627,02/02/2023,137.03,687.4399999999999
12172627,05/02/2023,-116.16,571.28
12172627,12/02/2023,-76.51,494.77
12185627,31/01/2023,,873.23
12185627,02/02/2023,-30.52,842.71
12185627,03/02/2023,225.89,1068.6
12185627,04/02/2023,-50.19,1018.41
12185627,05/02/2023,-80.67,937.74
12185627,10/02/2023,206.97,1144.71
12185627,11/02/2023,193.89,1338.6
12185627,11/02/2023,100.94,1439.54
12185627,12/02/2023,-72.94,1366.6
12185627,13/02/2023,-91.8,1274.8
12198380,31/01/2023,,445.46
12198380,03/02/2023,145.97,591.43
12198380,04/02/2023,134.24,725.67
12198380,05/02/2023,100.05,825.72
12198380,05/02/2023,-144.38,681.3399999999999
12198380,05/02/2023,-171.75,509.59
12198380,07/02/2023,-34.47,475.12
12198380,09/02/2023,145.71,620.8299999999999
12198380,12/02/2023,67.66,688.49
12198380,14/02/2023,-85.37,603.12
12199229,31/01/2023,,804.0
12199229,11/02/2023,-30.47,773.53
12199229,11/02/2023,-31.4,742.13
12233762,31/01/2023,,386.05
12233762,05/02/2023,-114.97,271.08000000000004
12233762,06/02/2023,-102.35,168.73000000000002
12233762,07/02/2023,-110.05,58.68000000000002
12233762,07/02/2023,-134.62,-75.93999999999998
12233762,10/02/2023,83.93,7.990000000000023
12233762,11/02/2023,-370.4,-362.40999999999997
12233762,12/02/2023,150.86,-211.54999999999995
12233762,14/02/2023,-176.37,-387.91999999999996
12240007,31/01/2023,,894.48
12240007,02/02/2023,93.98,988.46
12240007,04/02/2023,-2.44,986.02
12240007,05/02/2023,1748.6,2734.62
12240007,05/02/2023,-64.41,2670.21
12240007,12/02/2023,-127.13,2543.08
12240007,13/02/2023,-562.4,1980.6799999999998
12241820,31/01/2023,,207.29
12388837,31/01/2023,,463.31
12388837,03/02/2023,55.47,518.78
12388837,05/02/2023,-183.42,335.36
12388837,07/02/2023,65.45,400.81
12388837,13/02/2023,111.37,512.1800000000001
12388837,14/02/2023,87.61,599.79
12420291,31/01/2023,,578.47
12420291,03/02/2023,-1223.8,-645.3299999999999
12420291,08/02/2023,-796.3,-1441.6299999999999
12420291,11/02/2023,-105.46,-1547.09
12420291,12/02/2023,-70.05,-1617.1399999999999
12423613,31/01/2023,,459.18
12423613,02/02/2023,-1805.5,-1346.32
12423613,04/02/2023,95.13,-1251.19
12423613,14/02/2023,73.71,-1177.48
12440230,31/01/2023,,842.67
12440230,07/02/2023,16.27,858.9399999999999
12440230,07/02/2023,-197.12,661.8199999999999
12440230,14/02/2023,-175.06,486.76
12493067,31/01/2023,,404.61
12493067,03/02/2023,86.49,491.1
12493067,06/02/2023,114.74,605.84
12493067,08/02/2023,-105.32,500.52
12493067,13/02/2023,-93.04,407.48
12493067,14/02/2023,44.96,452.44
12494185,31/01/2023,,762.16
12494185,04/02/2023,71.39,833.55
12494185,04/02/2023,-97.26,736.29
12494185,07/02/2023,-97.29,639.0
12494185,07/02/2023,-117.32,521.68
12499656,31/01/2023,,96.27
12499656,01/02/2023,168.84,265.11
12499656,01/02/2023,75.09,340.2
12499656,02/02/2023,140.57,480.77
12499656,03/02/2023,-111.35,369.41999999999996
12499656,05/02/2023,147.75,517.17
12499656,06/02/2023,-88.22,428.95
12499656,07/02/2023,-38.62,390.33
12499656,10/02/2023,152.92,543.25
12499656,13/02/2023,98.34,641.5899999999999
12499656,14/02/2023,-156.27,485.31999999999994
12560453,31/01/2023,,85.03
12560453,01/02/2023,147.6,232.63
12560453,05/02/2023,152.02,384.65
