Account Number,Account Type,Account Holder ID,Balance Date,Balance
12233762,Gold,31154466,2023-01-31,386.05
12240007,Basic,18123960,2023-01-31,894.48
12241820,Gold,89677048,2023-01-31,207.29
12388837,Basic,29311835,2023-01-31,463.31
12420291,Gold,55080160,2023-01-31,578.47
12423613,Platinum,94079298,2023-01-31,459.18
12440230,Basic,80247207,2023-01-31,842.67
12493067,Gold,24389535,2023-01-31,404.61
12494185,Basic,46926433,2023-01-31,762.16
12499656,Basic,52688385,2023-01-31,96.27
12560453,Gold,09588159,2023-01-31,85.03
12583269,Gold,73945544,2023-01-31,910.46
12666385,Basic,40074244,2023-01-31,554.24
12680102,Basic,77963684,2023-01-31,674.64
12725274,Platinum,62851985,2023-01-31,26.19
12859818,Gold,14414569,2023-01-31,151.06
12899540,Basic,81057095,2023-01-31,957.2
12964138,Gold,70313182,2023-01-31,557.04
12985543,Gold,72127033,2023-01-31,402.94
13058003,Gold,10055517,2023-01-31,218
13076932,Gold,54930747,2023-01-31,419.47
13117442,Platinum,36541939,2023-01-31,799.69
13167285,Basic,60301493,2023-01-31,301.93
13176075,Basic,45643293,2023-01-31,67.3
13182613,Basic,91088955,2023-01-31,384.42
13197335,Basic,37884856,2023-01-31,625.71
13267945,Gold,80341564,2023-01-31,299.77
13274987,Gold,97228348,2023-01-31,902.06
13277127,Basic,00252258,2023-01-31,793.22
13322659,Basic,78180012,2023-01-31,690.27
13388069,Gold,33265379,2023-01-31,13.45
13426667,Joint,"25339222, 48002566",2023-01-31,70.47
13459523,Gold,18367895,2023-01-31,814.31
13474543,Gold,97816898,2023-01-31,438.36
13537427,Platinum,66594179,2023-01-31,556.98
13551717,Basic,68639654,2023-01-31,26.95
13558846,Basic,56706218,2023-01-31,598.45
13563384,Basic,66232182,2023-01-31,952.65
13584908,Gold,40151059,2023-01-31,162
13610259,Basic,91062539,2023-01-31,587.73
13687711,Basic,12983938,2023-01-31,757.76
13713704,Basic,33397715,2023-01-31,1.48
13788234,Gold,31320556,2023-01-31,302.78
13945841,Platinum,90009202,2023-01-31,339.81
13965360,Basic,65473538,2023-01-31,299.46
13997603,Gold,12309406,2023-01-31,516.79
14000447,Basic,15735076,2023-01-31,443.94
14014401,Basic,11669981,2023-01-31,554.46
14039438,Gold,02045273,2023-01-31,94.52
14045416,Basic,00160391,2023-01-31,265.63
14052052,Gold,80756775,2023-01-31,915.74
14086187,Basic,18549902,2023-01-31,340.59
14103210,Platinum,20184804,2023-01-31,369.01
14136082,Gold,96276634,2023-01-31,219.84
14144267,Gold,14623387,2023-01-31,97.69
14183437,Platinum,96281254,2023-01-31,779.47
14253152,Basic,94107890,2023-01-31,43.85
14337606,Basic,85170206,2023-01-31,561.8
14355869,Gold,21944580,2023-01-31,329.16
14397662,Platinum,25698946,2023-01-31,363.51
14421453,Basic,52674558,2023-01-31,813.76
14448009,Joint,"86296209, 38678655",2023-01-31,958.46
14505806,Platinum,59951154,2023-01-31,689.25
14564252,Platinum,89548974,2023-01-31,263.39
14592080,Gold,04739932,2023-01-31,245.22
14594928,Gold,15958621,2023-01-31,470.64
14600288,Basic,94917146,2023-01-31,622.77
14648004,Gold,51124513,2023-01-31,236.67
14685853,Basic,69185805,2023-01-31,45.2
14723713,Basic,61710949,2023-01-31,378.07
14749214,Basic,42280229,2023-01-31,194.54
14780986,Basic,40179334,2023-01-31,180.2
14812157,Platinum,85113789,2023-01-31,534.54
14840078,Platinum,32708554,2023-01-31,584.16
14866733,Basic,28750732,2023-01-31,249.35
14897645,Gold,85750305,2023-01-31,89
14907946,Joint,"45905894, 80406841",2023-01-31,845.72
15033812,Basic,22281900,2023-01-31,504.58
15044055,Gold,33356634,2023-01-31,204.3
15052808,Gold,48910576,2023-01-31,786.05
15055504,Gold,36523916,2023-01-31,339.94
15077298,Gold,30564016,2023-01-31,507.62
15100785,Basic,00146167,2023-01-31,934.1
15163829,Gold,96754404,2023-01-31,458.6
15258886,Basic,40177366,2023-01-31,689.34
15265650,Basic,19348996,2023-01-31,147.72
15265700,Basic,69047983,2023-01-31,829.86
15290238,Basic,34228992,2023-01-31,93.23
15296624,Platinum,27805873,2023-01-31,731.68
15324178,Basic,83902373,2023-01-31,833.62
15334737,Platinum,33280837,2023-01-31,197.12
15377274,Platinum,84314103,2023-01-31,902.14
15428008,Gold,78909455,2023-01-31,131.02
15468532,Basic,44547383,2023-01-31,819.87
15522788,Platinum,71900725,2023-01-31,154.26
15529292,Gold,61734191,2023-01-31,382.95
15563919,Basic,00830904,2023-01-31,492.34
15665459,Gold,33989853,2023-01-31,68.94
15668160,Gold,37827314,2023-01-31,810.02
15732629,Basic,25018182,2023-01-31,975.81
15768459,Platinum,56703000,2023-01-31,997.4
15779976,Gold,50095911,2023-01-31,129.01
15793232,Gold,66943569,2023-01-31,45.88
15796180,Basic,35097549,2023-01-31,755.58
15801209,Gold,04963150,2023-01-31,8.84
15805500,Basic,09043136,2023-01-31,230.39
15810455,Basic,66973127,2023-01-31,81.69
15826579,Platinum,58968555,2023-01-31,596.77
15830962,Platinum,31464819,2023-01-31,570.89
15841031,Basic,97144212,2023-01-31,579.98
15899774,Gold,98012482,2023-01-31,773.38
15914466,Gold,48411853,2023-01-31,436.62
15918861,Basic,35642702,2023-01-31,781.97
15922706,Platinum,08204210,2023-01-31,478.87
15944303,Basic,45565396,2023-01-31,977.44
15960008,Basic,39306718,2023-01-31,455.42
15980710,Gold,96635391,2023-01-31,955.7
16013218,Gold,90295281,2023-01-31,322.63
16026987,Gold,93153307,2023-01-31,772.57
16030234,Gold,08351005,2023-01-31,174.55
16063411,Basic,00448094,2023-01-31,896.73
16067516,Gold,00308061,2023-01-31,494.33
16087504,Gold,10175224,2023-01-31,56.65
16093178,Basic,17632827,2023-01-31,96.62
16118153,Gold,42146108,2023-01-31,829.58
16124993,Joint,"85303887, 31213384",2023-01-31,148.14
16152779,Platinum,31349710,2023-01-31,65.09
16157014,Gold,91922723,2023-01-31,858.73
16181964,Basic,38727307,2023-01-31,979.44
16191280,Basic,92723255,2023-01-31,825.86
16223952,Basic,57436955,2023-01-31,222.18
16229373,Platinum,74644838,2023-01-31,256.89
16270746,Basic,15653352,2023-01-31,904.31
16306280,Gold,52493643,2023-01-31,921.83
16312979,Basic,89834399,2023-01-31,833.92
16334793,Gold,79475074,2023-01-31,297.75
16453812,Gold,15665885,2023-01-31,356.9
16506904,Gold,50796183,2023-01-31,602.17
16584745,Gold,49890659,2023-01-31,129.46
16628269,Gold,71465677,2023-01-31,27.11
16633794,Platinum,14049401,2023-01-31,263.05
16676577,Gold,28090300,2023-01-31,407.24
16927652,Gold,00824904,2023-01-31,637.58
16977372,Gold,96354709,2023-01-31,675.5
16984772,Basic,04931864,2023-01-31,823.43
17024652,Basic,34625744,2023-01-31,918.84
17039422,Basic,38814096,2023-01-31,941.44
17051223,Basic,37352383,2023-01-31,558.16
17085651,Gold,90628588,2023-01-31,945.51
17138963,Basic,18184412,2023-01-31,131.95
17144855,Gold,09882076,2023-01-31,355.14
17191420,Gold,98994536,2023-01-31,717.28
17228160,Platinum,60110742,2023-01-31,567.87
17264146,Basic,62320378,2023-01-31,345.33
17284705,Gold,65542122,2023-01-31,145.59
17301178,Gold,11893969,2023-01-31,311.47
17434670,Platinum,28207845,2023-01-31,148.92
17469776,Gold,72023638,2023-01-31,443.18
17483941,Basic,62798106,2023-01-31,483.81
17533114,Gold,65079768,2023-01-31,274.53
17534364,Basic,73895660,2023-01-31,758.41
17543122,Basic,71348398,2023-01-31,681.64
17644586,Gold,37464885,2023-01-31,222.45
17648252,Platinum,50093568,2023-01-31,75.02
17669623,Platinum,64148547,2023-01-31,163.19
17692892,Basic,83543598,2023-01-31,457.79
17722231,Gold,60208017,2023-01-31,944.22
17749893,Basic,48939723,2023-01-31,889.45
17810734,Gold,22175311,2023-01-31,348.22
17840180,Gold,35117700,2023-01-31,557.56
17868317,Platinum,37435659,2023-01-31,706.58
17881363,Basic,76648517,2023-01-31,415.27
17925406,Gold,62305196,2023-01-31,393.37
17933377,Basic,34381258,2023-01-31,189.05
17938672,Gold,83273263,2023-01-31,904.99
17939571,Basic,82436181,2023-01-31,396.93
17983851,Basic,53508406,2023-01-31,849.24
18046225,Gold,64543512,2023-01-31,205.83
18052851,Basic,78690639,2023-01-31,672.09
18095448,Gold,83646896,2023-01-31,73.28
18133554,Platinum,38618119,2023-01-31,733.1
18179400,Platinum,45009929,2023-01-31,768.78
18185362,Basic,83289626,2023-01-31,609.36
18198770,Platinum,24232429,2023-01-31,108.23
18305932,Platinum,00639684,2023-01-31,834.42
18308848,Joint,"32038387, 51085461",2023-01-31,570.65
18346988,Basic,74402992,2023-01-31,450.36
18348734,Basic,41598271,2023-01-31,579.93
18447548,Basic,14924822,2023-01-31,574.24
18451683,Basic,14482369,2023-01-31,501.75
18517970,Gold,26736102,2023-01-31,709.95
18563743,Gold,86420305,2023-01-31,649.46
18582171,Basic,26984318,2023-01-31,732.99
18584434,Basic,39868326,2023-01-31,877.81
18645136,Basic,07496322,2023-01-31,554.87
18685463,Joint,"02266447, 17434595",2023-01-31,476.02
18718399,Basic,66125742,2023-01-31,716.22
18850031,Basic,84735968,2023-01-31,191.3
18859451,Gold,72868890,2023-01-31,441.04
18899132,Basic,54034586,2023-01-31,244.46
18928638,Gold,87694387,2023-01-31,150.95
19001745,Gold,33679838,2023-01-31,507.55
19094015,Basic,39028764,2023-01-31,548.65
19154395,Gold,63913900,2023-01-31,274.06
19160862,Basic,55167474,2023-01-31,211.53
19201987,Gold,16529382,2023-01-31,624.55
19216744,Basic,77843924,2023-01-31,123.53
19220216,Basic,94444276,2023-01-31,628.89
19242274,Joint,"22364200, 13078525",2023-01-31,65.28
19283264,Gold,13839239,2023-01-31,301.31
19315124,Basic,49848076,2023-01-31,447.16
19317267,Basic,66592876,2023-01-31,51.87
19334563,Basic,14578397,2023-01-31,525.45
19387921,Gold,13985922,2023-01-31,927.28
19429964,Gold,36401281,2023-01-31,694.43
19432211,Platinum,79571848,2023-01-31,24.19
19524427,Gold,29359859,2023-01-31,579.16
19530097,Gold,26424566,2023-01-31,960.21
19559937,Platinum,35708996,2023-01-31,727.4
19574610,Gold,05589996,2023-01-31,104.29
19647966,Gold,88425097,2023-01-31,849.89
19686460,Basic,59685025,2023-01-31,416.7
19705767,Basic,03695734,2023-01-31,997.48
19789505,Basic,51019591,2023-01-31,893.9
19836996,Basic,63508404,2023-01-31,245.14
19876635,Basic,64438522,2023-01-31,883.25
19920990,Platinum,82760062,2023-01-31,70.95
19931073,Basic,02429301,2023-01-31,404.96
19956941,Gold,55076179,2023-01-31,723.33
19980716,Basic,93589709,2023-01-31,432.98
20015298,Gold,73737908,2023-01-31,953.82
20067958,Gold,60902003,2023-01-31,38.05
20090784,Gold,09499290,2023-01-31,482.62
20117480,Platinum,73444255,2023-01-31,70.97
20129535,Basic,49725812,2023-01-31,446.41
20176338,Platinum,57102276,2023-01-31,289.57
20242626,Basic,00412073,2023-01-31,701.08
20248053,Gold,54053442,2023-01-31,565.28
20263437,Platinum,79607647,2023-01-31,789.09
20280759,Gold,77303524,2023-01-31,838.7
20287993,Gold,04339778,2023-01-31,616.17
20316429,Platinum,72997556,2023-01-31,697.84
20345467,Basic,59089955,2023-01-31,852.5
20369153,Basic,73344176,2023-01-31,293.78
20372310,Platinum,29906580,2023-01-31,366.41
20413037,Gold,10377045,2023-01-31,235.79
20425065,Basic,91790770,2023-01-31,866.77
20464830,Basic,72461953,2023-01-31,181.25
20632572,Gold,12479414,2023-01-31,286.44
20704613,Gold,40752700,2023-01-31,71.59
20705548,Basic,56309981,2023-01-31,184.81
20720894,Basic,77266019,2023-01-31,243.42
20838578,Gold,19848139,2023-01-31,620.7
20849721,Platinum,10166755,2023-01-31,740.52
20851460,Gold,11481497,2023-01-31,931.67
20878023,Gold,61879657,2023-01-31,648.19
20908067,Basic,27902624,2023-01-31,607.53
20991411,Basic,29973784,2023-01-31,572.64
20992354,Gold,00766692,2023-01-31,87.26
21001872,Gold,17586509,2023-01-31,31.76
21032760,Gold,08732352,2023-01-31,541.33
21047777,Basic,08181063,2023-01-31,699.12
21142911,Gold,05254436,2023-01-31,714.89
21293955,Gold,79880319,2023-01-31,232.88
21314767,Platinum,02297134,2023-01-31,438.19
21368735,Basic,05456971,2023-01-31,281.87
21392412,Basic,72387377,2023-01-31,708.46
21464772,Basic,18784070,2023-01-31,719.8
21475060,Gold,78502675,2023-01-31,354.98
21515934,Basic,00285043,2023-01-31,543.38
21550631,Gold,94030831,2023-01-31,84.96
21558805,Basic,90798571,2023-01-31,586.63
21601747,Gold,95560882,2023-01-31,410.62
21618665,Platinum,76920476,2023-01-31,291.59
21646418,Platinum,00668504,2023-01-31,909.55
21655728,Basic,13084288,2023-01-31,761.31
21675999,Gold,64590437,2023-01-31,893.27
21694967,Basic,16928386,2023-01-31,90.13
21705004,Basic,54333838,2023-01-31,496.88
21711501,Basic,35823678,2023-01-31,126.63
21716351,Basic,73309204,2023-01-31,800.95
21719977,Gold,90895447,2023-01-31,758.81
21728352,Gold,77555617,2023-01-31,733.87
21749252,Gold,12675951,2023-01-31,646.27
21750371,Gold,50327568,2023-01-31,329.19
21816770,Basic,77605478,2023-01-31,693.8
21844169,Basic,32323613,2023-01-31,463.51
21844651,Gold,00964493,2023-01-31,525.16
21881168,Basic,33110473,2023-01-31,950.62
21898016,Gold,92336698,2023-01-31,117.42
21918195,Basic,39841041,2023-01-31,510.33
21966927,Basic,75412703,2023-01-31,511.1
22027757,Basic,19814571,2023-01-31,438.85
22035411,Basic,89141903,2023-01-31,9.55
22054113,Basic,29974316,2023-01-31,364.66
22063978,Gold,82158602,2023-01-31,387.01
22099256,Basic,63118786,2023-01-31,523.78
22137086,Basic,42903192,2023-01-31,410.35
22268314,Basic,69059469,2023-01-31,153.05
22292682,Basic,08151759,2023-01-31,874.32
22298371,Platinum,02630349,2023-01-31,891.16
22341160,Gold,74143237,2023-01-31,61.07
22374612,Gold,27330896,2023-01-31,554.31
22391508,Basic,27008393,2023-01-31,91.32
22393008,Gold,94839122,2023-01-31,753.5
22403299,Gold,33540054,2023-01-31,702.95
22404690,Gold,08051737,2023-01-31,726.06
22412680,Basic,88611314,2023-01-31,637.99
22483300,Gold,82812173,2023-01-31,763.23
22683382,Gold,96743711,2023-01-31,987.13
22696687,Gold,01385498,2023-01-31,133.52
22730750,Platinum,88005718,2023-01-31,473.56
22799719,Basic,08491145,2023-01-31,481.26
22830156,Basic,18931952,2023-01-31,596.06
22833010,Platinum,85741946,2023-01-31,645.79
22846221,Gold,95231500,2023-01-31,868.2
22884864,Gold,14643087,2023-01-31,521.87
22888798,Basic,19513080,2023-01-31,326.4
22951653,Basic,50871637,2023-01-31,414.64
23030554,Basic,02515444,2023-01-31,196.97
23032852,Platinum,92340011,2023-01-31,475.21
23045208,Gold,99152626,2023-01-31,359.49
23093541,Basic,03560436,2023-01-31,326.05
23124345,Basic,86520289,2023-01-31,595.61
23141588,Joint,"96910248, 73445371",2023-01-31,281.28
23231848,Gold,23989802,2023-01-31,27.12
23269253,Gold,20504582,2023-01-31,324.56
23271383,Gold,68746726,2023-01-31,633.3
23289647,Platinum,48022596,2023-01-31,522.8
23295106,Basic,87121782,2023-01-31,340.16
23310842,Gold,25102921,2023-01-31,78.85
23321929,Gold,34352740,2023-01-31,408.3
23325248,Basic,06241370,2023-01-31,49.31
23333877,Gold,04347281,2023-01-31,648.46
23369902,Gold,24515406,2023-01-31,716.79
23415061,Basic,95331876,2023-01-31,71.2
23445508,Platinum,67877318,2023-01-31,373.43
23479459,Joint,"06765904, 47836049",2023-01-31,176.23
23490922,Basic,20395173,2023-01-31,934.35
23498368,Gold,74286248,2023-01-31,474.93
23501735,Platinum,61727994,2023-01-31,562.17
23580422,Gold,44846954,2023-01-31,716.05
23698615,Basic,04693665,2023-01-31,316.68
23736501,Gold,65195252,2023-01-31,831.27
23775829,Gold,48217694,2023-01-31,771.57
23815822,Gold,88395737,2023-01-31,835
23865100,Basic,58731613,2023-01-31,201.44
23920423,Gold,76991629,2023-01-31,221.15
23931414,Basic,39541943,2023-01-31,126.7
23932793,Basic,22861308,2023-01-31,962.8
23935849,Basic,40699895,2023-01-31,888.11
23942646,Gold,61681039,2023-01-31,517.93
23959928,Gold,93190050,2023-01-31,878.83
23962863,Basic,19070345,2023-01-31,307.07
23971753,Basic,51215896,2023-01-31,170.77
24010877,Gold,63387212,2023-01-31,652.95
24051672,Platinum,36021977,2023-01-31,429.37
24076677,Platinum,68563653,2023-01-31,494.74
24085667,Basic,18264603,2023-01-31,249.1
24113784,Platinum,59074898,2023-01-31,47.67
24122572,Gold,30721772,2023-01-31,924.02
24123707,Joint,"06348794, 56283265",2023-01-31,327.69
24125563,Platinum,37235159,2023-01-31,908.28
24149353,Joint,"42772846, 20894297",2023-01-31,487.27
24150990,Basic,66498089,2023-01-31,365.31
24178466,Basic,89689305,2023-01-31,330.91
24184530,Joint,"25651109, 55007557",2023-01-31,37.87
24198488,Basic,70317241,2023-01-31,578.35
24250015,Basic,36880090,2023-01-31,592.59
24285988,Gold,21339791,2023-01-31,783.9
24298516,Gold,22699283,2023-01-31,768.69
24299977,Gold,26642862,2023-01-31,199.33
24308337,Basic,07073038,2023-01-31,764.57
24370240,Basic,88730502,2023-01-31,608.64
24382889,Platinum,36229467,2023-01-31,14.23
24406166,Basic,58655795,2023-01-31,746.97
24434457,Basic,07185765,2023-01-31,385.3
24462859,Basic,50137483,2023-01-31,646
24510213,Gold,59931737,2023-01-31,142.59
24513968,Basic,50661807,2023-01-31,306.35
24516638,Gold,09648107,2023-01-31,426.16
24519138,Basic,26377972,2023-01-31,58.15
24529850,Basic,74244392,2023-01-31,800.79
24531428,Basic,06165151,2023-01-31,565.21
24533829,Gold,33181065,2023-01-31,190.8
24533935,Gold,50571699,2023-01-31,808.99
24539679,Gold,05913997,2023-01-31,768.68
24577383,Platinum,66269405,2023-01-31,911.96
24638469,Basic,78477469,2023-01-31,968.27
24669065,Platinum,71717133,2023-01-31,574.3
24715803,Basic,87256898,2023-01-31,684.75
24725325,Gold,44118549,2023-01-31,567.17
24796881,Gold,26591902,2023-01-31,943.93
24826358,Gold,12728922,2023-01-31,923.46
24849103,Platinum,81717821,2023-01-31,381.36
24859951,Gold,94066958,2023-01-31,950.69
24860683,Basic,10655317,2023-01-31,982.97
24976861,Gold,75228287,2023-01-31,982.53
24999129,Gold,39618806,2023-01-31,750.61
25004339,Gold,64826586,2023-01-31,120.44
25006771,Basic,87784323,2023-01-31,600.16
25033680,Gold,99708193,2023-01-31,639.47
25099734,Gold,74513603,2023-01-31,872.31
25110012,Gold,31879074,2023-01-31,300.03
25133996,Basic,35047322,2023-01-31,419.22
25146667,Basic,09396642,2023-01-31,534.11
25240031,Gold,90993557,2023-01-31,520.29
25269707,Basic,19069826,2023-01-31,770.38
25281513,Basic,84843220,2023-01-31,618.78
25310962,Basic,77723424,2023-01-31,376.9
25318205,Platinum,32835691,2023-01-31,582.9
25406407,Platinum,11804634,2023-01-31,394.05
25412464,Gold,49943184,2023-01-31,203.46
25439304,Basic,66119520,2023-01-31,890.08
25504032,Gold,80963508,2023-01-31,838.81
25510430,Gold,76181090,2023-01-31,110.66
25522226,Gold,32972079,2023-01-31,428.21
25584693,Basic,42686927,2023-01-31,793.42
25596483,Basic,30568898,2023-01-31,595.87
25628234,Basic,97610258,2023-01-31,808.37
25636885,Gold,06164823,2023-01-31,755.58
25677428,Basic,03527714,2023-01-31,307.44
25678043,Basic,77622814,2023-01-31,49.06
25698177,Gold,68386296,2023-01-31,923.38
25710768,Basic,35906693,2023-01-31,968.16
25737886,Platinum,17373841,2023-01-31,410.76
25746852,Gold,95536612,2023-01-31,320.7
25768265,Gold,09494073,2023-01-31,702.22
25779398,Gold,42849437,2023-01-31,967.13
25787771,Basic,12715326,2023-01-31,494.02
25807378,Basic,74932511,2023-01-31,25.32
25893329,Basic,78020543,2023-01-31,211.58
25931435,Gold,31741543,2023-01-31,127.08
25939481,Gold,93229951,2023-01-31,502.59
25941557,Basic,78670068,2023-01-31,656.34
26008806,Basic,62888841,2023-01-31,553.23
26023976,Platinum,22303162,2023-01-31,681.17
26070761,Gold,28260592,2023-01-31,641.67
26087369,Basic,93768756,2023-01-31,653.2
26101648,Gold,54464832,2023-01-31,9.84
26102798,Gold,67465216,2023-01-31,104.08
26109213,Gold,66590459,2023-01-31,698.97
26115121,Platinum,16775019,2023-01-31,466.67
26118463,Gold,14423624,2023-01-31,981
26248782,Gold,64041693,2023-01-31,70.58
26375186,Gold,35650470,2023-01-31,804.02
26432558,Gold,26897941,2023-01-31,465.32
26506201,Basic,85422591,2023-01-31,592.7
26522255,Gold,49366602,2023-01-31,283.67
26528251,Gold,73188437,2023-01-31,539.97
26632358,Basic,14552507,2023-01-31,384.64
26643616,Gold,71746287,2023-01-31,260.1
26669001,Basic,72989737,2023-01-31,70.04
26675311,Gold,11427653,2023-01-31,989.13
26751921,Gold,70950731,2023-01-31,800.07
26791907,Joint,"35453637, 37817374",2023-01-31,266.27
26793058,Basic,47508085,2023-01-31,384.98
26863880,Basic,78887413,2023-01-31,818.47
26874415,Basic,76949132,2023-01-31,19.62
26884718,Basic,77805873,2023-01-31,573.65
26888158,Basic,76785724,2023-01-31,473.02
26893181,Basic,28862966,2023-01-31,957.43
26906533,Gold,12181942,2023-01-31,312.58
26907311,Basic,33680005,2023-01-31,842.69
26953669,Gold,87606013,2023-01-31,813.21
26958171,Basic,90124359,2023-01-31,837.04
26964507,Basic,44041176,2023-01-31,358.72
26979446,Gold,00590066,2023-01-31,149.65
26985042,Gold,78775244,2023-01-31,248.7
27010847,Basic,27339798,2023-01-31,272.04
27108454,Gold,28232052,2023-01-31,423.96
27117946,Basic,92717957,2023-01-31,342.03
27170424,Basic,03278085,2023-01-31,211.66
27193025,Gold,64828818,2023-01-31,187.57
27193470,Gold,71392951,2023-01-31,479.57
27203821,Platinum,65097518,2023-01-31,256.57
27264533,Gold,92826153,2023-01-31,254.28
27305999,Gold,05786942,2023-01-31,17.22
27334998,Basic,87238338,2023-01-31,817.28
27356852,Gold,16330806,2023-01-31,414.82
27357010,Gold,34718208,2023-01-31,579.29
27382109,Basic,11253311,2023-01-31,174.95
27388260,Basic,94861323,2023-01-31,39.64
27389680,Platinum,39694339,2023-01-31,815.68
27415805,Basic,12646177,2023-01-31,902.28
27430568,Platinum,21558568,2023-01-31,450.45
27580272,Gold,69391811,2023-01-31,352.81
27582893,Basic,24227882,2023-01-31,639.21
27585212,Gold,44805516,2023-01-31,150.57
27589482,Basic,21209956,2023-01-31,494.03
27596004,Gold,89861979,2023-01-31,505.73
27600956,Basic,79820166,2023-01-31,84.39
27625709,Basic,71355651,2023-01-31,616.45
27628187,Gold,00703142,2023-01-31,344.63
27713909,Platinum,82650182,2023-01-31,199.77
27806002,Basic,04598557,2023-01-31,565.08
27821800,Gold,97036310,2023-01-31,322.23
27845045,Basic,04631725,2023-01-31,136.91
27870202,Gold,75341876,2023-01-31,286.17
27985160,Gold,32990668,2023-01-31,446.21
28053942,Gold,76671068,2023-01-31,70.94
28063272,Gold,22848101,2023-01-31,252.41
28142099,Gold,84176902,2023-01-31,420.86
28222331,Basic,76220277,2023-01-31,137.74
28240243,Basic,16885088,2023-01-31,850.7
28247818,Basic,22873776,2023-01-31,150.24
28251857,Gold,64086168,2023-01-31,431.6
28254911,Basic,69713637,2023-01-31,697.78
28362321,Basic,87636187,2023-01-31,849.34
28380949,Basic,05014059,2023-01-31,937.24
28429440,Platinum,83277166,2023-01-31,538.15
28548067,Gold,07495542,2023-01-31,499.29
28553155,Basic,86162076,2023-01-31,147.09
28572979,Gold,51932920,2023-01-31,156.38
28595197,Basic,88613935,2023-01-31,897.68
