Salesperson,Date,Bike Type,Sales,YTD Total
Jenny,08/10/2021,Road,9.0,20707.0
Jenny,09/10/2021,Road,30.0,20707.0
Jenny,10/10/2021,Road,22.0,20707.0
Jenny,11/10/2021,Road,6.0,20707.0
Jenny,12/10/2021,Road,9.0,20707.0
Jenny,13/10/2021,Road,46.0,20707.0
Jenny,14/10/2021,Road,56.0,20707.0
Jenny,15/10/2021,Road,6.0,20707.0
Jenny,16/10/2021,Road,59.0,20707.0
Jenny,17/10/2021,Road,81.0,20707.0
Jenny,18/10/2021,Road,8.0,20707.0
Jenny,19/10/2021,Road,70.0,20707.0
Jenny,20/10/2021,Road,27.0,20707.0
Jenny,21/10/2021,Road,5.0,20707.0
Jenny,22/10/2021,Road,92.0,20707.0
Jenny,23/10/2021,Road,43.0,20707.0
Jenny,24/10/2021,Road,14.0,20707.0
Jenny,25/10/2021,Road,55.0,20707.0
Jenny,26/10/2021,Road,65.0,20707.0
Jenny,27/10/2021,Road,59.0,20707.0
Jenny,28/10/2021,Road,7.0,20707.0
Jenny,29/10/2021,Road,75.0,20707.0
Jenny,30/10/2021,Road,96.0,20707.0
Jenny,31/10/2021,Road,37.0,20707.0
Tom,01/10/2021,Road,6.0,74377.0
Tom,02/10/2021,Road,30.0,74377.0
Tom,03/10/2021,Road,39.0,74377.0
Tom,04/10/2021,Road,70.0,74377.0
Tom,05/10/2021,Road,72.0,74377.0
Tom,06/10/2021,Road,23.0,74377.0
Tom,07/10/2021,Road,38.0,74377.0
Tom,08/10/2021,Road,7.0,74377.0
Tom,09/10/2021,Road,96.0,74377.0
Tom,10/10/2021,Road,83.0,74377.0
Tom,11/10/2021,Road,31.0,74377.0
Tom,12/10/2021,Road,67.0,74377.0
Tom,13/10/2021,Road,93.0,74377.0
Tom,14/10/2021,Road,62.0,74377.0
Tom,15/10/2021,Road,65.0,74377.0
Tom,16/10/2021,Road,88.0,74377.0
Tom,17/10/2021,Road,72.0,74377.0
Tom,18/10/2021,Road,96.0,74377.0
Tom,19/10/2021,Road,98.0,74377.0
Tom,20/10/2021,Road,14.0,74377.0
Tom,21/10/2021,Road,66.0,74377.0
Tom,22/10/2021,Road,37.0,74377.0
Tom,23/10/2021,Road,100.0,74377.0
Tom,24/10/2021,Road,74.0,74377.0
Tom,25/10/2021,Road,92.0,74377.0
Tom,26/10/2021,Road,96.0,74377.0
Tom,27/10/2021,Road,95.0,74377.0
Tom,28/10/2021,Road,73.0,74377.0
Tom,29/10/2021,Road,51.0,74377.0
Tom,30/10/2021,Road,29.0,74377.0
Tom,31/10/2021,Road,50.0,74377.0
Carl,01/11/2021,Road,31.0,37811.0
Carl,02/11/2021,Road,96.0,37811.0
Carl,03/11/2021,Road,43.0,37811.0
Carl,04/11/2021,Road,34.0,37811.0
Carl,05/11/2021,Road,89.0,37811.0
Carl,06/11/2021,Road,69.0,37811.0
Carl,07/11/2021,Road,99.0,37811.0
Carl,08/11/2021,Road,52.0,37811.0
Carl,09/11/2021,Road,44.0,37811.0
Carl,10/11/2021,Road,31.0,37811.0
Carl,11/11/2021,Road,66.0,37811.0
Carl,12/11/2021,Road,78.0,37811.0
Carl,13/11/2021,Road,21.0,37811.0
Carl,14/11/2021,Road,59.0,37811.0
Carl,15/11/2021,Road,76.0,37811.0
Carl,16/11/2021,Road,50.0,37811.0
Carl,17/11/2021,Road,73.0,37811.0
Carl,18/11/2021,Road,25.0,37811.0
Carl,19/11/2021,Road,69.0,37811.0
Carl,20/11/2021,Road,17.0,37811.0
Carl,21/11/2021,Road,53.0,37811.0
Carl,22/11/2021,Road,73.0,37811.0
Carl,23/11/2021,Road,23.0,37811.0
Carl,24/11/2021,Road,58.0,37811.0
Carl,25/11/2021,Road,44.0,37811.0
Carl,26/11/2021,Road,43.0,37811.0
Carl,27/11/2021,Road,72.0,37811.0
Carl,28/11/2021,Road,99.0,37811.0
Carl,29/11/2021,Road,37.0,37811.0
Carl,30/11/2021,Road,31.0,37811.0
Ollie,01/11/2021,Road,50.0,50305.0
Ollie,02/11/2021,Road,65.0,50305.0
Ollie,03/11/2021,Road,28.0,50305.0
Ollie,04/11/2021,Road,88.0,50305.0
Ollie,05/11/2021,Road,43.0,50305.0
Ollie,06/11/2021,Road,74.0,50305.0
Ollie,07/11/2021,Road,12.0,50305.0
Ollie,08/11/2021,Road,1.0,50305.0
Ollie,09/11/2021,Road,81.0,50305.0
Ollie,10/11/2021,Road,26.0,50305.0
Ollie,11/11/2021,Road,14.0,50305.0
Ollie,12/11/2021,Road,56.0,50305.0
Ollie,13/11/2021,Road,27.0,50305.0
Ollie,14/11/2021,Road,88.0,50305.0
Ollie,15/11/2021,Road,89.0,50305.0
Ollie,16/11/2021,Road,18.0,50305.0
Ollie,17/11/2021,Road,66.0,50305.0
Ollie,18/11/2021,Road,45.0,50305.0
Ollie,19/11/2021,Road,94.0,50305.0
Ollie,20/11/2021,Road,10.0,50305.0
Ollie,21/11/2021,Road,20.0,50305.0
Ollie,22/11/2021,Road,84.0,50305.0
Ollie,23/11/2021,Road,91.0,50305.0
Ollie,24/11/2021,Road,80.0,50305.0
Ollie,25/11/2021,Road,62.0,50305.0
Ollie,26/11/2021,Road,97.0,50305.0
Ollie,27/11/2021,Road,3.0,50305.0
Ollie,28/11/2021,Road,6.0,50305.0
Ollie,29/11/2021,Road,72.0,50305.0
Ollie,30/11/2021,Road,79.0,50305.0
Lorna,01/11/2021,Road,65.0,69113.0
Lorna,02/11/2021,Road,84.0,69113.0
Lorna,03/11/2021,Road,46.0,69113.0
Lorna,04/11/2021,Road,13.0,69113.0
Lorna,05/11/2021,Road,42.0,69113.0
Lorna,06/11/2021,Road,43.0,69113.0
Lorna,07/11/2021,Road,98.0,69113.0
Lorna,08/11/2021,Road,83.0,69113.0
Lorna,09/11/2021,Road,32.0,69113.0
Lorna,10/11/2021,Road,49.0,69113.0
Lorna,11/11/2021,Road,99.0,69113.0
Lorna,12/11/2021,Road,48.0,69113.0
Lorna,13/11/2021,Road,74.0,69113.0
Lorna,14/11/2021,Road,15.0,69113.0
Lorna,15/11/2021,Road,73.0,69113.0
Lorna,16/11/2021,Road,43.0,69113.0
Lorna,17/11/2021,Road,52.0,69113.0
Lorna,18/11/2021,Road,65.0,69113.0
Lorna,19/11/2021,Road,11.0,69113.0
Lorna,20/11/2021,Road,7.0,69113.0
Lorna,21/11/2021,Road,52.0,69113.0
Lorna,22/11/2021,Road,21.0,69113.0
Lorna,23/11/2021,Road,98.0,69113.0
Lorna,24/11/2021,Road,46.0,69113.0
Lorna,25/11/2021,Road,15.0,69113.0
Lorna,26/11/2021,Road,42.0,69113.0
Lorna,27/11/2021,Road,79.0,69113.0
Lorna,28/11/2021,Road,78.0,69113.0
Lorna,29/11/2021,Road,23.0,69113.0
Lorna,30/11/2021,Road,84.0,69113.0
Jenny,01/11/2021,Road,50.0,24839.0
Jenny,02/11/2021,Road,54.0,24839.0
Jenny,03/11/2021,Road,44.0,24839.0
Jenny,04/11/2021,Road,57.0,24839.0
Jenny,05/11/2021,Road,1.0,24839.0
Jenny,06/11/2021,Road,50.0,24839.0
Jenny,07/11/2021,Road,15.0,24839.0
Jenny,08/11/2021,Road,61.0,24839.0
Jenny,09/11/2021,Road,45.0,24839.0
Jenny,10/11/2021,Road,24.0,24839.0
Jenny,11/11/2021,Road,73.0,24839.0
Jenny,12/11/2021,Road,4.0,24839.0
Jenny,13/11/2021,Road,85.0,24839.0
Jenny,14/11/2021,Road,2.0,24839.0
Jenny,15/11/2021,Road,35.0,24839.0
Jenny,16/11/2021,Road,21.0,24839.0
Jenny,17/11/2021,Road,14.0,24839.0
Jenny,18/11/2021,Road,84.0,24839.0
Jenny,19/11/2021,Road,5.0,24839.0
Jenny,20/11/2021,Road,22.0,24839.0
Jenny,21/11/2021,Road,67.0,24839.0
Jenny,22/11/2021,Road,82.0,24839.0
Jenny,23/11/2021,Road,52.0,24839.0
Jenny,24/11/2021,Road,43.0,24839.0
Jenny,25/11/2021,Road,23.0,24839.0
Jenny,26/11/2021,Road,34.0,24839.0
Jenny,27/11/2021,Road,99.0,24839.0
Jenny,28/11/2021,Road,5.0,24839.0
Jenny,29/11/2021,Road,30.0,24839.0
Jenny,30/11/2021,Road,7.0,24839.0
Tom,01/11/2021,Road,2.0,78772.0
Tom,02/11/2021,Road,3.0,78772.0
Tom,03/11/2021,Road,30.0,78772.0
Tom,04/11/2021,Road,10.0,78772.0
Tom,05/11/2021,Road,12.0,78772.0
Tom,06/11/2021,Road,15.0,78772.0
Tom,07/11/2021,Road,64.0,78772.0
Tom,08/11/2021,Road,89.0,78772.0
Tom,09/11/2021,Road,37.0,78772.0
Tom,10/11/2021,Road,64.0,78772.0
Tom,11/11/2021,Road,35.0,78772.0
Tom,12/11/2021,Road,58.0,78772.0
Tom,13/11/2021,Road,8.0,78772.0
Tom,14/11/2021,Road,44.0,78772.0
Tom,15/11/2021,Road,62.0,78772.0
Tom,16/11/2021,Road,54.0,78772.0
Tom,17/11/2021,Road,100.0,78772.0
Tom,18/11/2021,Road,41.0,78772.0
Tom,19/11/2021,Road,21.0,78772.0
Tom,20/11/2021,Road,54.0,78772.0
Tom,21/11/2021,Road,16.0,78772.0
Tom,22/11/2021,Road,44.0,78772.0
Tom,23/11/2021,Road,25.0,78772.0
Tom,24/11/2021,Road,53.0,78772.0
Tom,25/11/2021,Road,77.0,78772.0
Tom,26/11/2021,Road,72.0,78772.0
Tom,27/11/2021,Road,67.0,78772.0
Tom,28/11/2021,Road,65.0,78772.0
Tom,29/11/2021,Road,96.0,78772.0
Tom,30/11/2021,Road,61.0,78772.0
Carl,01/01/2022,Road,1.0,10.0
Carl,02/01/2022,Road,1.0,10.0
Carl,03/01/2022,Road,1.0,10.0
Carl,04/01/2022,Road,1.0,10.0
Carl,05/01/2022,Road,1.0,10.0
Carl,06/01/2022,Road,1.0,10.0
Carl,07/01/2022,Road,1.0,10.0
Carl,08/01/2022,Road,1.0,10.0
Carl,09/01/2022,Road,1.0,10.0
Carl,10/01/2022,Road,1.0,10.0
Ollie,01/01/2022,Road,,10.0
Ollie,02/01/2022,Road,,10.0
Ollie,03/01/2022,Road,,10.0
Ollie,04/01/2022,Road,,10.0
Ollie,05/01/2022,Road,,10.0
Ollie,06/01/2022,Road,,10.0
Ollie,07/01/2022,Road,,10.0
Ollie,08/01/2022,Road,,10.0
Ollie,09/01/2022,Road,,10.0
Ollie,10/01/2022,Road,,10.0
Carl,01/10/2021,Gravel,21.0,32768.0
Carl,02/10/2021,Gravel,84.0,32768.0
Carl,03/10/2021,Gravel,26.0,32768.0
Carl,04/10/2021,Gravel,30.0,32768.0
Carl,05/10/2021,Gravel,39.0,32768.0
Carl,06/10/2021,Gravel,45.0,32768.0
Carl,07/10/2021,Gravel,2.0,32768.0
Carl,08/10/2021,Gravel,16.0,32768.0
Carl,09/10/2021,Gravel,52.0,32768.0
Carl,10/10/2021,Gravel,2.0,32768.0
Carl,11/10/2021,Gravel,76.0,32768.0
Carl,12/10/2021,Gravel,45.0,32768.0
Carl,13/10/2021,Gravel,67.0,32768.0
Carl,14/10/2021,Gravel,35.0,32768.0
Carl,15/10/2021,Gravel,82.0,32768.0
Carl,16/10/2021,Gravel,54.0,32768.0
Carl,17/10/2021,Gravel,66.0,32768.0
Carl,18/10/2021,Gravel,80.0,32768.0
Carl,19/10/2021,Gravel,81.0,32768.0
Carl,20/10/2021,Gravel,22.0,32768.0
Carl,21/10/2021,Gravel,60.0,32768.0
Carl,22/10/2021,Gravel,73.0,32768.0
Carl,23/10/2021,Gravel,67.0,32768.0
Carl,24/10/2021,Gravel,73.0,32768.0
Carl,25/10/2021,Gravel,77.0,32768.0
Carl,26/10/2021,Gravel,22.0,32768.0
Carl,27/10/2021,Gravel,41.0,32768.0
Carl,28/10/2021,Gravel,59.0,32768.0
Carl,29/10/2021,Gravel,36.0,32768.0
Carl,30/10/2021,Gravel,59.0,32768.0
Carl,31/10/2021,Gravel,42.0,32768.0
Ollie,01/10/2021,Gravel,24.0,45627.0
Ollie,02/10/2021,Gravel,3.0,45627.0
Ollie,03/10/2021,Gravel,22.0,45627.0
Ollie,04/10/2021,Gravel,21.0,45627.0
Ollie,05/10/2021,Gravel,89.0,45627.0
Ollie,06/10/2021,Gravel,73.0,45627.0
Ollie,07/10/2021,Gravel,21.0,45627.0
Ollie,08/10/2021,Gravel,82.0,45627.0
Ollie,09/10/2021,Gravel,79.0,45627.0
Ollie,10/10/2021,Gravel,48.0,45627.0
Ollie,11/10/2021,Gravel,13.0,45627.0
Ollie,12/10/2021,Gravel,79.0,45627.0
Ollie,13/10/2021,Gravel,41.0,45627.0
Ollie,14/10/2021,Gravel,44.0,45627.0
Ollie,15/10/2021,Gravel,22.0,45627.0
Ollie,16/10/2021,Gravel,25.0,45627.0
Ollie,17/10/2021,Gravel,40.0,45627.0
Ollie,18/10/2021,Gravel,68.0,45627.0
Ollie,19/10/2021,Gravel,59.0,45627.0
Ollie,20/10/2021,Gravel,54.0,45627.0
Ollie,21/10/2021,Gravel,71.0,45627.0
Ollie,22/10/2021,Gravel,84.0,45627.0
Ollie,23/10/2021,Gravel,41.0,45627.0
Ollie,24/10/2021,Gravel,74.0,45627.0
Ollie,25/10/2021,Gravel,27.0,45627.0
Ollie,26/10/2021,Gravel,12.0,45627.0
Ollie,27/10/2021,Gravel,60.0,45627.0
Ollie,28/10/2021,Gravel,37.0,45627.0
Ollie,29/10/2021,Gravel,9.0,45627.0
Ollie,30/10/2021,Gravel,52.0,45627.0
Ollie,31/10/2021,Gravel,18.0,45627.0
Lorna,01/10/2021,Gravel,9.0,64704.0
Lorna,02/10/2021,Gravel,54.0,64704.0
Lorna,03/10/2021,Gravel,57.0,64704.0
Lorna,04/10/2021,Gravel,48.0,64704.0
Lorna,05/10/2021,Gravel,70.0,64704.0
Lorna,06/10/2021,Gravel,90.0,64704.0
Lorna,07/10/2021,Gravel,78.0,64704.0
Lorna,08/10/2021,Gravel,96.0,64704.0
Lorna,09/10/2021,Gravel,52.0,64704.0
Lorna,10/10/2021,Gravel,64.0,64704.0
Lorna,11/10/2021,Gravel,96.0,64704.0
Lorna,12/10/2021,Gravel,65.0,64704.0
Lorna,13/10/2021,Gravel,24.0,64704.0
Lorna,14/10/2021,Gravel,55.0,64704.0
Lorna,15/10/2021,Gravel,77.0,64704.0
Lorna,16/10/2021,Gravel,74.0,64704.0
Lorna,17/10/2021,Gravel,83.0,64704.0
Lorna,18/10/2021,Gravel,35.0,64704.0
Lorna,19/10/2021,Gravel,51.0,64704.0
Lorna,20/10/2021,Gravel,35.0,64704.0
Lorna,21/10/2021,Gravel,73.0,64704.0
Lorna,22/10/2021,Gravel,30.0,64704.0
Lorna,23/10/2021,Gravel,14.0,64704.0
Lorna,24/10/2021,Gravel,1.0,64704.0
Lorna,25/10/2021,Gravel,80.0,64704.0
Lorna,26/10/2021,Gravel,36.0,64704.0
Lorna,27/10/2021,Gravel,11.0,64704.0
Lorna,28/10/2021,Gravel,9.0,64704.0
Lorna,29/10/2021,Gravel,1.0,64704.0
Lorna,30/10/2021,Gravel,52.0,64704.0
Lorna,31/10/2021,Gravel,8.0,64704.0
Jenny,01/10/2021,Gravel,25.0,20707.0
Jenny,02/10/2021,Gravel,60.0,20707.0
Jenny,03/10/2021,Gravel,57.0,20707.0
Jenny,04/10/2021,Gravel,76.0,20707.0
Jenny,05/10/2021,Gravel,72.0,20707.0
Jenny,06/10/2021,Gravel,79.0,20707.0
Jenny,07/10/2021,Gravel,94.0,20707.0
Jenny,08/10/2021,Gravel,49.0,20707.0
Jenny,09/10/2021,Gravel,5.0,20707.0
Jenny,10/10/2021,Gravel,11.0,20707.0
Jenny,11/10/2021,Gravel,88.0,20707.0
Jenny,12/10/2021,Gravel,4.0,20707.0
Jenny,13/10/2021,Gravel,50.0,20707.0
Jenny,14/10/2021,Gravel,11.0,20707.0
Jenny,15/10/2021,Gravel,84.0,20707.0
Jenny,16/10/2021,Gravel,57.0,20707.0
Jenny,17/10/2021,Gravel,24.0,20707.0
Jenny,18/10/2021,Gravel,83.0,20707.0
Jenny,19/10/2021,Gravel,100.0,20707.0
Jenny,20/10/2021,Gravel,41.0,20707.0
Jenny,21/10/2021,Gravel,4.0,20707.0
Jenny,22/10/2021,Gravel,12.0,20707.0
Jenny,23/10/2021,Gravel,33.0,20707.0
Jenny,24/10/2021,Gravel,47.0,20707.0
Jenny,25/10/2021,Gravel,21.0,20707.0
Jenny,26/10/2021,Gravel,100.0,20707.0
Jenny,27/10/2021,Gravel,18.0,20707.0
Jenny,28/10/2021,Gravel,25.0,20707.0
Jenny,29/10/2021,Gravel,85.0,20707.0
Jenny,30/10/2021,Gravel,42.0,20707.0
Jenny,31/10/2021,Gravel,0.0,20707.0
Tom,01/10/2021,Gravel,71.0,74377.0
Tom,02/10/2021,Gravel,41.0,74377.0
Tom,03/10/2021,Gravel,87.0,74377.0
Tom,04/10/2021,Gravel,4.0,74377.0
Tom,05/10/2021,Gravel,73.0,74377.0
Tom,06/10/2021,Gravel,58.0,74377.0
Tom,07/10/2021,Gravel,77.0,74377.0
Tom,08/10/2021,Gravel,64.0,74377.0
Tom,09/10/2021,Gravel,74.0,74377.0
Tom,10/10/2021,Gravel,63.0,74377.0
Tom,11/10/2021,Gravel,44.0,74377.0
Tom,12/10/2021,Gravel,96.0,74377.0
Tom,13/10/2021,Gravel,39.0,74377.0
Tom,14/10/2021,Gravel,69.0,74377.0
Tom,15/10/2021,Gravel,15.0,74377.0
Tom,16/10/2021,Gravel,87.0,74377.0
Tom,17/10/2021,Gravel,71.0,74377.0
Tom,18/10/2021,Gravel,33.0,74377.0
Tom,19/10/2021,Gravel,64.0,74377.0
Tom,20/10/2021,Gravel,25.0,74377.0
Tom,21/10/2021,Gravel,2.0,74377.0
Tom,22/10/2021,Gravel,69.0,74377.0
Tom,23/10/2021,Gravel,74.0,74377.0
Tom,24/10/2021,Gravel,81.0,74377.0
Tom,25/10/2021,Gravel,53.0,74377.0
Tom,26/10/2021,Gravel,48.0,74377.0
Tom,27/10/2021,Gravel,61.0,74377.0
Tom,28/10/2021,Gravel,40.0,74377.0
Tom,29/10/2021,Gravel,89.0,74377.0
Tom,30/10/2021,Gravel,58.0,74377.0
Tom,31/10/2021,Gravel,17.0,74377.0
Carl,01/11/2021,Gravel,66.0,37811.0
Carl,02/11/2021,Gravel,87.0,37811.0
Carl,03/11/2021,Gravel,65.0,37811.0
Carl,04/11/2021,Gravel,48.0,37811.0
Carl,05/11/2021,Gravel,17.0,37811.0
Carl,06/11/2021,Gravel,60.0,37811.0
Carl,07/11/2021,Gravel,46.0,37811.0
Carl,08/11/2021,Gravel,56.0,37811.0
Carl,09/11/2021,Gravel,92.0,37811.0
Carl,10/11/2021,Gravel,92.0,37811.0
Carl,11/11/2021,Gravel,34.0,37811.0
Carl,12/11/2021,Gravel,69.0,37811.0
Carl,13/11/2021,Gravel,57.0,37811.0
Carl,14/11/2021,Gravel,30.0,37811.0
Carl,15/11/2021,Gravel,83.0,37811.0
Carl,16/11/2021,Gravel,41.0,37811.0
Carl,17/11/2021,Gravel,91.0,37811.0
Carl,18/11/2021,Gravel,92.0,37811.0
Carl,19/11/2021,Gravel,77.0,37811.0
Carl,20/11/2021,Gravel,71.0,37811.0
Carl,21/11/2021,Gravel,11.0,37811.0
Carl,22/11/2021,Gravel,65.0,37811.0
Carl,23/11/2021,Gravel,17.0,37811.0
Carl,24/11/2021,Gravel,97.0,37811.0
Carl,25/11/2021,Gravel,48.0,37811.0
Carl,26/11/2021,Gravel,61.0,37811.0
Carl,27/11/2021,Gravel,41.0,37811.0
Carl,28/11/2021,Gravel,79.0,37811.0
Carl,29/11/2021,Gravel,61.0,37811.0
Carl,30/11/2021,Gravel,46.0,37811.0
Ollie,01/11/2021,Gravel,6.0,50305.0
Ollie,02/11/2021,Gravel,50.0,50305.0
Ollie,03/11/2021,Gravel,87.0,50305.0
Ollie,04/11/2021,Gravel,62.0,50305.0
Ollie,05/11/2021,Gravel,59.0,50305.0
Ollie,06/11/2021,Gravel,16.0,50305.0
Ollie,07/11/2021,Gravel,44.0,50305.0
Ollie,08/11/2021,Gravel,14.0,50305.0
Ollie,09/11/2021,Gravel,13.0,50305.0
Ollie,10/11/2021,Gravel,98.0,50305.0
Ollie,11/11/2021,Gravel,95.0,50305.0
Ollie,12/11/2021,Gravel,17.0,50305.0
Ollie,13/11/2021,Gravel,96.0,50305.0
Ollie,14/11/2021,Gravel,7.0,50305.0
Ollie,15/11/2021,Gravel,55.0,50305.0
Ollie,16/11/2021,Gravel,12.0,50305.0
Ollie,17/11/2021,Gravel,99.0,50305.0
Ollie,18/11/2021,Gravel,96.0,50305.0
Ollie,19/11/2021,Gravel,48.0,50305.0
Ollie,20/11/2021,Gravel,78.0,50305.0
Ollie,21/11/2021,Gravel,48.0,50305.0
Ollie,22/11/2021,Gravel,49.0,50305.0
Ollie,23/11/2021,Gravel,80.0,50305.0
Ollie,24/11/2021,Gravel,81.0,50305.0
Ollie,25/11/2021,Gravel,57.0,50305.0
Ollie,26/11/2021,Gravel,90.0,50305.0
Ollie,27/11/2021,Gravel,65.0,50305.0
Ollie,28/11/2021,Gravel,95.0,50305.0
Ollie,29/11/2021,Gravel,63.0,50305.0
Ollie,30/11/2021,Gravel,50.0,50305.0
Lorna,01/11/2021,Gravel,55.0,69113.0
Lorna,02/11/2021,Gravel,64.0,69113.0
Lorna,03/11/2021,Gravel,26.0,69113.0
Lorna,04/11/2021,Gravel,6.0,69113.0
Lorna,05/11/2021,Gravel,2.0,69113.0
Lorna,06/11/2021,Gravel,25.0,69113.0
Lorna,07/11/2021,Gravel,83.0,69113.0
Lorna,08/11/2021,Gravel,98.0,69113.0
Lorna,09/11/2021,Gravel,65.0,69113.0
Lorna,10/11/2021,Gravel,20.0,69113.0
Lorna,11/11/2021,Gravel,50.0,69113.0
Lorna,12/11/2021,Gravel,85.0,69113.0
Lorna,13/11/2021,Gravel,27.0,69113.0
Lorna,14/11/2021,Gravel,64.0,69113.0
Lorna,15/11/2021,Gravel,73.0,69113.0
Lorna,16/11/2021,Gravel,12.0,69113.0
Lorna,17/11/2021,Gravel,0.0,69113.0
Lorna,18/11/2021,Gravel,46.0,69113.0
Lorna,19/11/2021,Gravel,56.0,69113.0
Lorna,20/11/2021,Gravel,91.0,69113.0
Lorna,21/11/2021,Gravel,41.0,69113.0
Lorna,22/11/2021,Gravel,51.0,69113.0
Lorna,23/11/2021,Gravel,91.0,69113.0
Lorna,24/11/2021,Gravel,94.0,69113.0
Lorna,25/11/2021,Gravel,29.0,69113.0
Lorna,26/11/2021,Gravel,82.0,69113.0
Lorna,27/11/2021,Gravel,2.0,69113.0
Lorna,28/11/2021,Gravel,45.0,69113.0
Lorna,29/11/2021,Gravel,68.0,69113.0
Lorna,30/11/2021,Gravel,16.0,69113.0
Jenny,01/11/2021,Gravel,6.0,24839.0
Jenny,02/11/2021,Gravel,5.0,24839.0
