Total Customers,Running % Total Sales,% of Total,Customer ID,First Name,Surname,Sales
690,55.66,0.184692335,102,Julieta,Clyde,3675.861
690,55.84,0.183563740,469,Kirbee,Tetsall,3653.399
690,56.03,0.183486338,178,Christine,Whittles,3651.8585
690,56.21,0.183140630,247,Kevina,Teresse,3644.978
690,56.39,0.182669134,401,Florina,Illes,3635.594
690,56.58,0.182153373,730,Gawain,Chesshyre,3625.329
690,56.76,0.181954755,643,Othella,Beloe,3621.376
690,56.94,0.180342907,733,Noland,Sharland,3589.296
690,57.12,0.180017523,304,Etta,Glenton,3582.82
690,57.3,0.177831981,222,Kasper,Smieton,3539.322
690,57.47,0.176381720,278,April,de Zamora,3510.458
690,57.65,0.175637496,663,Camille,Ordidge,3495.646
690,57.82,0.175305560,25,Marlena,Longley,3489.0396
690,58,0.175098572,256,Sherilyn,Forryan,3484.92
690,58.17,0.173591032,614,Jamil,Ankers,3454.916
690,58.34,0.171175445,692,Ilene,Mallen,3406.8395
690,58.51,0.171162457,688,Ephraim,Good,3406.581
690,58.68,0.169228691,769,Ilise,Morefield,3368.094
690,58.85,0.168970916,668,Konstanze,O'Clery,3362.9636
690,59.02,0.168848439,784,Terrie,Elmer,3360.526
690,59.19,0.168641030,210,Amargo,Cabedo,3356.398
690,59.36,0.167896856,239,Urbanus,Niece,3341.587
690,59.53,0.167643020,687,Franchot,Kabsch,3336.535
690,59.69,0.167624580,200,Fredric,Dalgarno,3336.168
690,59.86,0.166990895,45,Shellysheldon,Newberry,3323.556
690,60.03,0.166453679,429,Case,Pabst,3312.864
690,60.19,0.166267071,640,Norbert,Castangia,3309.15
690,60.36,0.165920985,657,Dyane,Crus,3302.262
690,60.52,0.165228062,71,Erasmus,Sambals,3288.471
690,60.69,0.164789677,662,Magdalene,Seger,3279.746
690,60.85,0.164410531,219,Nicoline,Stallwood,3272.2
690,61.02,0.163620685,211,Talia,Rushbrook,3256.48
690,61.18,0.163561899,53,Stanislaw,Spon,3255.31
690,61.34,0.163543760,397,Bronnie,Earland,3254.949
690,61.51,0.163312032,29,Lammond,Brazel,3250.337
690,61.67,0.163176623,323,Ev,Kale,3247.642
690,61.83,0.163125574,454,Kali,Ducham,3246.626
690,62,0.162888018,182,Johna,Prettyjohn,3241.898
690,62.16,0.162607452,248,Jefferson,Parminter,3236.314
690,62.32,0.162305682,480,Modesty,Ravenscraft,3230.308
690,62.48,0.161852576,658,Gaelan,Plumley,3221.29
690,62.65,0.161498150,57,Tess,McIlwreath,3214.236
690,62.81,0.161090968,533,Melania,Galletly,3206.132
690,62.97,0.160891496,177,Constantine,Sharphurst,3202.162
690,63.13,0.160619673,116,Eleanore,D'Enrico,3196.752
690,63.29,0.160572744,205,Myles,Escale,3195.818
690,63.45,0.159470176,387,Babara,Kedge,3173.874
690,63.61,0.158955369,307,Bentley,Coils,3163.628
690,63.77,0.158728967,390,Helyn,Peagrim,3159.122
690,63.92,0.158514573,148,Cyrus,Vreede,3154.855
690,64.08,0.158402025,415,Emalia,Curnok,3152.615
690,64.24,0.158003233,540,Leda,Caldecot,3144.678
690,64.4,0.157462902,636,Lloyd,Eddleston,3133.924
690,64.56,0.157276846,756,Sibylla,Lorkins,3130.221
690,64.71,0.157006078,690,Cal,Witherup,3124.832
690,64.87,0.155789153,430,Maura,Heggadon,3100.612
690,65.02,0.155100550,592,Vitia,Raitt,3086.907
690,65.18,0.154886809,262,Cara,Dye,3082.653
690,65.33,0.154684373,305,Bailey,Domenici,3078.624
690,65.49,0.154307639,253,Horatia,Knibb,3071.126
690,65.64,0.153826144,508,Adan,Greasley,3061.543
690,65.79,0.153602908,444,Keenan,MacHostie,3057.1
690,65.95,0.153588186,715,Shannon,Eliassen,3056.807
690,66.1,0.153397507,699,Matt,Garrud,3053.012
690,66.25,0.153280940,52,Carolann,Beagles,3050.692
690,66.41,0.152822407,125,Karissa,Dyble,3041.566
690,66.56,0.152570229,173,Selle,Maclean,3036.547
690,66.71,0.150164867,473,Danie,Kreber,2988.674
690,66.86,0.149977656,515,Maxy,Dadge,2984.948
690,67.01,0.149932737,280,Bren,Fitkin,2984.054
690,67.16,0.148966482,577,Latia,Arlidge,2964.823
690,67.31,0.148484284,754,Frasco,Cadwaladr,2955.226
690,67.46,0.147986611,149,Cristian,Glendenning,2945.321
690,67.6,0.147401512,67,Aundrea,Cutford,2933.676
690,67.75,0.147341621,383,Nathanil,Jinkins,2932.484
690,67.9,0.146791944,728,Stormi,Hourigan,2921.544
690,68.04,0.146789734,521,Easter,Nicely,2921.5
690,68.19,0.145710780,186,Adelle,Meddemmen,2900.026
690,68.34,0.145380622,560,Elinor,Nutting,2893.455
690,68.48,0.145214011,543,Alexia,Alexandersson,2890.139
690,68.63,0.145131962,81,Retha,Slight,2888.506
690,68.77,0.144795664,237,Derry,Reinhart,2881.8128
690,68.91,0.144505913,613,Haywood,Niese,2876.046
690,69.06,0.144334278,338,Dame,Wilcock,2872.63
690,69.2,0.144204646,133,Amalle,Collier,2870.05
690,69.35,0.143403998,138,Fay,Dinning,2854.115
690,69.49,0.143346367,62,Marvin,Rene,2852.968
690,69.63,0.143031685,246,Mirabelle,Shergill,2846.705
690,69.78,0.142959584,472,Hynda,Webermann,2845.27
690,69.92,0.142655966,190,Dolley,Randall,2839.2272
690,70.06,0.142223902,183,Alikee,Cowhig,2830.628
690,70.2,0.141711206,768,Thelma,Danielian,2820.424
690,70.34,0.141663122,299,Malcolm,Petroff,2819.467
690,70.48,0.140632152,86,Devan,Souten,2798.948
690,70.62,0.140013339,633,Andeee,Antwis,2786.632
690,70.76,0.139280922,347,Ludovico,Florez,2772.055
690,70.9,0.139177670,590,Pavel,Fairfoul,2770
690,71.04,0.139037939,250,Herschel,Lewing,2767.219
690,71.18,0.138384608,176,Rosa,Lars,2754.216
690,71.32,0.137730825,465,Henriette,Aymeric,2741.204
690,71.46,0.136966001,487,Selina,Keddie,2725.982
690,71.59,0.136929523,389,Carson,Biasi,2725.256
690,71.73,0.136144501,378,Junina,Link,2709.632
690,71.86,0.135522271,358,Micky,Chisholm,2697.248
690,72,0.134881350,115,Valeda,Keasley,2684.492
690,72.13,0.134792719,97,Leicester,Pace,2682.728
690,72.27,0.134577169,290,Raven,Wharin,2678.438
690,72.4,0.134318510,566,Janean,Richen,2673.29
690,72.54,0.133805814,623,Mavra,Toffolo,2663.086
690,72.67,0.133484499,265,Kessia,Kellegher,2656.691
690,72.8,0.133176298,214,Tracey,Peyton,2650.557
690,72.94,0.133062253,123,Bastian,Ivakin,2648.2872
690,73.07,0.132323395,456,Wynn,Schall,2633.582
690,73.2,0.131535760,617,Jaye,Lindup,2617.906
690,73.33,0.131503905,440,Vinita,Holhouse,2617.272
690,73.46,0.130765485,706,Galven,Ferie,2602.5755
690,73.59,0.130403146,720,Elsinore,Scapens,2595.364
690,73.72,0.129840104,318,Milka,Wadlow,2584.158
690,73.85,0.129776796,19,Fowler,Mattholie,2582.898
690,73.98,0.129666559,451,Rollie,Bassam,2580.704
690,74.11,0.129450708,678,Davidson,Sparway,2576.408
690,74.24,0.129423325,576,Paul,Benfield,2575.863
690,74.37,0.128978509,268,Elsbeth,Edon,2567.01
690,74.5,0.128872794,552,Dario,Colt,2564.906
690,74.63,0.128745977,109,Lorilee,Howey,2562.382
690,74.76,0.128167761,203,Ketty,Domonkos,2550.874
690,74.88,0.127653105,136,Krishnah,Beyne,2540.631
690,75.01,0.127505135,14,Turner,Grattan,2537.686
690,75.14,0.127285465,158,Urbanus,Gonsalvez,2533.314
690,75.27,0.127277929,321,Dennie,Keford,2533.164
690,75.39,0.126780607,289,Malena,Mordon,2523.266
690,75.52,0.126440350,410,Marion,Samme,2516.494
690,75.64,0.125380068,33,Madelle,Giffaut,2495.3916
690,75.77,0.125270655,604,Ingaberg,Totman,2493.214
690,75.89,0.125024255,579,Ellswerth,Teall,2488.31
690,76.02,0.124503520,529,Isabelle,Verling,2477.946
690,76.14,0.124363387,104,Merline,Munsey,2475.157
690,76.27,0.124187179,130,Luise,Thame,2471.65
690,76.39,0.123672373,555,Manolo,Elford,2461.404
690,76.51,0.123432907,287,Ines,Brader,2456.638
690,76.64,0.123409995,512,Goldina,Mynett,2456.182
690,76.76,0.123346988,107,Caprice,Shoobridge,2454.928
690,76.88,0.123343873,781,Aylmar,Gallant,2454.866
690,77.01,0.123331614,316,Prent,O'Dyvoy,2454.622
690,77.13,0.123264386,484,Alisander,Askwith,2453.284
690,77.25,0.122699636,100,Pepito,Allaway,2442.044
690,77.38,0.121896878,490,Bonny,Duerden,2426.067
690,77.5,0.120286939,510,Nikita,Saywood,2394.025
690,77.62,0.120111535,204,Rois,Prattin,2390.534
690,77.74,0.119313851,789,Alidia,Hall-Gough,2374.658
690,77.85,0.119217984,150,Nollie,Chapelle,2372.75
690,77.97,0.119152565,362,Orelia,Allonby,2371.448
690,78.09,0.118942995,575,Lauretta,Revelle,2367.277
690,78.21,0.118510841,365,Elnar,Lowdwell,2358.676
690,78.33,0.118419345,23,Ettie,Percival,2356.855
690,78.45,0.118255096,154,Fulton,Kruger,2353.586
690,78.57,0.118084364,504,Vilma,Nare,2350.188
690,78.68,0.117637589,641,Korie,MacLardie,2341.296
690,78.8,0.117552273,269,Vinny,Siggs,2339.598
690,78.92,0.117199506,193,Aylmer,Franssen,2332.577
690,79.03,0.115849683,160,Merrel,Azemar,2305.712
690,79.15,0.115681665,518,Emlynne,Lawday,2302.368
690,79.27,0.115328144,462,Isiahi,Ebbetts,2295.332
690,79.38,0.114586935,442,Talia,Cleator,2280.58
690,79.49,0.114536992,359,Lawton,Gosnold,2279.586
690,79.61,0.114119861,285,Joellen,Tucsell,2271.284
690,79.72,0.114040349,137,Asia,Vamplers,2269.7015
690,79.84,0.113625152,77,Haley,Fenning,2261.438
690,79.95,0.113601034,436,Ivory,McAne,2260.958
