Pupil Name,Date of Birth,"This Year's Birthday",Month,Cake Needed On,BDs per Weekday and Month
Babs Swaysland,21/04/2013,21/04/2022,April,Thursday,11
Elianora Killshaw,07/04/2014,07/04/2022,April,Thursday,11
Pail Weadick,21/04/2015,21/04/2022,April,Thursday,11
Muhammad Daysh,14/04/2015,14/04/2022,April,Thursday,11
Drusi Beckenham,14/04/2012,14/04/2022,April,Thursday,11
Rosemonde Grovier,07/04/2015,07/04/2022,April,Thursday,11
Leroi Heikkinen,21/04/2012,21/04/2022,April,Thursday,11
Seumas Plum,28/04/2013,28/04/2022,April,Thursday,11
Hayley Rizzini,26/04/2014,26/04/2022,April,Tuesday,4
Margi Sentance,26/04/2015,26/04/2022,April,Tuesday,4
Hardy Burford,05/04/2014,05/04/2022,April,Tuesday,4
Ferd Dey,05/04/2015,05/04/2022,April,Tuesday,4
Wolfgang Clubbe,20/04/2014,20/04/2022,April,Wednesday,12
Malena Bennough,20/04/2013,20/04/2022,April,Wednesday,12
Jeremiah Diack,27/04/2012,27/04/2022,April,Wednesday,12
Ariana Shearmer,20/04/2015,20/04/2022,April,Wednesday,12
Reyna Dudson,27/04/2015,27/04/2022,April,Wednesday,12
Blanca Arnaez,27/04/2015,27/04/2022,April,Wednesday,12
Massimo Bedminster,13/04/2014,13/04/2022,April,Wednesday,12
Nikolai Paynton,06/04/2015,06/04/2022,April,Wednesday,12
Aliza Tarbett,06/04/2014,06/04/2022,April,Wednesday,12
Stacee Spinetti,20/04/2015,20/04/2022,April,Wednesday,12
Loydie Capewell,06/04/2014,06/04/2022,April,Wednesday,12
Lia Cavilla,06/04/2015,06/04/2022,April,Wednesday,12
Brigida De Ath,07/08/2014,07/08/2022,August,Friday,24
Maribeth Blumson,27/08/2014,27/08/2022,August,Friday,24
Constantina McIlwaine,26/08/2014,26/08/2022,August,Friday,24
Teodor Wragge,14/08/2015,14/08/2022,August,Friday,24
Brynna Armit,12/08/2012,12/08/2022,August,Friday,24
Helli Owbridge,05/08/2014,05/08/2022,August,Friday,24
Aldis Sherewood,21/08/2013,21/08/2022,August,Friday,24
Emelyne Pierro,14/08/2012,14/08/2022,August,Friday,24
Sofie Duinbleton,28/08/2015,28/08/2022,August,Friday,24
Blake MacIlhargy,21/08/2014,21/08/2022,August,Friday,24
Nathanial Matczak,27/08/2013,27/08/2022,August,Friday,24
Cynthie Marthen,26/08/2014,26/08/2022,August,Friday,24
Grethel Husset,07/08/2015,07/08/2022,August,Friday,24
Janetta Dressell,26/08/2015,26/08/2022,August,Friday,24
Charita Mabee,27/08/2013,27/08/2022,August,Friday,24
Rica Greensitt,21/08/2013,21/08/2022,August,Friday,24
Zak Lillee,26/08/2013,26/08/2022,August,Friday,24
"Eddy O'Gaven",26/08/2013,26/08/2022,August,Friday,24
Markus Madill,21/08/2014,21/08/2022,August,Friday,24
Lindi Veare,27/08/2014,27/08/2022,August,Friday,24
Lacey Addeycott,28/08/2013,28/08/2022,August,Friday,24
Caye Gove,13/08/2013,13/08/2022,August,Friday,24
Virgie Roark,12/08/2015,12/08/2022,August,Friday,24
Pincas Sogg,19/08/2015,19/08/2022,August,Friday,24
Brady Seeds,15/08/2012,15/08/2022,August,Monday,12
Grover Barstock,15/08/2013,15/08/2022,August,Monday,12
Ranna Eagland,29/08/2013,29/08/2022,August,Monday,12
Prudy Duetsche,01/08/2015,01/08/2022,August,Monday,12
Buckie Ezzle,29/08/2015,29/08/2022,August,Monday,12
Adlai Trippitt,22/08/2013,22/08/2022,August,Monday,12
Dru Lorryman,15/08/2012,15/08/2022,August,Monday,12
Randell Gummow,01/08/2013,01/08/2022,August,Monday,12
Alyda Drinkel,22/08/2012,22/08/2022,August,Monday,12
Melanie Glassard,22/08/2013,22/08/2022,August,Monday,12
Bartlett Chilvers,22/08/2015,22/08/2022,August,Monday,12
Carlyle Bestwick,08/08/2013,08/08/2022,August,Monday,12
Candra Hallums,11/08/2014,11/08/2022,August,Thursday,10
Florian Lardnar,04/08/2014,04/08/2022,August,Thursday,10
Harlen Penke,04/08/2014,04/08/2022,August,Thursday,10
Alanah Dowtry,25/08/2014,25/08/2022,August,Thursday,10
Finley McClements,18/08/2013,18/08/2022,August,Thursday,10
Calida Dymond,11/08/2015,11/08/2022,August,Thursday,10
Marie Antuk,11/08/2015,11/08/2022,August,Thursday,10
Kameko Sherer,04/08/2012,04/08/2022,August,Thursday,10
Irvine Roycroft,11/08/2013,11/08/2022,August,Thursday,10
Reube Pallaske,04/08/2015,04/08/2022,August,Thursday,10
Avery Colebourn,30/08/2012,30/08/2022,August,Tuesday,15
Dynah Petrillo,16/08/2013,16/08/2022,August,Tuesday,15
Nataniel Capinetti,23/08/2012,23/08/2022,August,Tuesday,15
Walker Capron,30/08/2015,30/08/2022,August,Tuesday,15
Sasha Corsor,09/08/2013,09/08/2022,August,Tuesday,15
Philippe Plume,16/08/2013,16/08/2022,August,Tuesday,15
Chrissie Torrans,02/08/2014,02/08/2022,August,Tuesday,15
Derry Crowest,02/08/2015,02/08/2022,August,Tuesday,15
Evelin Myott,02/08/2015,02/08/2022,August,Tuesday,15
Louisa McRamsey,23/08/2015,23/08/2022,August,Tuesday,15
Cristi Hargrove,16/08/2012,16/08/2022,August,Tuesday,15
Randi Slucock,16/08/2015,16/08/2022,August,Tuesday,15
Shannon Gerring,30/08/2013,30/08/2022,August,Tuesday,15
Leslie Pezey,02/08/2013,02/08/2022,August,Tuesday,15
Chanda Hartle,23/08/2014,23/08/2022,August,Tuesday,15
Kain Guerre,10/08/2015,10/08/2022,August,Wednesday,10
Lamont Tolefree,17/08/2012,17/08/2022,August,Wednesday,10
Iago Szimon,31/08/2014,31/08/2022,August,Wednesday,10
Ermanno Polglaze,24/08/2013,24/08/2022,August,Wednesday,10
Terry Lillow,10/08/2013,10/08/2022,August,Wednesday,10
Ansley Took,17/08/2015,17/08/2022,August,Wednesday,10
Brittaney Cumberpatch,24/08/2013,24/08/2022,August,Wednesday,10
Trumaine Beggs,31/08/2012,31/08/2022,August,Wednesday,10
Korney Pennington,24/08/2013,24/08/2022,August,Wednesday,10
Louella Ketch,17/08/2015,17/08/2022,August,Wednesday,10
Roberta Oakeshott,04/12/2011,04/12/2022,December,Friday,45
Valentino Klimko,23/12/2014,23/12/2022,December,Friday,45
Rosina Harberer,23/12/2012,23/12/2022,December,Friday,45
Marjie Matkovic,04/12/2011,04/12/2022,December,Friday,45
Blakelee Monery,04/12/2013,04/12/2022,December,Friday,45
Nerte Lissandrini,09/12/2011,09/12/2022,December,Friday,45
Brose Plumridge,30/12/2012,30/12/2022,December,Friday,45
Kelley Shenton,31/12/2012,31/12/2022,December,Friday,45
Viva Yukhnini,04/12/2011,04/12/2022,December,Friday,45
Smith Okenden,31/12/2012,31/12/2022,December,Friday,45
Norbie Shoveller,18/12/2012,18/12/2022,December,Friday,45
Baron Sarre,30/12/2014,30/12/2022,December,Friday,45
Willette Fibbit,02/12/2013,02/12/2022,December,Friday,45
Maurits Petyanin,25/12/2013,25/12/2022,December,Friday,45
Darci Brozsset,31/12/2012,31/12/2022,December,Friday,45
Afton Ninotti,16/12/2013,16/12/2022,December,Friday,45
Woodman Cockman,09/12/2012,09/12/2022,December,Friday,45
Twila Grinley,03/12/2013,03/12/2022,December,Friday,45
Raynell Behneke,24/12/2014,24/12/2022,December,Friday,45
Mab Canepe,11/12/2011,11/12/2022,December,Friday,45
Daloris Skillicorn,09/12/2013,09/12/2022,December,Friday,45
Karissa Dickon,03/12/2012,03/12/2022,December,Friday,45
Angil Grundy,24/12/2011,24/12/2022,December,Friday,45
Tanitansy Lowther,04/12/2012,04/12/2022,December,Friday,45
Cherie Himsworth,02/12/2011,02/12/2022,December,Friday,45
Anthony Paolazzi,17/12/2013,17/12/2022,December,Friday,45
Jeannie Clausen-Thue,17/12/2012,17/12/2022,December,Friday,45
Maximilianus Hannam,11/12/2012,11/12/2022,December,Friday,45
Galvan Pioch,04/12/2013,04/12/2022,December,Friday,45
Emmalyn Piegrome,18/12/2014,18/12/2022,December,Friday,45
Warden McDonnell,23/12/2013,23/12/2022,December,Friday,45
Tristan Parman,18/12/2012,18/12/2022,December,Friday,45
Rafaello Shelp,25/12/2014,25/12/2022,December,Friday,45
Pepi Marte,30/12/2013,30/12/2022,December,Friday,45
Yoshiko Cona,23/12/2011,23/12/2022,December,Friday,45
Pepe Elsey,04/12/2014,04/12/2022,December,Friday,45
Harwell Munnings,25/12/2013,25/12/2022,December,Friday,45
Westley Bergin,30/12/2012,30/12/2022,December,Friday,45
Pen Haney`,25/12/2011,25/12/2022,December,Friday,45
Gan Thulborn,18/12/2011,18/12/2022,December,Friday,45
Tammie Bevans,17/12/2012,17/12/2022,December,Friday,45
Claudell Oloshin,25/12/2011,25/12/2022,December,Friday,45
Leontine Kowalski,31/12/2011,31/12/2022,December,Friday,45
Tarrance Alves,24/12/2013,24/12/2022,December,Friday,45
Hamel Pie,24/12/2013,24/12/2022,December,Friday,45
Uri Cowterd,12/12/2011,12/12/2022,December,Monday,20
Pattie Chapelle,19/12/2011,19/12/2022,December,Monday,20
Marje Antoshin,26/12/2014,26/12/2022,December,Monday,20
Kienan Echalie,19/12/2014,19/12/2022,December,Monday,20
Ivar Verbeek,26/12/2011,26/12/2022,December,Monday,20
Templeton Reynard,19/12/2014,19/12/2022,December,Monday,20
Rex Adds,26/12/2014,26/12/2022,December,Monday,20
Mikaela Madgwick,05/12/2012,05/12/2022,December,Monday,20
Billy Dionis,12/12/2013,12/12/2022,December,Monday,20
Quinlan Franckton,26/12/2014,26/12/2022,December,Monday,20
Chickie Asch,12/12/2012,12/12/2022,December,Monday,20
Odelia Bayston,19/12/2011,19/12/2022,December,Monday,20
Blair Troyes,19/12/2013,19/12/2022,December,Monday,20
Lukas Gallon,12/12/2011,12/12/2022,December,Monday,20
Kalindi Abella,05/12/2011,05/12/2022,December,Monday,20
Nick Jurzyk,26/12/2014,26/12/2022,December,Monday,20
Eleonora Manntschke,12/12/2014,12/12/2022,December,Monday,20
Cly Chevis,19/12/2012,19/12/2022,December,Monday,20
Geneva Bakesef,05/12/2014,05/12/2022,December,Monday,20
Lawton Randles,12/12/2011,12/12/2022,December,Monday,20
Moselle Alelsandrovich,22/12/2012,22/12/2022,December,Thursday,20
Rowland Krinks,22/12/2014,22/12/2022,December,Thursday,20
Dotty Oldknow,22/12/2013,22/12/2022,December,Thursday,20
Layne Curston,29/12/2013,29/12/2022,December,Thursday,20
Amalee Marquiss,15/12/2011,15/12/2022,December,Thursday,20
Reine Djorvic,08/12/2013,08/12/2022,December,Thursday,20
Liam Sings,15/12/2012,15/12/2022,December,Thursday,20
Tammie Alabone,08/12/2013,08/12/2022,December,Thursday,20
Brit Craze,29/12/2012,29/12/2022,December,Thursday,20
Hunt Zamboniari,01/12/2013,01/12/2022,December,Thursday,20
Ginny Sebyer,22/12/2014,22/12/2022,December,Thursday,20
Merci Tutsell,01/12/2014,01/12/2022,December,Thursday,20
Lucien Crean,08/12/2013,08/12/2022,December,Thursday,20
Kyrstin Liebermann,08/12/2011,08/12/2022,December,Thursday,20
Erasmus Simmers,29/12/2014,29/12/2022,December,Thursday,20
Faustine Trimmell,22/12/2013,22/12/2022,December,Thursday,20
Zane Slaght,15/12/2011,15/12/2022,December,Thursday,20
"Tammie O' Connell",29/12/2011,29/12/2022,December,Thursday,20
Gayler Littledike,08/12/2013,08/12/2022,December,Thursday,20
Henrie Wrightson,01/12/2014,01/12/2022,December,Thursday,20
Adah Chatres,27/12/2012,27/12/2022,December,Tuesday,8
Cecilia Poxton,20/12/2013,20/12/2022,December,Tuesday,8
Wain Jime,20/12/2011,20/12/2022,December,Tuesday,8
Lynnett Gierardi,13/12/2013,13/12/2022,December,Tuesday,8
Wadsworth Gores,20/12/2011,20/12/2022,December,Tuesday,8
Dino Behr,20/12/2012,20/12/2022,December,Tuesday,8
Gil Wyrall,13/12/2011,13/12/2022,December,Tuesday,8
Davon Regglar,27/12/2012,27/12/2022,December,Tuesday,8
Ronna Nellies,21/12/2013,21/12/2022,December,Wednesday,9
Brion Letson,07/12/2012,07/12/2022,December,Wednesday,9
Allianora Padrick,07/12/2011,07/12/2022,December,Wednesday,9
Sunny Lanning,28/12/2014,28/12/2022,December,Wednesday,9
Allyn Wheldon,21/12/2014,21/12/2022,December,Wednesday,9
Kori Feavers,07/12/2011,07/12/2022,December,Wednesday,9
Phelia Wines,07/12/2011,07/12/2022,December,Wednesday,9
Sib Klink,07/12/2014,07/12/2022,December,Wednesday,9
Ertha MacCook,14/12/2013,14/12/2022,December,Wednesday,9
Emlynne Littley,05/02/2015,05/02/2022,February,Friday,31
Paxton Massow,11/02/2014,11/02/2022,February,Friday,31
Aryn Thursfield,25/02/2015,25/02/2022,February,Friday,31
Stacey Whartonby,05/02/2013,05/02/2022,February,Friday,31
Kathlin Cobleigh,26/02/2015,26/02/2022,February,Friday,31
Nadean Godsell,27/02/2013,27/02/2022,February,Friday,31
Kate Fannon,27/02/2014,27/02/2022,February,Friday,31
Magda Cullrford,04/02/2012,04/02/2022,February,Friday,31
Vernon Yateman,12/02/2012,12/02/2022,February,Friday,31
Bartolemo Cleave,12/02/2013,12/02/2022,February,Friday,31
Amitie McGairl,12/02/2015,12/02/2022,February,Friday,31
Thorn Blencowe,19/02/2014,19/02/2022,February,Friday,31
Nicky Rawes,13/02/2012,13/02/2022,February,Friday,31
Randall Barnfield,05/02/2012,05/02/2022,February,Friday,31
Reg Watting,19/02/2012,19/02/2022,February,Friday,31
Claudina Biasetti,20/02/2014,20/02/2022,February,Friday,31
Lannie Bessey,06/02/2012,06/02/2022,February,Friday,31
Robinett Kingaby,27/02/2015,27/02/2022,February,Friday,31
Lief Barajaz,19/02/2012,19/02/2022,February,Friday,31
Gothart Duigan,19/02/2014,19/02/2022,February,Friday,31
Katlin Maulden,19/02/2013,19/02/2022,February,Friday,31
Emile Sprules,18/02/2014,18/02/2022,February,Friday,31
Rosamond Belshaw,06/02/2014,06/02/2022,February,Friday,31
Janene Harford,27/02/2012,27/02/2022,February,Friday,31
Angy Moseby,27/02/2012,27/02/2022,February,Friday,31
Corabel Triggol,05/02/2015,05/02/2022,February,Friday,31
Kris Boarer,04/02/2013,04/02/2022,February,Friday,31
Orelee Perillio,19/02/2014,19/02/2022,February,Friday,31
Brigg Mendel,20/02/2015,20/02/2022,February,Friday,31
Julianna Whitlock,25/02/2014,25/02/2022,February,Friday,31
Ludwig Raine,18/02/2014,18/02/2022,February,Friday,31
"Glynda O'Corrin",14/02/2013,14/02/2022,February,Monday,12
Ericka Ebourne,28/02/2012,28/02/2022,February,Monday,12
Shirline Saben,07/02/2012,07/02/2022,February,Monday,12
Bobbette Whiteley,07/02/2013,07/02/2022,February,Monday,12
Christoforo Gillon,14/02/2012,14/02/2022,February,Monday,12
Jorgan Beggan,28/02/2015,28/02/2022,February,Monday,12
Maggi Readwood,07/02/2014,07/02/2022,February,Monday,12
Ebenezer Tussaine,28/02/2015,28/02/2022,February,Monday,12
Fairleigh Janusz,28/02/2012,28/02/2022,February,Monday,12
Katlin Bumphrey,28/02/2012,28/02/2022,February,Monday,12
"Guinna O'Currine",07/02/2015,07/02/2022,February,Monday,12
Wakefield Pleaden,21/02/2014,21/02/2022,February,Monday,12
Miguelita Palfreman,17/02/2012,17/02/2022,February,Thursday,12
Gaylor Shotboult,03/02/2014,03/02/2022,February,Thursday,12
Jammal Ouchterlony,24/02/2015,24/02/2022,February,Thursday,12
Silvie Lepere,24/02/2012,24/02/2022,February,Thursday,12
Korry Leirmonth,10/02/2012,10/02/2022,February,Thursday,12
Hildegaard Loveredge,03/02/2012,03/02/2022,February,Thursday,12
Johna Degue,17/02/2012,17/02/2022,February,Thursday,12
Casey Kelshaw,24/02/2015,24/02/2022,February,Thursday,12
Margot Ibbitson,24/02/2015,24/02/2022,February,Thursday,12
Ragnar Heathcott,03/02/2015,03/02/2022,February,Thursday,12
Bartholemy Rattrie,24/02/2013,24/02/2022,February,Thursday,12
Kassie Darben,10/02/2014,10/02/2022,February,Thursday,12
Yancey Bachellier,01/02/2015,01/02/2022,February,Tuesday,13
Ronnie Narducci,01/02/2015,01/02/2022,February,Tuesday,13
Jacques Cosins,01/02/2012,01/02/2022,February,Tuesday,13
Wileen Scamadine,15/02/2015,15/02/2022,February,Tuesday,13
Antonie Worcester,15/02/2015,15/02/2022,February,Tuesday,13
Adina Gawthorpe,15/02/2013,15/02/2022,February,Tuesday,13
Dominga Peat,15/02/2014,15/02/2022,February,Tuesday,13
Cam Riccardini,01/02/2015,01/02/2022,February,Tuesday,13
Louis Gabbatiss,22/02/2012,22/02/2022,February,Tuesday,13
Emmott Gosson,01/02/2012,01/02/2022,February,Tuesday,13
Olwen Callicott,01/02/2013,01/02/2022,February,Tuesday,13
Clovis Okeshott,01/02/2015,01/02/2022,February,Tuesday,13
Ninetta Worling,15/02/2015,15/02/2022,February,Tuesday,13
Shanie Croisier,09/02/2014,09/02/2022,February,Wednesday,8
Lucina Gouley,16/02/2014,16/02/2022,February,Wednesday,8
Bondon Antonazzi,09/02/2012,09/02/2022,February,Wednesday,8
Estella Brende,16/02/2014,16/02/2022,February,Wednesday,8
Stevana Baddiley,16/02/2015,16/02/2022,February,Wednesday,8
Maryjo Dewicke,09/02/2012,09/02/2022,February,Wednesday,8
Waly Tomet,09/02/2014,09/02/2022,February,Wednesday,8
Hannis Loughran,02/02/2013,02/02/2022,February,Wednesday,8
Cinnamon Stoyle,16/01/2012,16/01/2022,January,Friday,33
Jared Koba,15/01/2012,15/01/2022,January,Friday,33
"Hurley D'Alessandro",16/01/2014,16/01/2022,January,Friday,33
Aleece Bernardet,09/01/2015,09/01/2022,January,Friday,33
Joly Wybrow,08/01/2015,08/01/2022,January,Friday,33
Miran Gowans,08/01/2015,08/01/2022,January,Friday,33
Bobbe Rangall,22/01/2015,22/01/2022,January,Friday,33
Zarah Symington,01/01/2012,01/01/2022,January,Friday,33
Bernetta Barkaway,23/01/2013,23/01/2022,January,Friday,33
Stanley Monks,15/01/2012,15/01/2022,January,Friday,33
Killian Cater,23/01/2015,23/01/2022,January,Friday,33
Gena Hollyman,14/01/2013,14/01/2022,January,Friday,33
Hartwell Drakeley,21/01/2014,21/01/2022,January,Friday,33
Davidde Linch,22/01/2015,22/01/2022,January,Friday,33
Shel Vice,23/01/2015,23/01/2022,January,Friday,33
Rockey Center,30/01/2014,30/01/2022,January,Friday,33
Trumaine Goncalo,09/01/2012,09/01/2022,January,Friday,33
Ivy Briscam,07/01/2014,07/01/2022,January,Friday,33
Rhodie Lissimore,09/01/2012,09/01/2022,January,Friday,33
Ches Thornebarrow,14/01/2014,14/01/2022,January,Friday,33
Cross Oleksinski,14/01/2015,14/01/2022,January,Friday,33
Carmon Phear,09/01/2013,09/01/2022,January,Friday,33
Farrell Nise,08/01/2013,08/01/2022,January,Friday,33
Bogey Andresen,23/01/2012,23/01/2022,January,Friday,33
Jarred Aggas,14/01/2014,14/01/2022,January,Friday,33
Jacklin Scoyne,29/01/2015,29/01/2022,January,Friday,33
Glynda Lidierth,23/01/2015,23/01/2022,January,Friday,33
Eunice Brazur,16/01/2012,16/01/2022,January,Friday,33
Tracey Milham,02/01/2015,02/01/2022,January,Friday,33
Sharity Galland,16/01/2012,16/01/2022,January,Friday,33
Courtnay Fearey,30/01/2012,30/01/2022,January,Friday,33
Bartie Pedrazzi,08/01/2014,08/01/2022,January,Friday,33
Rayna Hobble,02/01/2014,02/01/2022,January,Friday,33
Benedikt Titterton,10/01/2014,10/01/2022,January,Monday,14
Daisie Whitelaw,17/01/2014,17/01/2022,January,Monday,14
Robin Cypler,31/01/2015,31/01/2022,January,Monday,14
Robbin Harmant,10/01/2015,10/01/2022,January,Monday,14
Wendy Oscroft,03/01/2015,03/01/2022,January,Monday,14
Jay Yashaev,31/01/2013,31/01/2022,January,Monday,14
Anissa Semerad,10/01/2013,10/01/2022,January,Monday,14
Harold Dunckley,17/01/2014,17/01/2022,January,Monday,14
Porty Lowdiane,31/01/2015,31/01/2022,January,Monday,14
Candace Glowacz,03/01/2015,03/01/2022,January,Monday,14
Alta Ianittello,03/01/2013,03/01/2022,January,Monday,14
Lynea Zorzi,24/01/2013,24/01/2022,January,Monday,14
Findley Enriques,17/01/2014,17/01/2022,January,Monday,14
Goldia Macklin,17/01/2013,17/01/2022,January,Monday,14
Joete Goutcher,06/01/2015,06/01/2022,January,Thursday,6
Dorolice Crosthwaite,06/01/2015,06/01/2022,January,Thursday,6
Pyotr Anten,06/01/2012,06/01/2022,January,Thursday,6
Celine De la Yglesia,13/01/2012,13/01/2022,January,Thursday,6
Langston Janjic,06/01/2014,06/01/2022,January,Thursday,6
Harrietta Chumley,20/01/2012,20/01/2022,January,Thursday,6
Cal Shearwood,18/01/2015,18/01/2022,January,Tuesday,12
Coral Phelipeaux,04/01/2012,04/01/2022,January,Tuesday,12
Katinka Liger,25/01/2013,25/01/2022,January,Tuesday,12
Gwen Biglin,18/01/2012,18/01/2022,January,Tuesday,12
Franciskus Brittles,25/01/2013,25/01/2022,January,Tuesday,12
Victor Stonham,25/01/2013,25/01/2022,January,Tuesday,12
Truda Welband,04/01/2014,04/01/2022,January,Tuesday,12
Bearnard Swainston,11/01/2013,11/01/2022,January,Tuesday,12
Aveline Peggram,18/01/2015,18/01/2022,January,Tuesday,12
Zulema Ludlom,25/01/2015,25/01/2022,January,Tuesday,12
Justinian McCrossan,25/01/2015,25/01/2022,January,Tuesday,12
Brana Bridgstock,04/01/2015,04/01/2022,January,Tuesday,12
Findlay Schonfelder,19/01/2014,19/01/2022,January,Wednesday,14
Isaiah Antowski,12/01/2014,12/01/2022,January,Wednesday,14
Jewelle Skaif,19/01/2015,19/01/2022,January,Wednesday,14
Anny Casterot,26/01/2015,26/01/2022,January,Wednesday,14
James Bartles,12/01/2012,12/01/2022,January,Wednesday,14
Emili Matyja,05/01/2013,05/01/2022,January,Wednesday,14
Rosalynd Henrion,26/01/2013,26/01/2022,January,Wednesday,14
Armstrong Nutman,05/01/2012,05/01/2022,January,Wednesday,14
Cecil Gavaghan,12/01/2013,12/01/2022,January,Wednesday,14
Ingunna Hauck,26/01/2015,26/01/2022,January,Wednesday,14
Vincent Seedull,12/01/2012,12/01/2022,January,Wednesday,14
Ossie Woodard,12/01/2012,12/01/2022,January,Wednesday,14
Corey Garnsworthy,12/01/2012,12/01/2022,January,Wednesday,14
Cassandry Trevaskus,05/01/2015,05/01/2022,January,Wednesday,14
Kamila Benedtti,10/07/2012,10/07/2022,July,Friday,49
Madison Cominetti,17/07/2014,17/07/2022,July,Friday,49
Davin Mazdon,10/07/2015,10/07/2022,July,Friday,49
Toddie Artz,09/07/2013,09/07/2022,July,Friday,49
Archibaldo Penwell,15/07/2012,15/07/2022,July,Friday,49
Benetta Zanussii,30/07/2012,30/07/2022,July,Friday,49
Grantley Doogan,02/07/2014,02/07/2022,July,Friday,49
Tally Powland,02/07/2015,02/07/2022,July,Friday,49
Adrian Snary,22/07/2013,22/07/2022,July,Friday,49
Sibeal Templeton,22/07/2012,22/07/2022,July,Friday,49
Orsa Orrey,30/07/2015,30/07/2022,July,Friday,49
Kakalina Standbrook,23/07/2012,23/07/2022,July,Friday,49
Cory Shackle,31/07/2012,31/07/2022,July,Friday,49
Thorpe Trudgion,08/07/2015,08/07/2022,July,Friday,49
Sallyann Tawse,10/07/2014,10/07/2022,July,Friday,49
Leslie Rontree,17/07/2013,17/07/2022,July,Friday,49
