Opportunity ID,AccountId,Opportunity Name,StageName,Amount,OwnerId,CreatedById,Account Name,Account Type,Created By Name,Owner Name,Account Created By Name,Account Owner Name
0068d000009MW7HAAW,0018d00000Ggx5OAAR,Opportunity for Barrett259,Closed Lost,1589440,0058d000004QHabAAG,0058d000004B2qYAAS,Hernandez713 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Johnny Green
0068d000009MW7IAAW,0018d00000GgwyPAAR,Opportunity for Dennis260,Needs Analysis,2868400,0058d000004QHaaAAG,0058d000004B2qYAAS,Gordon630 Inc,Partner,Lorna Brown,Bruce Kennedy,Lorna Brown,Harold Campbell
0068d000009MW7KAAW,0018d00000Ggx8KAAR,Opportunity for Pittman263,Closed Won,1879190,0058d000004QHajAAG,0058d000004B2qYAAS,Joseph361 Inc,Partner,Lorna Brown,Laura Palmer,Lorna Brown,Eric Sanchez
0068d000009MW7LAAW,0018d00000Ggx8ZAAR,Opportunity for Holmes265,Prospecting,206640,0058d000004QHaqAAG,0058d000004B2qYAAS,Fox572 Inc,Partner,Lorna Brown,John Williams,Lorna Brown,Irene Kelley
0068d000009MWBiAAO,0018d00000Ggx8sAAB,Opportunity for Andrews1118,Closed Won,591520,0058d000004QHaaAAG,0058d000004B2qYAAS,Becker755 Inc,Partner,Lorna Brown,Bruce Kennedy,Lorna Brown,Chris Riley
0068d000009MWBkAAO,0018d00000Ggx2MAAR,Opportunity for Estrada1122,Value Proposition,466560,0058d000004QHaqAAG,0058d000004B2qYAAS,Harrison279 Inc,Partner,Lorna Brown,John Williams,Lorna Brown,Chris Riley
0068d000009MWBmAAO,0018d00000GgwyrAAB,Opportunity for Miles1126,Closed Won,142400,0058d000004QHagAAG,0058d000004B2qYAAS,Gutierrez801 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Irene McCoy
0068d000009MWBoAAO,0018d00000GgwwrAAB,Opportunity for Alvarado1128,Closed Won,254886,0058d000004QHapAAG,0058d000004B2qYAAS,Duncan773 Inc,Customer,Lorna Brown,Eric Sanchez,Lorna Brown,Eric Sanchez
0068d000009MWBpAAO,0018d00000Ggx1qAAB,Opportunity for Wilkins1129,Closed Won,2210350,0058d000004QHacAAG,0058d000004B2qYAAS,Martin56 Inc,Partner,Lorna Brown,Irene Kelley,Lorna Brown,Evelyn Williamson
0068d000009MWBqAAO,0018d00000Ggx2fAAB,Opportunity for Harris1133,Closed Won,524400,0058d000004QHalAAG,0058d000004B2qYAAS,Higgins494 Inc,Customer,Lorna Brown,Johnny Green,Lorna Brown,Laura Garza
0068d000009MWBsAAO,0018d00000Ggx5NAAR,Opportunity for Howell1136,Closed Won,987000,0058d000004QHaYAAW,0058d000004B2qYAAS,Grant712 Inc,Customer,Lorna Brown,Julie Chavez,Lorna Brown,Chris Riley
0068d000009MWBuAAO,0018d00000GgwvQAAR,Opportunity for Obrien1138,Closed Lost,489886,0058d000004QHagAAG,0058d000004B2qYAAS,Perez590 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Eric Gutierrez
0068d000009MWBwAAO,0018d00000Ggwv7AAB,Opportunity for Young1496,Closed Won,219000,0058d000004QHajAAG,0058d000004B2qYAAS,Owens400 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Nicolas Weaver
0068d000009MWBxAAO,0018d00000Ggx0oAAB,Opportunity for Malone1500,Closed Won,583800,0058d000004QHagAAG,0058d000004B2qYAAS,Higgins666 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Kelly Frazier
0068d000009MWBzAAO,0018d00000Ggx19AAB,Opportunity for McDonald1503,Closed Won,3851250,0058d000004QHalAAG,0058d000004B2qYAAS,Rios830 Inc,Customer,Lorna Brown,Johnny Green,Lorna Brown,Laura Garza
0068d000009MWC0AAO,0018d00000Ggx2XAAR,Opportunity for Oliver1504,Closed Won,1032600,0058d000004QHanAAG,0058d000004B2qYAAS,Young486 Inc,Customer,Lorna Brown,Evelyn Williamson,Lorna Brown,Evelyn Williamson
0068d000009MWGaAAO,0018d00000Ggx9BAAR,Opportunity for Perkins1263,Negotiation/Review,1314185,0058d000004QHaZAAW,0058d000004B2qYAAS,Turner924 Inc,Customer,Lorna Brown,Laura Garza,Lorna Brown,Doroth Gardner
0068d000009MWGbAAO,0018d00000GgwvHAAR,Opportunity for Tucker1268,Closed Won,371689,0058d000004QHamAAG,0058d000004B2qYAAS,Myers581 Inc,Customer,Lorna Brown,Catherine Brown,Lorna Brown,Eric Sanchez
0068d000009MWGeAAO,0018d00000Ggx2BAAR,Opportunity for Malone1276,Closed Won,196200,0058d000004QHaZAAW,0058d000004B2qYAAS,Clarke268 Inc,Customer,Lorna Brown,Laura Garza,Lorna Brown,Bruce Kennedy
0068d000009MWGfAAO,0018d00000Ggx41AAB,Opportunity for Patton1278,Closed Won,2477275,0058d000004QHaYAAW,0058d000004B2qYAAS,Santos84 Inc,Partner,Lorna Brown,Julie Chavez,Lorna Brown,Kelly Frazier
0068d000009MWGhAAO,0018d00000GgwvfAAB,Opportunity for Chandler1281,Perception Analysis,2336600,0058d000004QHaoAAG,0058d000004B2qYAAS,Lee192 Inc,Customer,Lorna Brown,Irene McCoy,Lorna Brown,Johnny Green
0068d000009MWGiAAO,0018d00000Ggx5TAAR,Opportunity for Bradley1628,Closed Won,326160,0058d000004QHaZAAW,0058d000004B2qYAAS,Vega718 Inc,Customer,Lorna Brown,Laura Garza,Lorna Brown,Laura Palmer
0068d000009MWGkAAO,0018d00000GgwwsAAB,Opportunity for Marsh1634,Closed Lost,3055100,0058d000004QHagAAG,0058d000004B2qYAAS,Gilbert774 Inc,Partner,Lorna Brown,Chris Riley,Lorna Brown,Bruce Kennedy
0068d000009MW7MAAW,0018d00000Ggx3AAAR,Opportunity for Murphy267,Closed Won,2664105,0058d000004QHaqAAG,0058d000004B2qYAAS,Todd690 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Irene Kelley
0068d000009MW7NAAW,0018d00000GgwwSAAR,Opportunity for Freeman268,Closed Won,1518190,0058d000004QHajAAG,0058d000004B2qYAAS,Roberson601 Inc,Partner,Lorna Brown,Laura Palmer,Lorna Brown,Laura Garza
0068d000009MW7OAAW,0018d00000GgwzrAAB,Opportunity for Terry269,Closed Won,846000,0058d000004QHacAAG,0058d000004B2qYAAS,Wise244 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Evelyn Williamson
0068d000009MW7PAAW,0018d00000GgwzEAAR,Opportunity for Butler275,Closed Won,209104,0058d000004QHalAAG,0058d000004B2qYAAS,Briggs955 Inc,Customer,Lorna Brown,Johnny Green,Lorna Brown,Harold Campbell
0068d000009MW7QAAW,0018d00000GgwtkAAB,Opportunity for Collier276,Qualification,582035,0058d000004QHaeAAG,0058d000004B2qYAAS,Daniels141 Inc,Customer,Lorna Brown,Nicolas Weaver,Lorna Brown,John Williams
0068d000009MW7RAAW,0018d00000Ggx3yAAB,Opportunity for Banks277,Closed Won,376862,0058d000004QHacAAG,0058d000004B2qYAAS,Lane81 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Harold Campbell
0068d000009MW7SAAW,0018d00000Ggwy2AAB,Opportunity for Alexander278,Closed Won,18960,0058d000004QHagAAG,0058d000004B2qYAAS,Oliver444 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Chris Riley
0068d000009MW7TAAW,0018d00000Ggx2sAAB,Opportunity for Allison281,Qualification,1573350,0058d000004QHadAAG,0058d000004B2qYAAS,Wright507 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Eric Gutierrez
0068d000009MW7UAAW,0018d00000Ggx22AAB,Opportunity for Delgado355,Closed Won,1318960,0058d000004QHagAAG,0058d000004B2qYAAS,Figueroa68 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Laura Garza
0068d000009MW7XAAW,0018d00000GgwvPAAR,Opportunity for Bryant359,Closed Won,3039400,0058d000004QHaqAAG,0058d000004B2qYAAS,Jackson589 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Kelly Frazier
0068d000009MW7YAAW,0018d00000Ggx5JAAR,Opportunity for Wise361,Needs Analysis,1595250,0058d000004QHaaAAG,0058d000004B2qYAAS,Scott708 Inc,Customer,Lorna Brown,Bruce Kennedy,Lorna Brown,Irene Kelley
0068d000009MW7ZAAW,0018d00000Ggx17AAB,Opportunity for Hunt362,Closed Won,1148850,0058d000004QHafAAG,0058d000004B2qYAAS,Hart828 Inc,Customer,Lorna Brown,Harold Campbell,Lorna Brown,Kelly Frazier
0068d000009MW7aAAG,0018d00000Ggx7VAAR,Opportunity for Scott363,Perception Analysis,788800,0058d000004QHaoAAG,0058d000004B2qYAAS,Carlson744 Inc,Partner,Lorna Brown,Irene McCoy,Lorna Brown,Bruce Kennedy
0068d000009MW9qAAG,0018d00000GgwyCAAR,Opportunity for Campbell329,Closed Won,3173450,0058d000004QHajAAG,0058d000004B2qYAAS,Bush454 Inc,Partner,Lorna Brown,Laura Palmer,Lorna Brown,Julie Chavez
0068d000009MW9rAAG,0018d00000GgwueAAB,Opportunity for Reynolds330,Closed Lost,276000,0058d000004QHabAAG,0058d000004B2qYAAS,Reed186 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Irene McCoy
0068d000009MW9sAAG,0018d00000GgwuzAAB,Opportunity for Fletcher332,Value Proposition,313425,0058d000004QHajAAG,0058d000004B2qYAAS,Pratt392 Inc,Partner,Lorna Brown,Laura Palmer,Lorna Brown,Johnny Green
0068d000009MW9tAAG,0018d00000Ggwx8AAB,Opportunity for Shaw336,Qualification,389120,0058d000004QHadAAG,0058d000004B2qYAAS,Keller1 Inc,Partner,Lorna Brown,Eric Gutierrez,Lorna Brown,Eric Gutierrez
0068d000009MW9uAAG,0018d00000Ggx0JAAR,Opportunity for Roy337,Closed Won,1241600,0058d000004QHaZAAW,0058d000004B2qYAAS,Holloway471 Inc,Partner,Lorna Brown,Laura Garza,Lorna Brown,Evelyn Williamson
0068d000009MW9vAAG,0018d00000Ggx1oAAB,Opportunity for Brooks342,Closed Won,5280,0058d000004QHaaAAG,0058d000004B2qYAAS,Walsh54 Inc,Customer,Lorna Brown,Bruce Kennedy,Lorna Brown,Catherine Brown
0068d000009MW9wAAG,0018d00000Ggx8NAAR,Opportunity for Gomez345,Closed Lost,3145700,0058d000004QHamAAG,0058d000004B2qYAAS,Russell560 Inc,Customer,Lorna Brown,Catherine Brown,Lorna Brown,Irene McCoy
0068d000009MW9xAAG,0018d00000GgwzjAAB,Opportunity for Lamb346,Closed Lost,1668500,0058d000004QHapAAG,0058d000004B2qYAAS,West49 Inc,Partner,Lorna Brown,Eric Sanchez,Lorna Brown,Catherine Brown
0068d000009MW9zAAG,0018d00000Ggx0lAAB,Opportunity for Christensen684,Qualification,624510,0058d000004QHacAAG,0058d000004B2qYAAS,Simmons663 Inc,Partner,Lorna Brown,Irene Kelley,Lorna Brown,Catherine Brown
0068d000009MWA0AAO,0018d00000Ggx1FAAR,Opportunity for Murray689,Closed Lost,2135800,0058d000004QHajAAG,0058d000004B2qYAAS,Marsh836 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Laura Garza
0068d000009MWA2AAO,0018d00000Ggx4GAAR,Opportunity for Gomez694,Closed Lost,452200,0058d000004QHaeAAG,0058d000004B2qYAAS,Schmidt289 Inc,Customer,Lorna Brown,Nicolas Weaver,Lorna Brown,Julie Chavez
0068d000009MWA3AAO,0018d00000Ggx9MAAR,Opportunity for McKenzie695,Closed Lost,538820,0058d000004QHapAAG,0058d000004B2qYAAS,Stokes935 Inc,Customer,Lorna Brown,Eric Sanchez,Lorna Brown,Eric Sanchez
0068d000009MWC2AAO,0018d00000Ggx39AAB,Opportunity for Hardy1507,Perception Analysis,594760,0058d000004QHacAAG,0058d000004B2qYAAS,Benson689 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,John Williams
0068d000009MWC3AAO,0018d00000Ggx2JAAR,Opportunity for Nguyen1510,Qualification,791500,0058d000004QHanAAG,0058d000004B2qYAAS,Hawkins276 Inc,Customer,Lorna Brown,Evelyn Williamson,Lorna Brown,Dennis Howard
0068d000009MWC4AAO,0018d00000GgwzBAAR,Opportunity for Garrett1512,Closed Won,2719000,0058d000004QHacAAG,0058d000004B2qYAAS,Sims952 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Dennis Howard
0068d000009MWC5AAO,0018d00000Ggx6RAAR,Opportunity for Kennedy1514,Closed Won,130230,0058d000004QHadAAG,0058d000004B2qYAAS,Tate321 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Julie Chavez
0068d000009MWC6AAO,0018d00000Ggwv2AAB,Opportunity for Bell1517,Closed Won,448068,0058d000004QHajAAG,0058d000004B2qYAAS,Rivera395 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Laura Palmer
0068d000009MWC1AAO,0018d00000GgwyoAAB,Opportunity for Norris1506,Closed Won,43355,0058d000004QHabAAG,0058d000004B2qYAAS,Tran798 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Eric Gutierrez
0068d000009MWJaAAO,0018d00000GgwwuAAB,Opportunity for Meyer1740,Closed Won,1337090,0058d000004QHaqAAG,0058d000004B2qYAAS,Bridges776 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Johnny Green
0068d000009MWJbAAO,0018d00000Ggx3oAAB,Opportunity for Phillips1742,Qualification,1580935,0058d000004QHagAAG,0058d000004B2qYAAS,Riley999 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Dennis Howard
0068d000009MWJcAAO,0018d00000Ggx94AAB,Opportunity for Smith1744,Closed Lost,535160,0058d000004QHapAAG,0058d000004B2qYAAS,Casey767 Inc,Customer,Lorna Brown,Eric Sanchez,Lorna Brown,Evelyn Williamson
0068d000009MWJdAAO,0018d00000Ggx4CAAR,Opportunity for Rhodes1746,Perception Analysis,918500,0058d000004QHadAAG,0058d000004B2qYAAS,Dean95 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Laura Palmer
0068d000009MWJfAAO,0018d00000Ggx51AAB,Opportunity for Jackson611,Closed Won,73600,0058d000004QHaeAAG,0058d000004B2qYAAS,McKenzie531 Inc,Partner,Lorna Brown,Nicolas Weaver,Lorna Brown,Eric Gutierrez
0068d000009MWJgAAO,0018d00000GgwyJAAR,Opportunity for Keller612,Closed Lost,765600,0058d000004QHaaAAG,0058d000004B2qYAAS,Rodgers461 Inc,Partner,Lorna Brown,Bruce Kennedy,Lorna Brown,Irene McCoy
0068d000009MWJhAAO,0018d00000Ggx1tAAB,Opportunity for Osborne613,Closed Won,834280,0058d000004QHacAAG,0058d000004B2qYAAS,Doyle59 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Kelly Frazier
0068d000009MWJiAAO,0018d00000GgwxTAAR,Opportunity for Valdez617,Closed Won,273090,0058d000004QHaiAAG,0058d000004B2qYAAS,Austin22 Inc,Customer,Lorna Brown,Dennis Howard,Lorna Brown,Harold Campbell
0068d000009MW7bAAG,0018d00000Ggx7BAAR,Opportunity for McCoy365,Closed Won,88200,0058d000004QHaoAAG,0058d000004B2qYAAS,Munoz724 Inc,Customer,Lorna Brown,Irene McCoy,Lorna Brown,Irene Kelley
0068d000009MW7cAAG,0018d00000Ggwu7AAB,Opportunity for Love368,Closed Won,390885,0058d000004QHanAAG,0058d000004B2qYAAS,Ross364 Inc,Customer,Lorna Brown,Evelyn Williamson,Lorna Brown,Johnny Green
0068d000009MW7dAAG,0018d00000GgwuVAAR,Opportunity for Rios369,Closed Lost,112725,0058d000004QHaoAAG,0058d000004B2qYAAS,King177 Inc,Customer,Lorna Brown,Irene McCoy,Lorna Brown,Catherine Brown
0068d000009MW7eAAG,0018d00000Ggx0KAAR,Opportunity for Gordon370,Closed Won,179225,0058d000004QHacAAG,0058d000004B2qYAAS,Padilla472 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Laura Garza
0068d000009MW7fAAG,0018d00000Ggx5HAAR,Opportunity for Harrington373,Closed Won,22240,0058d000004QHalAAG,0058d000004B2qYAAS,West706 Inc,Customer,Lorna Brown,Johnny Green,Lorna Brown,John Williams
0068d000009MW7gAAG,0018d00000GgwzMAAR,Opportunity for Pearson374,Closed Won,62400,0058d000004QHagAAG,0058d000004B2qYAAS,McGuire26 Inc,Partner,Lorna Brown,Chris Riley,Lorna Brown,Nicolas Weaver
0068d000009MW7hAAG,0018d00000GgwvlAAB,Opportunity for Clayton375,Closed Won,657600,0058d000004QHaqAAG,0058d000004B2qYAAS,Perkins198 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Dennis Howard
0068d000009MWA4AAO,0018d00000GgwwMAAR,Opportunity for Malone696,Negotiation/Review,137400,0058d000004QHagAAG,0058d000004B2qYAAS,Fletcher429 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Irene McCoy
0068d000009MWA6AAO,0018d00000Ggx89AAB,Opportunity for Ingram699,Closed Lost,2669875,0058d000004QHanAAG,0058d000004B2qYAAS,Weaver350 Inc,Partner,Lorna Brown,Evelyn Williamson,Lorna Brown,Julie Chavez
0068d000009MWA8AAO,0018d00000Ggx6XAAR,Opportunity for Swanson1068,Negotiation/Review,248276,0058d000004QHaZAAW,0058d000004B2qYAAS,Ellis327 Inc,Customer,Lorna Brown,Laura Garza,Lorna Brown,Irene McCoy
0068d000009MWA9AAO,0018d00000Ggx01AAB,Opportunity for Ramsey1069,Closed Won,1867750,0058d000004QHagAAG,0058d000004B2qYAAS,Glover254 Inc,Partner,Lorna Brown,Chris Riley,Lorna Brown,Laura Palmer
0068d000009MWACAA4,0018d00000GgwuhAAB,Opportunity for Weber1078,Value Proposition,36960,0058d000004QHabAAG,0058d000004B2qYAAS,Webb165 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Doroth Gardner
0068d000009MWADAA4,0018d00000GgwzJAAR,Opportunity for Bowman1081,Closed Won,218204,0058d000004QHadAAG,0058d000004B2qYAAS,Johnson960 Inc,Partner,Lorna Brown,Eric Gutierrez,Lorna Brown,Johnny Green
0068d000009MWAEAA4,0018d00000Ggx6bAAB,Opportunity for Maxwell1082,Closed Won,457656,0058d000004QHajAAG,0058d000004B2qYAAS,Hill331 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Laura Garza
0068d000009MWAFAA4,0018d00000Ggx5LAAR,Opportunity for Soto1087,Closed Won,263500,0058d000004QHacAAG,0058d000004B2qYAAS,Fleming710 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Irene Kelley
0068d000009MWAGAA4,0018d00000Ggx3hAAB,Opportunity for Alvarez1088,Needs Analysis,2592000,0058d000004QHaiAAG,0058d000004B2qYAAS,Allison992 Inc,Partner,Lorna Brown,Dennis Howard,Lorna Brown,Kelly Frazier
0068d000009MWAJAA4,0018d00000GgwvOAAR,Opportunity for Chandler1451,Closed Lost,163110,0058d000004QHaqAAG,0058d000004B2qYAAS,Owens588 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Nicolas Weaver
0068d000009MWAKAA4,0018d00000GgwydAAB,Opportunity for Grant1452,Prospecting,735870,0058d000004QHadAAG,0058d000004B2qYAAS,Ingram644 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Laura Garza
0068d000009MWALAA4,0018d00000Ggx8zAAB,Opportunity for Bates1455,Value Proposition,482025,0058d000004QHaaAAG,0058d000004B2qYAAS,Fleming762 Inc,Customer,Lorna Brown,Bruce Kennedy,Lorna Brown,Chris Riley
0068d000009MWAMAA4,0018d00000Ggx5XAAR,Opportunity for Fisher1458,Closed Won,1438500,0058d000004QHaiAAG,0058d000004B2qYAAS,Owen872 Inc,Customer,Lorna Brown,Dennis Howard,Lorna Brown,Dennis Howard
0068d000009MWANAA4,0018d00000GgwxKAAR,Opportunity for Paul1460,Closed Lost,2714200,0058d000004QHacAAG,0058d000004B2qYAAS,Harris13 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Laura Garza
0068d000009MWAOAA4,0018d00000Ggx5GAAR,Opportunity for Cruz1461,Value Proposition,60160,0058d000004QHajAAG,0058d000004B2qYAAS,Graham705 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Irene McCoy
0068d000009MWC8AAO,0018d00000Ggx32AAB,Opportunity for Holt1880,Closed Lost,950440,0058d000004QHamAAG,0058d000004B2qYAAS,Ortega682 Inc,Partner,Lorna Brown,Catherine Brown,Lorna Brown,Doroth Gardner
0068d000009MWCAAA4,0018d00000GgwuoAAB,Opportunity for Barker1887,Closed Lost,1740500,0058d000004QHaYAAW,0058d000004B2qYAAS,Carter172 Inc,Partner,Lorna Brown,Julie Chavez,Lorna Brown,Johnny Green
0068d000009MWCBAA4,0018d00000Ggwv8AAB,Opportunity for Daniel1888,Value Proposition,1384600,0058d000004QHaqAAG,0058d000004B2qYAAS,Tucker401 Inc,Customer,Lorna Brown,John Williams,Lorna Brown,Harold Campbell
0068d000009MWCCAA4,0018d00000GgwyiAAB,Opportunity for Phillips1889,Value Proposition,39600,0058d000004QHafAAG,0058d000004B2qYAAS,Valdez792 Inc,Customer,Lorna Brown,Harold Campbell,Lorna Brown,Catherine Brown
0068d000009MWCDAA4,0018d00000GgwtjAAB,Opportunity for Hall1897,Perception Analysis,2925000,0058d000004QHaeAAG,0058d000004B2qYAAS,Lopez140 Inc,Customer,Lorna Brown,Nicolas Weaver,Lorna Brown,Kelly Frazier
0068d000009MWCEAA4,0018d00000GgwvUAAR,Opportunity for McKenzie1898,Closed Won,201720,0058d000004QHaaAAG,0058d000004B2qYAAS,Benson594 Inc,Customer,Lorna Brown,Bruce Kennedy,Lorna Brown,Dennis Howard
0068d000009MWCFAA4,0018d00000Ggx8vAAB,Opportunity for Mullins1899,Closed Won,498520,0058d000004QHaZAAW,0058d000004B2qYAAS,Hall758 Inc,Customer,Lorna Brown,Laura Garza,Lorna Brown,Chris Riley
0068d000009MWK2AAO,0018d00000Ggx1EAAR,Opportunity for Kennedy1017,Closed Won,1590600,0058d000004QHaiAAG,0058d000004B2qYAAS,Ford835 Inc,Partner,Lorna Brown,Dennis Howard,Lorna Brown,Laura Palmer
0068d000009MWK3AAO,0018d00000GgwtqAAB,Opportunity for Collier1376,Prospecting,89230,0058d000004QHabAAG,0058d000004B2qYAAS,Graves147 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Evelyn Williamson
0068d000009MWK4AAO,0018d00000Ggx0hAAB,Opportunity for Bridges1377,Closed Won,794270,0058d000004QHajAAG,0058d000004B2qYAAS,Long659 Inc,Partner,Lorna Brown,Laura Palmer,Lorna Brown,Nicolas Weaver
0068d000009MWK5AAO,0018d00000GgwzkAAB,Opportunity for Elliott1378,Closed Lost,3164200,0058d000004QHagAAG,0058d000004B2qYAAS,Lawrence50 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Dennis Howard
0068d000009MWK6AAO,0018d00000Ggx5UAAR,Opportunity for Ray1381,Closed Won,908360,0058d000004QHadAAG,0058d000004B2qYAAS,Chambers869 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Bruce Kennedy
0068d000009MWK7AAO,0018d00000GgwvPAAR,Opportunity for Ryan1382,Closed Won,2346320,0058d000004QHapAAG,0058d000004B2qYAAS,Jackson589 Inc,Customer,Lorna Brown,Eric Sanchez,Lorna Brown,Kelly Frazier
0068d000009MWK8AAO,0018d00000Ggx5QAAR,Opportunity for Washington1383,Closed Won,208600,0058d000004QHafAAG,0058d000004B2qYAAS,Bradley715 Inc,Customer,Lorna Brown,Harold Campbell,Lorna Brown,Dennis Howard
0068d000009MWK9AAO,0018d00000Ggwu7AAB,Opportunity for Griffin1384,Closed Lost,374162,0058d000004QHalAAG,0058d000004B2qYAAS,Ross364 Inc,Customer,Lorna Brown,Johnny Green,Lorna Brown,Johnny Green
0068d000009MWKAAA4,0018d00000Ggx0IAAR,Opportunity for Simpson1385,Qualification,392207,0058d000004QHabAAG,0058d000004B2qYAAS,Moore470 Inc,Customer,Lorna Brown,Doroth Gardner,Lorna Brown,Doroth Gardner
0068d000009MWLQAA4,0018d00000GgwtnAAB,Opportunity for Luna668,Closed Won,3251640,0058d000004QHacAAG,0058d000004B2qYAAS,Quinn144 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Eric Sanchez
0068d000009MWLRAA4,0018d00000Ggx6FAAR,Opportunity for Stevenson670,Value Proposition,2728890,0058d000004QHamAAG,0058d000004B2qYAAS,Webster118 Inc,Partner,Lorna Brown,Catherine Brown,Lorna Brown,Eric Gutierrez
0068d000009MWLSAA4,0018d00000Ggx3rAAB,Opportunity for Ramirez671,Closed Lost,430330,0058d000004QHaoAAG,0058d000004B2qYAAS,Wood74 Inc,Customer,Lorna Brown,Irene McCoy,Lorna Brown,Eric Gutierrez
0068d000009MW7iAAG,0018d00000GgwuMAAR,Opportunity for Mathis376,Closed Won,637520,0058d000004QHabAAG,0058d000004B2qYAAS,Banks379 Inc,Partner,Lorna Brown,Doroth Gardner,Lorna Brown,Eric Sanchez
