Opportunity Name,StageName,Amount,Created By Name,Owner Name,Account Name,Account Type,Account Owner Name,Account Created By Name,Opportunity ID,AccountId,OwnerId,CreatedById
Opportunity for Perkins1263,Negotiation/Review,1314185,Jenny Martin,Laura Garza,Turner924 Inc,Customer,Doroth Gardner,Jenny Martin,0068d000009XKmAAAW,0018d00000Gp069AAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Hunter534,Closed Lost,234750,Jenny Martin,Kelly Frazier,Graves925 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKmTAAW,0018d00000Gp06AAAR,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for McBride299,Value Proposition,567000,Jenny Martin,Johnny Green,Graves925 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKdlAAG,0018d00000Gp06AAAR,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Phelps205,Needs Analysis,53325,Jenny Martin,Catherine Brown,Bryan926 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKeDAAW,0018d00000Gp06BAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Gutierrez1322,Closed Won,89320,Jenny Martin,Laura Garza,Collins928 Inc,Customer,Laura Palmer,Jenny Martin,0068d000009XKncAAG,0018d00000Gp06DAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Wilkins1370,Needs Analysis,2649500,Jenny Martin,Bruce Kennedy,Brewer934 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKozAAG,0018d00000Gp06JAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for McKenzie695,Closed Lost,538820,Jenny Martin,Eric Sanchez,Stokes935 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKfdAAG,0018d00000Gp06KAAR,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Silva728,Perception Analysis,1641600,Jenny Martin,Doroth Gardner,Mendoza936 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKgOAAW,0018d00000Gp06LAAR,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Baldwin1297,Closed Won,638750,Jenny Martin,Eric Gutierrez,Mendoza936 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKmzAAG,0018d00000Gp06LAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Jones110,Closed Won,1193160,Jenny Martin,Irene Kelley,Glover937 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKfAAAW,0018d00000Gp06MAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Flores1679,Closed Lost,2641175,Jenny Martin,Eric Gutierrez,Bowen938 Inc,Customer,John Williams,Jenny Martin,0068d000009XKnfAAG,0018d00000Gp06NAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Arnold464,Closed Won,805000,Jenny Martin,John Williams,Ramsey114 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKjbAAG,0018d00000Gp039AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Austin1360,Value Proposition,347730,Jenny Martin,Laura Palmer,Ramsey114 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKouAAG,0018d00000Gp039AAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Vega1066,Perception Analysis,201572,Jenny Martin,Harold Campbell,Bowman940 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKrDAAW,0018d00000Gp06PAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Sanders1761,Qualification,1049880,Jenny Martin,John Williams,Brewer941 Inc,Partner,Laura Garza,Jenny Martin,0068d000009XKpzAAG,0018d00000Gp06QAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Gibbs1874,Proposal/Price Quote,2058100,Jenny Martin,Catherine Brown,Lynch943 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKh6AAG,0018d00000Gp06SAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Figueroa642,Needs Analysis,701400,Jenny Martin,Johnny Green,Holmes945 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKqCAAW,0018d00000Gp06UAAR,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Simpson1598,Closed Won,204600,Jenny Martin,Laura Garza,Cook117 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKl4AAG,0018d00000Gp03CAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Bowers595,Closed Won,681410,Jenny Martin,Dennis Howard,Cook117 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKobAAG,0018d00000Gp03CAAR,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Stevenson670,Value Proposition,2728890,Jenny Martin,Catherine Brown,Webster118 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKr1AAG,0018d00000Gp03DAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Diaz177,Closed Won,130515,Jenny Martin,Laura Garza,Webster118 Inc,Partner,Eric Gutierrez,Jenny Martin,0068d000009XKe0AAG,0018d00000Gp03DAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Johnston601,Closed Lost,377520,Jenny Martin,Irene Kelley,Hansen313 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKodAAG,0018d00000Gp03HAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Miles1094,Closed Won,79480,Jenny Martin,Harold Campbell,Myers320 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKgSAAW,0018d00000Gp03OAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Clarke1831,Closed Won,359939,Jenny Martin,John Williams,Myers320 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKg3AAG,0018d00000Gp03OAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Schwartz75,Qualification,499450,Jenny Martin,Catherine Brown,Myers320 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKecAAG,0018d00000Gp03OAAR,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Kennedy1514,Closed Won,130230,Jenny Martin,Eric Gutierrez,Tate321 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKhfAAG,0018d00000Gp03PAAR,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Harper1957,Closed Won,421000,Jenny Martin,Evelyn Williamson,Fowler322 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKkCAAW,0018d00000Gp03QAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Colon1295,Closed Won,667200,Jenny Martin,Laura Palmer,Fowler322 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKmxAAG,0018d00000Gp03QAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Erickson1716,Value Proposition,1771150,Jenny Martin,Kelly Frazier,Fowler322 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKoSAAW,0018d00000Gp03QAAR,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Chavez1340,Closed Won,289140,Jenny Martin,John Williams,Fowler322 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKoKAAW,0018d00000Gp03QAAR,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Spencer490,Closed Lost,281412,Jenny Martin,Eric Sanchez,Fowler322 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKlIAAW,0018d00000Gp03QAAR,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Maxwell1082,Closed Won,457656,Jenny Martin,Laura Palmer,Hill331 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKfoAAG,0018d00000Gp03ZAAR,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Mendez1036,Closed Won,459280,Jenny Martin,Julie Chavez,Hicks332 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKqTAAW,0018d00000Gp03aAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for McKenzie1054,Closed Won,1224345,Jenny Martin,Irene Kelley,Rowe333 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKrAAAW,0018d00000Gp03bAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Harrington1112,Qualification,905000,Jenny Martin,Eric Gutierrez,Rowe333 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKgeAAG,0018d00000Gp03bAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Santos1154,Closed Lost,1153670,Jenny Martin,Dennis Howard,Adams335 Inc,Customer,John Williams,Jenny Martin,0068d000009XKi9AAG,0018d00000Gp03dAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Arnold1738,Closed Lost,257045,Jenny Martin,Laura Palmer,Crawford536 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKp9AAG,0018d00000Gp03hAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Morton406,Qualification,356880,Jenny Martin,Catherine Brown,Crawford536 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKeGAAW,0018d00000Gp03hAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Gill1168,Closed Won,786875,Jenny Martin,Nicolas Weaver,Morton537 Inc,Customer,Kelly Frazier,Jenny Martin,0068d000009XKitAAG,0018d00000Gp03iAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Andrews1792,Needs Analysis,1488450,Jenny Martin,Julie Chavez,Conner538 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKqoAAG,0018d00000Gp03jAAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Thornton1860,Closed Won,193757,Jenny Martin,Irene Kelley,Morris541 Inc,Partner,Laura Palmer,Jenny Martin,0068d000009XKgxAAG,0018d00000Gp03mAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Stone1195,Closed Lost,1817815,Jenny Martin,Nicolas Weaver,McKinney542 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKjnAAG,0018d00000Gp03nAAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Jefferson17,Closed Won,21640,Jenny Martin,Irene McCoy,Cortez324 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKceAAG,0018d00000Gp03SAAR,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Swanson1068,Negotiation/Review,248276,Jenny Martin,Laura Garza,Ellis327 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKfiAAG,0018d00000Gp03VAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Park1980,Value Proposition,532950,Jenny Martin,Chris Riley,Haynes326 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKlBAAW,0018d00000Gp03UAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Davis947,Closed Won,1574960,Jenny Martin,Irene Kelley,Barnett543 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKo0AAG,0018d00000Gp03oAAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Mendoza161,Closed Won,567800,Jenny Martin,Kelly Frazier,Barnett543 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKdYAAW,0018d00000Gp03oAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Gray19,Closed Won,690210,Jenny Martin,Harold Campbell,Barnett543 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKdJAAW,0018d00000Gp03oAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Watson580,Closed Won,4090880,Jenny Martin,Evelyn Williamson,Torres548 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKnvAAG,0018d00000Gp03tAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Conner5,Qualification,32400,Jenny Martin,Laura Palmer,Phillips552 Inc,Customer,Eric Gutierrez,Jenny Martin,0068d000009XKcZAAW,0018d00000Gp03xAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Higgins293,Negotiation/Review,3306425,Jenny Martin,Julie Chavez,Stone555 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKdiAAG,0018d00000Gp040AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Fox1817,Closed Won,807800,Jenny Martin,Nicolas Weaver,Pittman556 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKrYAAW,0018d00000Gp041AAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Brown672,Closed Won,2684465,Jenny Martin,Eric Sanchez,Clayton557 Inc,Partner,John Williams,Jenny Martin,0068d000009XKr3AAG,0018d00000Gp042AAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Nunez37,Closed Lost,809810,Jenny Martin,Irene Kelley,Smith558 Inc,Partner,Laura Palmer,Jenny Martin,0068d000009XKdRAAW,0018d00000Gp043AAB,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Reese570,Prospecting,2217555,Jenny Martin,Julie Chavez,Robertson721 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKntAAG,0018d00000Gp046AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Hart387,Needs Analysis,822800,Jenny Martin,Laura Garza,Phillips722 Inc,Partner,Catherine Brown,Jenny Martin,0068d000009XKdvAAG,0018d00000Gp047AAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Schwartz533,Closed Won,632960,Jenny Martin,Dennis Howard,Wade723 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKmSAAW,0018d00000Gp048AAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Jimenez961,Needs Analysis,449700,Jenny Martin,Julie Chavez,Wade723 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKoAAAW,0018d00000Gp048AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Singleton1620,Closed Won,3057500,Jenny Martin,Johnny Green,Wade723 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKlmAAG,0018d00000Gp048AAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Alvarez35,Closed Won,266400,Jenny Martin,Evelyn Williamson,Wade723 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKdQAAW,0018d00000Gp048AAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for McCoy365,Closed Won,88200,Jenny Martin,Irene McCoy,Munoz724 Inc,Customer,Irene Kelley,Jenny Martin,0068d000009XKdBAAW,0018d00000Gp049AAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Ellis1978,Closed Won,2745600,Jenny Martin,Doroth Gardner,Jensen729 Inc,Partner,Irene Kelley,Jenny Martin,0068d000009XKl9AAG,0018d00000Gp04EAAR,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Morgan713,Prospecting,2717500,Jenny Martin,Chris Riley,Joseph730 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKgGAAW,0018d00000Gp04FAAR,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Stevenson1907,Value Proposition,28440,Jenny Martin,Bruce Kennedy,Joseph730 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKiRAAW,0018d00000Gp04FAAR,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Lane987,Closed Won,316254,Jenny Martin,Evelyn Williamson,Joseph730 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKonAAG,0018d00000Gp04FAAR,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Barrett645,Closed Lost,2221650,Jenny Martin,Irene Kelley,Schneider736 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKqFAAW,0018d00000Gp04LAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Banks1549,Closed Won,363901,Jenny Martin,Kelly Frazier,Ferguson738 Inc,Partner,Kelly Frazier,Jenny Martin,0068d000009XKj9AAG,0018d00000Gp04NAAR,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Mitchell1983,Closed Won,1667600,Jenny Martin,Laura Garza,Hopkins739 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKlCAAW,0018d00000Gp04OAAR,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Kelly1755,Closed Won,197075,Jenny Martin,Irene Kelley,Mitchell743 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKpuAAG,0018d00000Gp04SAAR,0058d000004R3sKAAS,0058d000003BJO9AAO
Opportunity for Scott363,Perception Analysis,788800,Jenny Martin,Irene McCoy,Carlson744 Inc,Partner,Bruce Kennedy,Jenny Martin,0068d000009XKdAAAW,0018d00000Gp04TAAR,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Stokes814,Needs Analysis,1750,Jenny Martin,Harold Campbell,Luna900 Inc,Customer,Bruce Kennedy,Jenny Martin,0068d000009XKjgAAG,0018d00000Gp04ZAAR,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Moss732,Closed Won,461458,Jenny Martin,Catherine Brown,Dean902 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKgQAAW,0018d00000Gp04bAAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Williams149,Needs Analysis,2305550,Jenny Martin,Evelyn Williamson,Dean902 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKcoAAG,0018d00000Gp04bAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Johnston583,Closed Won,399300,Jenny Martin,Kelly Frazier,Elliott903 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKnyAAG,0018d00000Gp04cAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Morton591,Proposal/Price Quote,1741100,Jenny Martin,Eric Sanchez,Adkins907 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKoZAAW,0018d00000Gp04gAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Lewis258,Closed Won,309938,Jenny Martin,Laura Garza,Adkins907 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKcqAAG,0018d00000Gp04gAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Harrison476,Closed Won,2276590,Jenny Martin,Kelly Frazier,Carson909 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKkSAAW,0018d00000Gp04iAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Maxwell1410,Closed Lost,2183750,Jenny Martin,Kelly Frazier,Ferguson911 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKqfAAG,0018d00000Gp04kAAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Manning1045,Closed Won,16843,Jenny Martin,Chris Riley,Robinson912 Inc,Customer,John Williams,Jenny Martin,0068d000009XKr6AAG,0018d00000Gp04lAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Chandler1913,Closed Won,482760,Jenny Martin,Eric Gutierrez,Robinson912 Inc,Customer,John Williams,Jenny Martin,0068d000009XKiUAAW,0018d00000Gp04lAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Campbell1583,Closed Won,2008900,Jenny Martin,Laura Palmer,Dixon915 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKk6AAG,0018d00000Gp04oAAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Graves1407,Closed Lost,1423890,Jenny Martin,Irene McCoy,Dixon915 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKqdAAG,0018d00000Gp04oAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for Wong544,Closed Lost,3498250,Jenny Martin,Harold Campbell,Walters918 Inc,Partner,Eric Sanchez,Jenny Martin,0068d000009XKmZAAW,0018d00000Gp04rAAB,0058d000004R3sNAAS,0058d000003BJO9AAO
Opportunity for Moss1820,Perception Analysis,1489210,Jenny Martin,Doroth Gardner,Simpson342 Inc,Customer,Johnny Green,Jenny Martin,0068d000009XKraAAG,0018d00000Gp04zAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Lane561,Closed Won,316726,Jenny Martin,Dennis Howard,Armstrong345 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKnJAAW,0018d00000Gp052AAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for McCoy901,Closed Won,2132690,Jenny Martin,Eric Gutierrez,Armstrong345 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKmfAAG,0018d00000Gp052AAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Zimmerman1763,Qualification,4747520,Jenny Martin,Nicolas Weaver,Benson346 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKq1AAG,0018d00000Gp053AAB,0058d000004R3sMAAS,0058d000003BJO9AAO
Opportunity for Bridges897,Closed Lost,1316850,Jenny Martin,John Williams,Benson346 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKmcAAG,0018d00000Gp053AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Schultz736,Closed Lost,324200,Jenny Martin,Kelly Frazier,Benson346 Inc,Customer,Julie Chavez,Jenny Martin,0068d000009XKhAAAW,0018d00000Gp053AAB,0058d000004R3sPAAS,0058d000003BJO9AAO
Opportunity for Mendoza431,Closed Lost,3615050,Jenny Martin,John Williams,Bowman347 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKieAAG,0018d00000Gp054AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Harper529,Closed Won,17621,Jenny Martin,Dennis Howard,Bowman347 Inc,Customer,Irene McCoy,Jenny Martin,0068d000009XKlzAAG,0018d00000Gp054AAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Warner1943,Closed Won,1844200,Jenny Martin,Evelyn Williamson,Webster349 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKjMAAW,0018d00000Gp056AAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Jefferson936,Closed Won,95400,Jenny Martin,Julie Chavez,Webster349 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKnTAAW,0018d00000Gp056AAB,0058d000004R3sGAAS,0058d000003BJO9AAO
Opportunity for Butler582,Prospecting,224800,Jenny Martin,Bruce Kennedy,Webster349 Inc,Customer,Laura Garza,Jenny Martin,0068d000009XKnxAAG,0018d00000Gp056AAB,0058d000004R3sIAAS,0058d000003BJO9AAO
