Company,First Name,Last Name,Email,Online/In Person,Session not attended,Not Attended %
newyorker,Atalanta,Chowne,achowne37@newyorker.com,Online,Keynote,100.0
msu,Audy,Wykes,awykes1j@msu.edu,Online,Iron Viz,25.0
disqus,Banky,Gioan,bgioanr2@disqus.com,Online,Speed Tipping,25.0
bloomberg,Barney,Kunkel,bkunkelly@bloomberg.com,Online,Iron Viz,33.33
tuttocitta,Barnie,Lionel,blionelq7@tuttocitta.it,Online,Prep Tips & Tricks,33.33
spiegel,Barnie,Tours,btourspx@spiegel.de,Online,Prep Tips & Tricks,33.33
whitehouse,Benny,Pringour,bpringourlz@whitehouse.gov,Online,Prep Tips & Tricks,33.33
google,Berky,Kopisch,bkopischdx@google.pl,Online,Devs on Stage,33.33
wordpress,Bernadina,Fivey,bfivey8x@wordpress.org,Online,Keynote,66.67
wordpress,Bernadina,Fivey,bfivey8x@wordpress.org,Online,Iron Viz,66.67
dedecms,Bernie,Lago,blagodz@dedecms.com,Online,Prep Tips & Tricks,25.0
marriott,Berti,Teffrey,bteffreyo6@marriott.com,Online,Speed Tipping,50.0
oakley,Beryle,Heberden,bheberdenhh@oakley.com,Online,Keynote,50.0
trellian,Bev,Loughren,bloughren9v@trellian.com,Online,Speed Tipping,33.33
sbwire,Billie,Batisse,bbatisse45@sbwire.com,Online,Prep Tips & Tricks,100.0
163,Biron,Spriddle,bspriddlea8@163.com,Online,Keynote,33.33
technorati,Blair,Cheesman,bcheesmanhi@technorati.com,Online,Iron Viz,50.0
forbes,Brandice,Thews,bthewshf@forbes.com,Online,Speed Tipping,33.33
opera,Brice,Harrell,bharrelley@opera.com,Online,Iron Viz,20.0
weibo,Brunhilda,Willbourne,bwillbourneok@weibo.com,Online,Devs on Stage,100.0
fema,Bryce,Beatson,bbeatsone2@fema.gov,Online,Keynote,100.0
twitter,Byrle,Thaw,bthaw2f@twitter.com,Online,Keynote,33.33
icio,Cahra,Lounds,cloundsgm@icio.us,Online,Devs on Stage,33.33
deliciousdays,Calida,Cluitt,ccluittn6@deliciousdays.com,Online,Speed Tipping,66.67
deliciousdays,Calida,Cluitt,ccluittn6@deliciousdays.com,Online,Devs on Stage,66.67
ed,Caprice,Denyer,cdenyer75@ed.gov,Online,Speed Tipping,50.0
topsy,Carissa,Courcey,ccourceyja@topsy.com,Online,Keynote,50.0
symantec,Carla,Bwye,cbwye10@symantec.com,Online,Prep Tips & Tricks,33.33
sun,Carma,Aslum,caslume7@sun.com,Online,Iron Viz,33.33
histats,Carolee,Brims,cbrimsn8@histats.com,Online,Keynote,20.0
booking,Cathrine,Matterface,cmatterfacehl@booking.com,Online,Speed Tipping,25.0
amazon,Celesta,Koppens,ckoppensq6@amazon.com,Online,Keynote,25.0
baidu,Charlean,McPharlain,cmcpharlainns@baidu.com,Online,Speed Tipping,33.33
sun,Charmian,Galletley,cgalletley6r@sun.com,Online,Devs on Stage,33.33
last,Chelsae,Cawdron,ccawdrongf@last.fm,Online,Prep Tips & Tricks,33.33
gov,Chery,Dabell,cdabell3l@gov.uk,Online,Keynote,50.0
pcworld,Chick,Airds,cairds4d@pcworld.com,Online,Keynote,33.33
nhs,Christabella,Okenfold,cokenfoldj0@nhs.uk,Online,Keynote,50.0
storify,Christoffer,Cardo,ccardoqh@storify.com,Online,Keynote,50.0
storify,Christoffer,Cardo,ccardoqh@storify.com,Online,Iron Viz,50.0
sitemeter,Cicily,Bernadzki,cbernadzki8c@sitemeter.com,Online,Keynote,33.33
joomla,Clair,Carillo,ccarilloo@joomla.org,Online,Prep Tips & Tricks,100.0
businessweek,Clarissa,Sahnow,csahnowch@businessweek.com,Online,Devs on Stage,100.0
hud,Claudelle,Jeannenet,cjeannenet6h@hud.gov,Online,Devs on Stage,50.0
1und1,Claudette,Edel,cedeley@1und1.de,Online,Iron Viz,25.0
dailymotion,Cleopatra,Fazan,cfazanka@dailymotion.com,Online,Prep Tips & Tricks,50.0
a8,Clo,Tatham,ctatham5x@a8.net,Online,Speed Tipping,33.33
discuz,Clyde,Hallawell,challawellkn@discuz.net,Online,Speed Tipping,33.33
sakura,Colly,Jellett,cjellett96@sakura.ne.jp,Online,Speed Tipping,66.67
sakura,Colly,Jellett,cjellett96@sakura.ne.jp,Online,Iron Viz,66.67
about,Consalve,Lippett,clippettbz@about.com,Online,Speed Tipping,33.33
wikispaces,Correna,Copson,ccopson50@wikispaces.com,Online,Iron Viz,33.33
ameblo,Cristine,Withringten,cwithringtenhi@ameblo.jp,Online,Keynote,25.0
newsvine,Curran,Balcon,cbalcon82@newsvine.com,Online,Devs on Stage,20.0
dagondesign,Currie,Angood,cangood83@dagondesign.com,Online,Prep Tips & Tricks,33.33
phpbb,Cyrille,Peperell,cpeperell2n@phpbb.com,Online,Keynote,33.33
ibm,Dacy,Hollows,dhollowsis@ibm.com,Online,Speed Tipping,25.0
cafepress,Dareen,Elverstone,delverstone8i@cafepress.com,Online,Prep Tips & Tricks,25.0
msn,Darice,Gillease,dgilleaseis@msn.com,Online,Devs on Stage,25.0
scientificamerican,Daron,Dmitrienko,ddmitrienko88@scientificamerican.com,Online,Speed Tipping,100.0
scientificamerican,Daron,Dmitrienko,ddmitrienko88@scientificamerican.com,Online,Iron Viz,100.0
ted,Dawna,Bednall,dbednall2k@ted.com,Online,Devs on Stage,50.0
reuters,Deane,Bome,dbomehd@reuters.com,Online,Devs on Stage,33.33
vinaora,Delaney,Ellgood,dellgoodaq@vinaora.com,Online,Prep Tips & Tricks,33.33
amazonaws,Delila,Whittlesee,dwhittleseekm@amazonaws.com,Online,Iron Viz,33.33
last,Dewain,Hopfer,dhopferaz@last.fm,Online,Speed Tipping,33.33
ebay,Dimitry,von Grollmann,dvongrollmannfm@ebay.co.uk,Online,Devs on Stage,33.33
moonfruit,Dirk,Follett,dfollettb7@moonfruit.com,Online,Keynote,20.0
hud,Dorelia,Blowne,dblowne8t@hud.gov,Online,Iron Viz,50.0
europa,Dot,Joisce,djoisce87@europa.eu,Online,Prep Tips & Tricks,40.0
europa,Dot,Joisce,djoisce87@europa.eu,Online,Devs on Stage,40.0
chronoengine,Dulcia,Cecere,dcecere9i@chronoengine.com,Online,Devs on Stage,25.0
jalbum,Durward,Blackaller,dblackaller3v@jalbum.net,Online,Speed Tipping,66.67
jalbum,Durward,Blackaller,dblackaller3v@jalbum.net,Online,Devs on Stage,66.67
cbc,Early,Thaxter,ethaxterg@cbc.ca,Online,Devs on Stage,25.0
nasa,Ebba,Rubertis,erubertisog@nasa.gov,Online,Speed Tipping,33.33
mail,Ebonee,Escritt,eescritta6@mail.ru,Online,Prep Tips & Tricks,20.0
istockphoto,Ediva,Havis,ehavismk@istockphoto.com,Online,Iron Viz,33.33
thetimes,Edna,Alesi,ealesi8c@thetimes.co.uk,Online,Speed Tipping,25.0
foxnews,Eliza,Harriday,eharridaydb@foxnews.com,Online,Keynote,50.0
narod,Elwin,Hallowes,ehallowesdh@narod.ru,Online,Prep Tips & Tricks,33.33
who,Emilie,Skpsey,eskpseyn6@who.int,Online,Prep Tips & Tricks,20.0
washingtonpost,Emlyn,Harbison,eharbisondb@washingtonpost.com,Online,Prep Tips & Tricks,33.33
imgur,Enos,Skewis,eskewisrd@imgur.com,Online,Devs on Stage,25.0
ca,Enrique,Allabarton,eallabartonqj@ca.gov,Online,Keynote,100.0
list-manage,Ephrem,Finlator,efinlatorg0@list-manage.com,Online,Speed Tipping,25.0
pbs,Erskine,Stanner,estannermz@pbs.org,Online,Speed Tipping,66.67
pbs,Erskine,Stanner,estannermz@pbs.org,Online,Prep Tips & Tricks,66.67
studiopress,Evie,Josskowitz,ejosskowitzmb@studiopress.com,Online,Keynote,33.33
sakura,Ezmeralda,Vincent,evincent7j@sakura.ne.jp,Online,Prep Tips & Tricks,33.33
microsoft,Faydra,Wormell,fwormellh9@microsoft.com,Online,Keynote,50.0
eventbrite,Fiann,Inglish,finglishkq@eventbrite.com,Online,Speed Tipping,50.0
merriam-webster,Finn,Skippon,fskipponrm@merriam-webster.com,Online,Iron Viz,33.33
indiegogo,Florry,Sketh,fskethi@indiegogo.com,Online,Prep Tips & Tricks,25.0
drupal,Flss,Lyall,flyallbq@drupal.org,Online,Iron Viz,20.0
msu,Francesco,Bartelet,fbartelet7g@msu.edu,Online,Iron Viz,50.0
cafepress,Francois,Gawkroge,fgawkroge23@cafepress.com,Online,Iron Viz,25.0
tripadvisor,Freddie,Mebius,fmebius4c@tripadvisor.com,Online,Iron Viz,25.0
economist,Frederigo,Horbath,fhorbathjg@economist.com,Online,Prep Tips & Tricks,50.0
ask,Gabi,Poxton,gpoxtonpj@ask.com,Online,Prep Tips & Tricks,50.0
blogspot,Gale,Rutley,grutley3i@blogspot.com,Online,Keynote,50.0
ibm,Galina,Courson,gcourson5h@ibm.com,Online,Speed Tipping,20.0
ca,Garth,Yann,gyann96@ca.gov,Online,Prep Tips & Tricks,25.0
reverbnation,Gavra,Roddy,groddy69@reverbnation.com,Online,Speed Tipping,33.33
senate,Gaylord,Alwell,galwellfo@senate.gov,Online,Keynote,33.33
bbc,Gert,Dumberell,gdumberellmn@bbc.co.uk,Online,Prep Tips & Tricks,50.0
kickstarter,Gerty,Newens,gnewensqo@kickstarter.com,Online,Prep Tips & Tricks,33.33
discuz,Gian,Ainge,gaingeje@discuz.net,Online,Speed Tipping,33.33
rakuten,Giustina,Frissell,gfrisselll9@rakuten.co.jp,Online,Keynote,33.33
paginegialle,Glen,Mickan,gmickan36@paginegialle.it,Online,Prep Tips & Tricks,25.0
pen,Glory,Charnick,gcharnick3b@pen.io,Online,Iron Viz,100.0
wp,Glynis,Scrivener,gscrivener9i@wp.com,Online,Speed Tipping,33.33
netvibes,Godard,Broadey,gbroadey3m@netvibes.com,Online,Devs on Stage,25.0
last,Gothart,Harbisher,gharbisheril@last.fm,Online,Keynote,20.0
meetup,Graehme,Poytress,gpoytressh7@meetup.com,Online,Devs on Stage,33.33
hubpages,Grete,Zoren,gzorenlp@hubpages.com,Online,Devs on Stage,50.0
microsoft,Halette,Clelland,hclelland1v@microsoft.com,Online,Iron Viz,25.0
ft,Halsy,M'Barron,hmbarronjz@ft.com,Online,Devs on Stage,33.33
epa,Hannis,Eastmond,heastmondno@epa.gov,Online,Keynote,33.33
cisco,Harbert,McVanamy,hmcvanamym9@cisco.com,Online,Speed Tipping,25.0
techcrunch,Harbert,Pretti,hprettig5@techcrunch.com,Online,Keynote,50.0
smugmug,Harriett,Foat,hfoatft@smugmug.com,Online,Keynote,33.33
xing,Harriette,Klimp,hklimpd3@xing.com,Online,Devs on Stage,33.33
amazon,Hasheem,Smalls,hsmalls2v@amazon.com,Online,Devs on Stage,25.0
umn,Haywood,Welbourn,hwelbourndb@umn.edu,Online,Iron Viz,50.0
reference,Hedvige,Darnody,hdarnody2r@reference.com,Online,Iron Viz,33.33
about,Henrik,Dobble,hdobble4u@about.com,Online,Prep Tips & Tricks,100.0
usda,Hephzibah,Barhem,hbarhemfk@usda.gov,Online,Devs on Stage,100.0
cornell,Homerus,Wathan,hwathan3f@cornell.edu,Online,Speed Tipping,40.0
cornell,Homerus,Wathan,hwathan3f@cornell.edu,Online,Prep Tips & Tricks,40.0
google,Hoyt,Tidcombe,htidcombeby@google.de,Online,Keynote,33.33
harvard,Hulda,Corneille,hcorneillecq@harvard.edu,Online,Keynote,25.0
lulu,Husain,Pauer,hpauerjo@lulu.com,Online,Keynote,33.33
amazon,Iago,Carlson,icarlsonfa@amazon.de,Online,Keynote,50.0
dedecms,Iggie,Tinman,itinmanfd@dedecms.com,Online,Devs on Stage,50.0
cdbaby,Ignaz,Manshaw,imanshawgj@cdbaby.com,Online,Prep Tips & Tricks,100.0
ed,Ingmar,Stetson,istetsonid@ed.gov,Online,Keynote,50.0
smugmug,Jackie,Vasilevich,jvasilevich92@smugmug.com,Online,Devs on Stage,33.33
cnet,Jami,Huglin,jhuglin4e@cnet.com,Online,Speed Tipping,50.0
europa,Janel,Drinkel,jdrinkellk@europa.eu,Online,Iron Viz,50.0
auda,Janice,Wasiel,jwasieldh@auda.org.au,Online,Speed Tipping,100.0
taobao,Jeanelle,Milbank,jmilbanke@taobao.com,Online,Speed Tipping,33.33
wisc,Jemmie,Drillot,jdrillotq1@wisc.edu,Online,Prep Tips & Tricks,25.0
reference,Jennie,Wigfield,jwigfield7q@reference.com,Online,Speed Tipping,50.0
ocn,Jewel,Snowden,jsnowden77@ocn.ne.jp,Online,Keynote,50.0
amazon,Jillana,Trewman,jtrewmanqa@amazon.co.uk,Online,Prep Tips & Tricks,25.0
miitbeian,Jo,Rablan,jrablangc@miitbeian.gov.cn,Online,Keynote,33.33
chronoengine,Jocelin,Cawdery,jcawderyz@chronoengine.com,Online,Keynote,50.0
pinterest,Jody,Scimone,jscimonebl@pinterest.com,Online,Keynote,33.33
nih,Jonathan,Marien,jmarien7y@nih.gov,Online,Prep Tips & Tricks,33.33
miibeian,Jori,Levy,jlevyn7@miibeian.gov.cn,Online,Keynote,50.0
wunderground,Kania,Zelake,kzelake2w@wunderground.com,Online,Keynote,33.33
businessweek,Karon,State,kstatepx@businessweek.com,Online,Speed Tipping,20.0
ustream,Karrah,Giannasi,kgiannasidl@ustream.tv,Online,Iron Viz,33.33
illinois,Kerk,Hanselmann,khanselmann3@illinois.edu,Online,Keynote,25.0
nature,Kimberley,Haslock(e),khaslockeo2@nature.com,Online,Speed Tipping,100.0
ustream,Kimble,Ibanez,kibanezoe@ustream.tv,Online,Keynote,25.0
surveymonkey,Kylie,Bixley,kbixleyq1@surveymonkey.com,Online,Speed Tipping,33.33
printfriendly,Laina,Scougall,lscougalloe@printfriendly.com,Online,Prep Tips & Tricks,50.0
sun,Lannie,Ferminger,lfermingerg1@sun.com,Online,Speed Tipping,25.0
weibo,Laughton,Foulkes,lfoulkesot@weibo.com,Online,Speed Tipping,33.33
cocolog-nifty,Laurella,Valentin,lvalentinp7@cocolog-nifty.com,Online,Speed Tipping,33.33
unicef,Leandra,Masson,lmassonmc@unicef.org,Online,Keynote,25.0
yellowbook,Leland,Carne,lcarneii@yellowbook.com,Online,Speed Tipping,25.0
facebook,Leoline,Thornber,lthornbercg@facebook.com,Online,Devs on Stage,25.0
google,Leonora,Barker,lbarkerlt@google.co.jp,Online,Speed Tipping,33.33
yelp,Lesly,Titterton,ltittertonb3@yelp.com,Online,Keynote,25.0
google,Levin,Ruske,lruskeqx@google.com,Online,Speed Tipping,50.0
admin,Lindy,Mouatt,lmouattq0@admin.ch,Online,Prep Tips & Tricks,25.0
t-online,Lois,Phelips,lphelipsd8@t-online.de,Online,Speed Tipping,50.0
answers,Lonnie,Bernardini,lbernardini8w@answers.com,Online,Iron Viz,50.0
chicagotribune,Lorie,Keener,lkeenerr1@chicagotribune.com,Online,Devs on Stage,33.33
cbsnews,Lorry,Gorwood,lgorwoodmb@cbsnews.com,Online,Devs on Stage,50.0
opera,Louisa,Bettinson,lbettinson5r@opera.com,Online,Iron Viz,100.0
dailymail,Lurleen,Becks,lbecks3u@dailymail.co.uk,Online,Devs on Stage,100.0
irs,Lydia,Babington,lbabingtonem@irs.gov,Online,Devs on Stage,50.0
cnet,Madelene,Franzonetti,mfranzonetti3i@cnet.com,Online,Devs on Stage,33.33
ox,Madeline,Dehmel,mdehmel88@ox.ac.uk,Online,Iron Viz,50.0
smh,Madeline,Varden,mvarden20@smh.com.au,Online,Speed Tipping,33.33
unesco,Madge,Belcham,mbelchammk@unesco.org,Online,Speed Tipping,33.33
xinhuanet,Malvina,Thyng,mthyngbr@xinhuanet.com,Online,Iron Viz,50.0
about,Margot,Skally,mskally30@about.me,Online,Devs on Stage,25.0
sfgate,Marillin,Hafner,mhafner4v@sfgate.com,Online,Keynote,33.33
washington,Marlie,Vere,mvere8w@washington.edu,Online,Speed Tipping,50.0
businesswire,Marlo,Tavernor,mtavernor5k@businesswire.com,Online,Iron Viz,33.33
ow,Marna,Dikle,mdikle37@ow.ly,Online,Prep Tips & Tricks,25.0
acquirethisname,Martguerita,Pollitt,mpollittbg@acquirethisname.com,Online,Keynote,33.33
fema,Martica,Agge,maggefh@fema.gov,Online,Keynote,25.0
quantcast,Martynne,Reightley,mreightley49@quantcast.com,Online,Keynote,33.33
webeden,Marve,Molesworth,mmolesworthob@webeden.co.uk,Online,Speed Tipping,66.67
webeden,Marve,Molesworth,mmolesworthob@webeden.co.uk,Online,Iron Viz,66.67
canalblog,Marylynne,Gooddy,mgooddykt@canalblog.com,Online,Prep Tips & Tricks,50.0
patch,Marys,Castagne,mcastagnemp@patch.com,Online,Prep Tips & Tricks,50.0
sourceforge,Mateo,Bletcher,mbletcher37@sourceforge.net,Online,Keynote,50.0
storify,Maury,Ciciari,mciciaribt@storify.com,Online,Speed Tipping,66.67
storify,Maury,Ciciari,mciciaribt@storify.com,Online,Iron Viz,66.67
lycos,Mavis,Gillean,mgillean79@lycos.com,Online,Devs on Stage,33.33
ow,Maximilien,Edson,medson39@ow.ly,Online,Prep Tips & Tricks,50.0
sciencedirect,Meagan,Berardt,mberardt1z@sciencedirect.com,Online,Speed Tipping,50.0
microsoft,Melina,Lazar,mlazar80@microsoft.com,Online,Speed Tipping,50.0
java,Melisandra,Pawnsford,mpawnsfordqg@java.com,Online,Speed Tipping,33.33
indiatimes,Melly,Condie,mcondie5i@indiatimes.com,Online,Iron Viz,33.33
ucla,Melosa,Aisbett,maisbettan@ucla.edu,Online,Prep Tips & Tricks,50.0
intel,Melvin,Cripwell,mcripwell34@intel.com,Online,Iron Viz,33.33
dot,Merle,Kilgrew,mkilgrewfl@dot.gov,Online,Keynote,50.0
weather,Micheal,Garvey,mgarvey52@weather.com,Online,Keynote,50.0
51,Michel,Avrahamoff,mavrahamoff4t@51.la,Online,Keynote,25.0
intel,Millicent,Dy,mdynn@intel.com,Online,Devs on Stage,50.0
bravesites,Minerva,Mullin,mmullinn8@bravesites.com,Online,Keynote,33.33
tinyurl,Minni,Eadmeades,meadmeadesql@tinyurl.com,Online,Devs on Stage,50.0
photobucket,Morgen,Batho,mbathoda@photobucket.com,Online,Devs on Stage,33.33
dyndns,Morgen,Crennan,mcrennanrp@dyndns.org,Online,Iron Viz,33.33
a8,Mort,Moorcraft,mmoorcraftf3@a8.net,Online,Devs on Stage,50.0
themeforest,Moselle,Pestell,mpestell9w@themeforest.net,Online,Keynote,50.0
live,Murvyn,Scolli,mscolli8e@live.com,Online,Iron Viz,33.33
sitemeter,Myrta,McMurray,mmcmurraydc@sitemeter.com,Online,Speed Tipping,33.33
mapy,Myrtie,Margetson,mmargetsonjw@mapy.cz,Online,Speed Tipping,50.0
hud,Nada,Yaneev,nyaneevqk@hud.gov,Online,Keynote,25.0
sourceforge,Nanny,Jakubiak,njakubiakfb@sourceforge.net,Online,Speed Tipping,33.33
google,Natasha,Pumphrey,npumphreypv@google.com.au,Online,Prep Tips & Tricks,25.0
diigo,Natasha,Salt,nsaltkd@diigo.com,Online,Keynote,50.0
theguardian,Nevil,Battisson,nbattissonak@theguardian.com,Online,Keynote,33.33
yahoo,Neville,Brendel,nbrendelqh@yahoo.com,Online,Speed Tipping,50.0
bloomberg,Nicolais,Grewer,ngrewerik@bloomberg.com,Online,Devs on Stage,33.33
cornell,Ninette,Frankland,nfranklandnr@cornell.edu,Online,Keynote,25.0
friendfeed,Nona,Brankley,nbrankleyab@friendfeed.com,Online,Prep Tips & Tricks,50.0
cbsnews,Olenka,Edeler,oedelerki@cbsnews.com,Online,Iron Viz,50.0
washingtonpost,Olympia,Mussen,omussen3y@washingtonpost.com,Online,Keynote,50.0
washingtonpost,Orelie,Branchett,obranchettq0@washingtonpost.com,Online,Devs on Stage,33.33
hugedomains,Orland,Kiezler,okiezlerjj@hugedomains.com,Online,Iron Viz,33.33
buzzfeed,Orville,Boldock,oboldocker@buzzfeed.com,Online,Iron Viz,50.0
examiner,Paolina,Clemenson,pclemenson2j@examiner.com,Online,Speed Tipping,33.33
cdc,Paolina,Danielsen,pdanielsen3h@cdc.gov,Online,Iron Viz,33.33
pinterest,Parry,Palfreyman,ppalfreymanoz@pinterest.com,Online,Iron Viz,25.0
lycos,Pasquale,Seilmann,pseilmannbb@lycos.com,Online,Prep Tips & Tricks,33.33
smh,Patrizius,Haukey,phaukeyel@smh.com.au,Online,Keynote,50.0
bbb,Patty,O'Fihily,pofihilyjj@bbb.org,Online,Prep Tips & Tricks,25.0
nytimes,Pegeen,Woodhouse,pwoodhouse6h@nytimes.com,Online,Speed Tipping,25.0
bizjournals,Peggie,Hooks,phooksnx@bizjournals.com,Online,Prep Tips & Tricks,33.33
netscape,Percival,Vlasyuk,pvlasyuknd@netscape.com,Online,Keynote,50.0
domainmarket,Perry,Dimitriev,pdimitrievh1@domainmarket.com,Online,Devs on Stage,50.0
theguardian,Philipa,Onions,ponionsgw@theguardian.com,Online,Prep Tips & Tricks,50.0
blogs,Phillida,Yeats,pyeats53@blogs.com,Online,Speed Tipping,50.0
barnesandnoble,Philly,Queree,pquereeh0@barnesandnoble.com,Online,Prep Tips & Tricks,25.0
privacy,Rabbi,Portigall,rportigallrf@privacy.gov.au,Online,Iron Viz,33.33
soup,Rahal,Milton-White,rmiltonwhitecj@soup.io,Online,Devs on Stage,33.33
cloudflare,Redd,Pash,rpashqh@cloudflare.com,Online,Iron Viz,20.0
twitter,Rey,Peploe,rpeploe9j@twitter.com,Online,Speed Tipping,50.0
flavors,Rikki,Arenson,rarensonot@flavors.me,Online,Keynote,25.0
opera,Robinet,Leivers,rleiversq1@opera.com,Online,Prep Tips & Tricks,50.0
hexun,Ron,Stittle,rstittleju@hexun.com,Online,Speed Tipping,33.33
apple,Ronnica,Landall,rlandallb1@apple.com,Online,Iron Viz,25.0
epa,Roselle,Lavelle,rlavelle6l@epa.gov,Online,Devs on Stage,33.33
newyorker,Rosetta,Penhearow,rpenhearow5t@newyorker.com,Online,Devs on Stage,33.33
cdbaby,Rubie,Campa,rcampanz@cdbaby.com,Online,Devs on Stage,100.0
merriam-webster,Rupert,Gemmell,rgemmell7q@merriam-webster.com,Online,Speed Tipping,50.0
epa,Ruprecht,Bysouth,rbysouth2x@epa.gov,Online,Prep Tips & Tricks,25.0
microsoft,Rutger,Danielou,rdanieloua9@microsoft.com,Online,Prep Tips & Tricks,25.0
mysql,Sadie,Ducker,sduckern@mysql.com,Online,Iron Viz,50.0
intel,Sampson,O'Carney,socarney4m@intel.com,Online,Speed Tipping,33.33
foxnews,Scott,Staresmeare,sstaresmeare9p@foxnews.com,Online,Keynote,25.0
blog,See,Deavin,sdeavin6x@blog.com,Online,Keynote,33.33
illinois,Serge,Ranken,srankenbc@illinois.edu,Online,Keynote,100.0
dagondesign,Shae,Manders,smandershe@dagondesign.com,Online,Keynote,25.0
umich,Shandee,Ashington,sashingtonc0@umich.edu,Online,Speed Tipping,25.0
desdev,Shantee,Crockford,scrockfordb1@desdev.cn,Online,Iron Viz,50.0
fda,Sheffy,Offin,soffin7q@fda.gov,Online,Devs on Stage,33.33
constantcontact,Shelly,Idiens,sidiense@constantcontact.com,Online,Keynote,50.0
nsw,Shem,Normaville,snormavillepk@nsw.gov.au,Online,Prep Tips & Tricks,33.33
facebook,Sibel,Bickerdike,sbickerdikeo0@facebook.com,Online,Devs on Stage,25.0
cornell,Siegfried,Borles,sborlesfm@cornell.edu,Online,Devs on Stage,33.33
shutterfly,Sigrid,Gockeler,sgockeler9t@shutterfly.com,Online,Speed Tipping,50.0
cpanel,Simonne,Tolossi,stolossi7b@cpanel.net,Online,Keynote,33.33
archive,Sisile,Pottiphar,spottipharp3@archive.org,Online,Speed Tipping,25.0
time,Siward,Coughlin,scoughlinkt@time.com,Online,Iron Viz,33.33
hp,Starla,Vinall,svinall9b@hp.com,Online,Prep Tips & Tricks,50.0
thetimes,Starlene,Shailer,sshailer8r@thetimes.co.uk,Online,Iron Viz,33.33
shareasale,Stefania,Podd,spodd5k@shareasale.com,Online,Iron Viz,50.0
dion,Susette,Constance,sconstancefn@dion.ne.jp,Online,Prep Tips & Tricks,100.0
uiuc,Taddeo,Whitelock,twhitelock22@uiuc.edu,Online,Speed Tipping,33.33
cbsnews,Talbot,Stonman,tstonmanq7@cbsnews.com,Online,Prep Tips & Tricks,50.0
fc2,Talya,Cockley,tcockleyax@fc2.com,Online,Keynote,25.0
telegraph,Talyah,Lealle,tlealle68@telegraph.co.uk,Online,Devs on Stage,20.0
cpanel,Tansy,Hark,tharkrn@cpanel.net,Online,Prep Tips & Tricks,33.33
shutterfly,Tedi,Leitche,tleitchei1@shutterfly.com,Online,Keynote,33.33
