Customer Classification,YoY Difference,Order?,Year,First Purchase,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer ID
Consistent,18,1,2021,2019,3654,CA-2021-109960,09/12/2021,11/12/2021,Second Class,Dean Braden,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,14.94,3,0,7.0218,DB-13210
Consistent,18,1,2021,2019,3653,CA-2021-109960,09/12/2021,11/12/2021,Second Class,Dean Braden,Consumer,United States,Detroit,Michigan,48234,Central,OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs,33.72,4,0,15.5112,DB-13210
Consistent,18,1,2021,2019,3652,CA-2021-109960,09/12/2021,11/12/2021,Second Class,Dean Braden,Consumer,United States,Detroit,Michigan,48234,Central,OFF-AR-10001860,Office Supplies,Art,BIC Liqua Brite Liner,34.7,5,0,12.492,DB-13210
Consistent,18,1,2021,2019,3651,CA-2021-109960,09/12/2021,11/12/2021,Second Class,Dean Braden,Consumer,United States,Detroit,Michigan,48234,Central,TEC-AC-10004859,Technology,Accessories,"Maxell Pro 80 Minute CD-R, 10/Pack",104.88,6,0,41.952,DB-13210
Consistent,18,1,2021,2019,1969,CA-2021-165841,21/12/2021,28/12/2021,Standard Class,Dean Braden,Consumer,United States,Paterson,New Jersey,7501,East,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,166.44,3,0,79.8912,DB-13210
Consistent,18,1,2021,2019,1968,CA-2021-165841,21/12/2021,28/12/2021,Standard Class,Dean Braden,Consumer,United States,Paterson,New Jersey,7501,East,OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",69.5,5,0,20.155,DB-13210
Consistent,18,1,2021,2019,1967,CA-2021-165841,21/12/2021,28/12/2021,Standard Class,Dean Braden,Consumer,United States,Paterson,New Jersey,7501,East,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,281.97,3,0,78.9516,DB-13210
Consistent,-34,1,2020,2019,4225,CA-2020-108644,30/09/2020,03/10/2020,First Class,Sarah Jordon,Consumer,United States,Quincy,Illinois,62301,Central,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.964,2,0.8,-3.2406,SJ-20215
Sleeping,-158,0,2019,2018,,,,,,Tom Stivers,,,,,,,,,,,,,,,TS-21430
New,,1,2018,2018,5131,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,OFF-PA-10000213,Office Supplies,Paper,Xerox 198,44.82,9,0,21.0654,DM-13015
New,,1,2018,2018,5130,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,TEC-PH-10000526,Technology,Phones,Vtech CS6719,287.97,3,0,80.6316,DM-13015
New,,1,2018,2018,5129,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,16.99,1,0,4.4174,DM-13015
New,,1,2018,2018,5128,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,601.3,2,0,198.429,DM-13015
New,,1,2018,2018,5127,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0,1371.9804,DM-13015
New,,1,2018,2018,5126,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,68.46,7,0,31.4916,DM-13015
New,,1,2018,2018,5125,CA-2018-160766,14/09/2018,14/09/2018,Same Day,Darrin Martin,Consumer,United States,New York City,New York,10009,East,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,464.292,9,0.4,-108.3348,DM-13015
Consistent,32,1,2021,2018,6042,CA-2021-122364,24/09/2021,29/09/2021,Standard Class,Frank Atkinson,Corporate,United States,Los Angeles,California,90008,West,TEC-MA-10001031,Technology,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),506.28,3,0.2,177.198,FA-14230
Consistent,32,1,2021,2018,6041,CA-2021-122364,24/09/2021,29/09/2021,Standard Class,Frank Atkinson,Corporate,United States,Los Angeles,California,90008,West,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,859.2,3,0.2,75.180000000,FA-14230
Consistent,32,1,2021,2018,6922,CA-2021-109211,04/04/2021,10/04/2021,Standard Class,Penelope Sewall,Home Office,United States,New York City,New York,10011,East,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,16.98,1,0,8.49,PS-19045
Consistent,32,1,2021,2018,3274,CA-2021-133865,08/05/2021,12/05/2021,Standard Class,Penelope Sewall,Home Office,United States,Los Angeles,California,90032,West,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,3359.952,6,0.2,1049.985,PS-19045
Consistent,32,1,2021,2018,1097,CA-2021-160423,21/01/2021,26/01/2021,Standard Class,Penelope Sewall,Home Office,United States,Charlotte,North Carolina,28205,South,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,35.784,7,0.7,-28.6272,PS-19045
Consistent,32,1,2021,2018,1096,CA-2021-160423,21/01/2021,26/01/2021,Standard Class,Penelope Sewall,Home Office,United States,Charlotte,North Carolina,28205,South,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",348.208,7,0.2,30.4682,PS-19045
Consistent,-158,1,2019,2018,1197,US-2019-130519,15/09/2019,15/09/2019,Same Day,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",55.968,1,0.2,-2.098800000,NG-18355
Consistent,-158,1,2019,2018,1196,US-2019-130519,15/09/2019,15/09/2019,Same Day,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",24.672,2,0.2,2.1588,NG-18355
Consistent,-158,1,2019,2018,1195,US-2019-130519,15/09/2019,15/09/2019,Same Day,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,15.712,4,0.2,2.5532,NG-18355
Consistent,-158,1,2019,2018,1194,US-2019-130519,15/09/2019,15/09/2019,Same Day,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,15.552,3,0.2,5.4432,NG-18355
New,,1,2019,2019,882,CA-2019-129098,09/10/2019,13/10/2019,Standard Class,Dave Kipp,Consumer,United States,Springfield,Virginia,22153,South,OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",30.84,2,0,8.3268,DK-13090
New,,1,2019,2019,118,CA-2019-110457,02/03/2019,06/03/2019,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813,DK-13090
Consistent,-158,1,2019,2018,4339,CA-2019-125234,27/11/2019,01/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",113.82,3,0,53.4954,SN-20710
Consistent,-158,1,2019,2018,4338,CA-2019-125234,27/11/2019,01/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,107.97,3,0,22.6737,SN-20710
Consistent,-158,1,2019,2018,41,CA-2019-117415,27/12/2019,31/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,SN-20710
Consistent,-158,1,2019,2018,40,CA-2019-117415,27/12/2019,31/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,SN-20710
Consistent,-158,1,2019,2018,39,CA-2019-117415,27/12/2019,31/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,SN-20710
Consistent,-158,1,2019,2018,38,CA-2019-117415,27/12/2019,31/12/2019,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,SN-20710
Sleeping,32,0,2021,2018,,,,,,Theresa Swint,,,,,,,,,,,,,,,TS-21160
New,,1,2018,2018,5285,CA-2018-133424,30/03/2018,04/04/2018,Standard Class,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,44.4,3,0,22.2,Dl-13600
New,,1,2018,2018,5284,CA-2018-133424,30/03/2018,04/04/2018,Standard Class,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers,15.84,3,0,0,Dl-13600
New,,1,2018,2018,716,CA-2018-153150,01/07/2018,06/07/2018,Second Class,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,19.92,5,0.2,6.972,Dl-13600
Returning,18,1,2021,2019,4840,CA-2021-106831,01/06/2021,03/06/2021,First Class,Fred Harton,Consumer,United States,Dublin,Ohio,43017,East,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,158.376,4,0.4,-34.3148,FH-14350
Returning,18,1,2021,2019,4839,CA-2021-106831,01/06/2021,03/06/2021,First Class,Fred Harton,Consumer,United States,Dublin,Ohio,43017,East,OFF-PA-10000682,Office Supplies,Paper,Xerox 1924,27.744,6,0.2,10.0572,FH-14350
Returning,18,1,2021,2019,4838,CA-2021-106831,01/06/2021,03/06/2021,First Class,Fred Harton,Consumer,United States,Dublin,Ohio,43017,East,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3.798,2,0.7,-2.6586,FH-14350
Returning,18,1,2021,2019,2732,CA-2021-104801,13/02/2021,19/02/2021,Standard Class,Fred Harton,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,1,0,21.506,FH-14350
Returning,18,1,2021,2019,2731,CA-2021-104801,13/02/2021,19/02/2021,Standard Class,Fred Harton,Consumer,United States,Seattle,Washington,98105,West,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,799.96,4,0,343.9828,FH-14350
Returning,18,1,2021,2019,2730,CA-2021-104801,13/02/2021,19/02/2021,Standard Class,Fred Harton,Consumer,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0,1.7901,FH-14350
Consistent,-34,1,2020,2019,5883,CA-2020-133935,18/09/2020,22/09/2020,Standard Class,Jane Waco,Corporate,United States,San Diego,California,92105,West,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",885.528,9,0.2,-99.621900000,JW-15220
Consistent,-34,1,2020,2019,5882,CA-2020-133935,18/09/2020,22/09/2020,Standard Class,Jane Waco,Corporate,United States,San Diego,California,92105,West,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,368.91,9,0,180.7659,JW-15220
Consistent,-34,1,2020,2019,5881,CA-2020-133935,18/09/2020,22/09/2020,Standard Class,Jane Waco,Corporate,United States,San Diego,California,92105,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.568,2,0.2,50.098,JW-15220
Consistent,32,1,2021,2018,7293,CA-2021-109183,04/12/2021,09/12/2021,Standard Class,Lena Radford,Consumer,United States,Nashville,Tennessee,37211,South,TEC-MA-10001856,Technology,Machines,Okidata C610n Printer,649,2,0.5,-272.58,LR-16915
Consistent,-158,1,2019,2018,6137,CA-2019-105613,18/10/2019,22/10/2019,Standard Class,Kristina Nunn,Home Office,United States,Mcallen,Texas,78501,Central,OFF-AP-10000026,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,73.164,6,0.8,-186.5682,KN-16705
Consistent,-158,1,2019,2018,6136,CA-2019-105613,18/10/2019,22/10/2019,Standard Class,Kristina Nunn,Home Office,United States,Mcallen,Texas,78501,Central,TEC-AC-10000521,Technology,Accessories,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",27.696,3,0.2,3.462,KN-16705
Consistent,32,1,2021,2018,4510,CA-2021-167003,23/05/2021,29/05/2021,Standard Class,Vivek Sundaresam,Consumer,United States,Los Angeles,California,90036,West,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.288,3,0.2,-6.423300000,VS-21820
Consistent,-158,1,2019,2018,4859,CA-2019-137526,13/01/2019,17/01/2019,Standard Class,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",464.85,9,0,92.97,PB-19150
Consistent,-158,1,2019,2018,4858,CA-2019-137526,13/01/2019,17/01/2019,Standard Class,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0,38.024,PB-19150
Consistent,-158,1,2019,2018,4857,CA-2019-137526,13/01/2019,17/01/2019,Standard Class,Philip Brown,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,70.008,3,0.2,24.5028,PB-19150
Consistent,-158,1,2019,2018,1024,CA-2019-167269,16/06/2019,20/06/2019,Standard Class,Philip Brown,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-EN-10003072,Office Supplies,Envelopes,Peel & Seel Envelopes,6.208,2,0.2,2.1728,PB-19150
Consistent,48,1,2020,2018,7474,CA-2020-109652,10/04/2020,15/04/2020,Standard Class,Quincy Jones,Corporate,United States,Chicago,Illinois,60653,Central,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",13.568,4,0.2,3.2224,QJ-19255
Consistent,48,1,2020,2018,3697,CA-2020-142097,15/10/2020,20/10/2020,Standard Class,Quincy Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,43.26,3,0,14.2758,QJ-19255
Consistent,48,1,2020,2018,3696,CA-2020-142097,15/10/2020,20/10/2020,Standard Class,Quincy Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,66.54,6,0,32.6046,QJ-19255
Consistent,48,1,2020,2018,3695,CA-2020-142097,15/10/2020,20/10/2020,Standard Class,Quincy Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,232.96,7,0,116.48,QJ-19255
Consistent,48,1,2020,2018,1299,CA-2020-134425,08/12/2020,12/12/2020,Second Class,Quincy Jones,Corporate,United States,Saint Paul,Minnesota,55106,Central,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,114.95,5,0,2.299000000,QJ-19255
Consistent,-158,1,2019,2018,2810,CA-2019-148635,25/07/2019,27/07/2019,Second Class,Michelle Huthwaite,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,561.568,2,0.2,28.0784,MH-18025
New,,1,2018,2018,7170,CA-2018-117464,22/07/2018,24/07/2018,Second Class,Naresj Patel,Consumer,United States,San Francisco,California,94122,West,FUR-TA-10004767,Furniture,Tables,Safco Drafting Table,170.352,3,0.2,19.1646,NP-18325
New,,1,2018,2018,7169,CA-2018-117464,22/07/2018,24/07/2018,Second Class,Naresj Patel,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,236.5,10,0,68.585,NP-18325
New,,1,2018,2018,7168,CA-2018-117464,22/07/2018,24/07/2018,Second Class,Naresj Patel,Consumer,United States,San Francisco,California,94122,West,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,717.72,3,0.2,71.772,NP-18325
New,,1,2018,2018,7167,CA-2018-117464,22/07/2018,24/07/2018,Second Class,Naresj Patel,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10003190,Office Supplies,Art,Newell 32,11.52,4,0,3.2256,NP-18325
New,,1,2018,2018,3217,CA-2018-114433,13/05/2018,17/05/2018,Standard Class,Naresj Patel,Consumer,United States,Oakland,California,94601,West,TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,149.97,3,0,52.4895,NP-18325
New,,1,2018,2018,692,US-2018-117135,21/06/2018,23/06/2018,Second Class,Naresj Patel,Consumer,United States,Waynesboro,Virginia,22980,South,OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,36.84,3,0,10.3152,NP-18325
New,,1,2018,2018,691,US-2018-117135,21/06/2018,23/06/2018,Second Class,Naresj Patel,Consumer,United States,Waynesboro,Virginia,22980,South,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,284.82,1,0,74.0532,NP-18325
New,,1,2018,2018,690,US-2018-117135,21/06/2018,23/06/2018,Second Class,Naresj Patel,Consumer,United States,Waynesboro,Virginia,22980,South,FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,104.01,1,0,14.5614,NP-18325
Consistent,18,1,2021,2019,6123,CA-2021-152660,04/12/2021,09/12/2021,Standard Class,Christy Brittain,Consumer,United States,Chicago,Illinois,60610,Central,OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,61.568,2,0.2,4.6176,CB-12415
Consistent,18,1,2021,2019,2139,US-2021-157896,16/11/2021,16/11/2021,Same Day,Christy Brittain,Consumer,United States,New York City,New York,10009,East,OFF-PA-10004092,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,146.82,3,0,73.41,CB-12415
