Party,Adults in Party,Children in Party,Double/Twin,Requires Accessible Room?,Additional Requests,Request Satisfaction %,Room,Adults,Children,Features
Segeswoeth,4,0,Double,N,"High Floor, NOT Near to lift",100.0,603,4,0.0,"High Floor, Bath, Double"
Segeswoeth,4,0,Double,N,"High Floor, NOT Near to lift",100.0,604,4,0.0,"High Floor, Bath, Double"
Fallens,1,0,Twin,N,,100.0,301,2,0.0,"Near to lift, Twin"
Fallens,1,0,Twin,N,,100.0,302,2,1.0,"Bath, Twin"
Fallens,1,0,Twin,N,,100.0,303,2,0.0,"Bath, Twin"
Fallens,1,0,Twin,N,,100.0,304,2,1.0,"Bath, Twin"
Fallens,1,0,Twin,N,,100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Fallens,1,0,Twin,N,,100.0,402,2,1.0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,N,,100.0,403,2,1.0,"High Floor, Twin"
Fallens,1,0,Twin,N,,100.0,404,2,1.0,"High Floor, Twin"
Fallens,1,0,Twin,N,,100.0,405,2,0.0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,N,,100.0,406,2,0.0,"High Floor, Twin"
Fallens,1,0,Twin,N,,100.0,407,2,0.0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,N,,100.0,408,2,0.0,"High Floor, Twin"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100.0,602,4,0.0,"High Floor, Bath, Double"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100.0,603,4,0.0,"High Floor, Bath, Double"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100.0,604,4,0.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,202,2,0.0,"Bath,Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,204,2,0.0,"Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,206,2,1.0,"Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,207,2,0.0,"Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,307,2,1.0,"Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,308,2,0.0,"Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,502,2,0.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,503,2,1.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,504,2,1.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,505,2,0.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,506,2,1.0,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,N,Bath,100.0,507,2,1.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,502,2,0.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,503,2,1.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,504,2,1.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,505,2,0.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,506,2,1.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,507,2,1.0,"High Floor, Bath, Double"
Chese,2,0,Double,N,"High Floor, NOT Near to lift",100.0,508,2,0.0,"High Floor, Double"
Marusik,1,0,Twin,N,"Bath, High Floor",100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Marusik,1,0,Twin,N,"Bath, High Floor",100.0,402,2,1.0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,N,"Bath, High Floor",100.0,405,2,0.0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,N,"Bath, High Floor",100.0,407,2,0.0,"High Floor, Bath, Twin"
Gendrich,3,0,Double,N,"Bath, High Floor",100.0,601,4,0.0,"High Floor, Bath, Near to lift, Double"
Gendrich,3,0,Double,N,"Bath, High Floor",100.0,602,4,0.0,"High Floor, Bath, Double"
Gendrich,3,0,Double,N,"Bath, High Floor",100.0,603,4,0.0,"High Floor, Bath, Double"
Gendrich,3,0,Double,N,"Bath, High Floor",100.0,604,4,0.0,"High Floor, Bath, Double"
Fearby,2,0,Double,Y,,100.0,101,2,0.0,"Accessible, Near to lift, Double"
Fearby,2,0,Double,Y,,100.0,102,2,0.0,"Accessible, Double"
Fearby,2,0,Double,Y,,100.0,103,2,0.0,"Accessible, Double"
Fearby,2,0,Double,Y,,100.0,104,2,0.0,"Accessible, Double"
Gubbins,2,0,Twin,N,"Bath, High Floor",100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Gubbins,2,0,Twin,N,"Bath, High Floor",100.0,402,2,1.0,"High Floor, Bath, Twin"
Gubbins,2,0,Twin,N,"Bath, High Floor",100.0,405,2,0.0,"High Floor, Bath, Twin"
Gubbins,2,0,Twin,N,"Bath, High Floor",100.0,407,2,0.0,"High Floor, Bath, Twin"
O'Hare,1,1,Double,N,,100.0,203,2,1.0,Double
O'Hare,1,1,Double,N,,100.0,206,2,1.0,"Bath, Double"
O'Hare,1,1,Double,N,,100.0,208,2,1.0,Double
O'Hare,1,1,Double,N,,100.0,306,2,1.0,Double
O'Hare,1,1,Double,N,,100.0,307,2,1.0,"Bath, Double"
O'Hare,1,1,Double,N,,100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
O'Hare,1,1,Double,N,,100.0,503,2,1.0,"High Floor, Bath, Double"
O'Hare,1,1,Double,N,,100.0,504,2,1.0,"High Floor, Bath, Double"
O'Hare,1,1,Double,N,,100.0,506,2,1.0,"High Floor, Bath, Double"
O'Hare,1,1,Double,N,,100.0,507,2,1.0,"High Floor, Bath, Double"
Henriquet,2,1,Double,N,"Bath, High Floor",100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Henriquet,2,1,Double,N,"Bath, High Floor",100.0,503,2,1.0,"High Floor, Bath, Double"
Henriquet,2,1,Double,N,"Bath, High Floor",100.0,504,2,1.0,"High Floor, Bath, Double"
Henriquet,2,1,Double,N,"Bath, High Floor",100.0,506,2,1.0,"High Floor, Bath, Double"
Henriquet,2,1,Double,N,"Bath, High Floor",100.0,507,2,1.0,"High Floor, Bath, Double"
Lansdale,1,0,Twin,N,High Floor,100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,402,2,1.0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,403,2,1.0,"High Floor, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,404,2,1.0,"High Floor, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,405,2,0.0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,406,2,0.0,"High Floor, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,407,2,0.0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,N,High Floor,100.0,408,2,0.0,"High Floor, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,402,2,1.0,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,403,2,1.0,"High Floor, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,404,2,1.0,"High Floor, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,405,2,0.0,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,406,2,0.0,"High Floor, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,407,2,0.0,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,408,2,0.0,"High Floor, Twin"
Cullum,2,0,Twin,N,,100.0,301,2,0.0,"Near to lift, Twin"
Cullum,2,0,Twin,N,,100.0,302,2,1.0,"Bath, Twin"
Cullum,2,0,Twin,N,,100.0,303,2,0.0,"Bath, Twin"
Cullum,2,0,Twin,N,,100.0,304,2,1.0,"Bath, Twin"
Cullum,2,0,Twin,N,,100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Cullum,2,0,Twin,N,,100.0,402,2,1.0,"High Floor, Bath, Twin"
Cullum,2,0,Twin,N,,100.0,403,2,1.0,"High Floor, Twin"
Cullum,2,0,Twin,N,,100.0,404,2,1.0,"High Floor, Twin"
Cullum,2,0,Twin,N,,100.0,405,2,0.0,"High Floor, Bath, Twin"
Cullum,2,0,Twin,N,,100.0,406,2,0.0,"High Floor, Twin"
Cullum,2,0,Twin,N,,100.0,407,2,0.0,"High Floor, Bath, Twin"
Cullum,2,0,Twin,N,,100.0,408,2,0.0,"High Floor, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,402,2,1.0,"High Floor, Bath, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,403,2,1.0,"High Floor, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,404,2,1.0,"High Floor, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,405,2,0.0,"High Floor, Bath, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,406,2,0.0,"High Floor, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,407,2,0.0,"High Floor, Bath, Twin"
Londer,1,0,Twin,N,"High Floor, NOT Near to lift",100.0,408,2,0.0,"High Floor, Twin"
Sumers,2,0,Double,N,,100.0,101,2,0.0,"Accessible, Near to lift, Double"
Sumers,2,0,Double,N,,100.0,102,2,0.0,"Accessible, Double"
Sumers,2,0,Double,N,,100.0,103,2,0.0,"Accessible, Double"
Sumers,2,0,Double,N,,100.0,104,2,0.0,"Accessible, Double"
Sumers,2,0,Double,N,,100.0,201,2,0.0,"Near to lift, Double"
Sumers,2,0,Double,N,,100.0,202,2,0.0,"Bath,Double"
Sumers,2,0,Double,N,,100.0,203,2,1.0,Double
Sumers,2,0,Double,N,,100.0,204,2,0.0,"Bath, Double"
Sumers,2,0,Double,N,,100.0,205,2,0.0,Double
Sumers,2,0,Double,N,,100.0,206,2,1.0,"Bath, Double"
Sumers,2,0,Double,N,,100.0,207,2,0.0,"Bath, Double"
Sumers,2,0,Double,N,,100.0,208,2,1.0,Double
Sumers,2,0,Double,N,,100.0,305,2,0.0,Double
Sumers,2,0,Double,N,,100.0,306,2,1.0,Double
Sumers,2,0,Double,N,,100.0,307,2,1.0,"Bath, Double"
Sumers,2,0,Double,N,,100.0,308,2,0.0,"Bath, Double"
Sumers,2,0,Double,N,,100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Sumers,2,0,Double,N,,100.0,502,2,0.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,503,2,1.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,504,2,1.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,505,2,0.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,506,2,1.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,507,2,1.0,"High Floor, Bath, Double"
Sumers,2,0,Double,N,,100.0,508,2,0.0,"High Floor, Double"
Krishtopaittis,1,0,Double,N,,100.0,101,2,0.0,"Accessible, Near to lift, Double"
Krishtopaittis,1,0,Double,N,,100.0,102,2,0.0,"Accessible, Double"
Krishtopaittis,1,0,Double,N,,100.0,103,2,0.0,"Accessible, Double"
Krishtopaittis,1,0,Double,N,,100.0,104,2,0.0,"Accessible, Double"
Krishtopaittis,1,0,Double,N,,100.0,201,2,0.0,"Near to lift, Double"
Krishtopaittis,1,0,Double,N,,100.0,202,2,0.0,"Bath,Double"
Krishtopaittis,1,0,Double,N,,100.0,203,2,1.0,Double
Krishtopaittis,1,0,Double,N,,100.0,204,2,0.0,"Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,205,2,0.0,Double
Krishtopaittis,1,0,Double,N,,100.0,206,2,1.0,"Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,207,2,0.0,"Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,208,2,1.0,Double
Krishtopaittis,1,0,Double,N,,100.0,305,2,0.0,Double
Krishtopaittis,1,0,Double,N,,100.0,306,2,1.0,Double
Krishtopaittis,1,0,Double,N,,100.0,307,2,1.0,"Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,308,2,0.0,"Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Krishtopaittis,1,0,Double,N,,100.0,502,2,0.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,503,2,1.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,504,2,1.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,505,2,0.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,506,2,1.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,507,2,1.0,"High Floor, Bath, Double"
Krishtopaittis,1,0,Double,N,,100.0,508,2,0.0,"High Floor, Double"
Abramowitz,2,1,Double,N,"Bath, High Floor",100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Abramowitz,2,1,Double,N,"Bath, High Floor",100.0,503,2,1.0,"High Floor, Bath, Double"
Abramowitz,2,1,Double,N,"Bath, High Floor",100.0,504,2,1.0,"High Floor, Bath, Double"
Abramowitz,2,1,Double,N,"Bath, High Floor",100.0,506,2,1.0,"High Floor, Bath, Double"
Abramowitz,2,1,Double,N,"Bath, High Floor",100.0,507,2,1.0,"High Floor, Bath, Double"
Norcutt,2,0,Double,Y,NOT Near to lift,100.0,102,2,0.0,"Accessible, Double"
Norcutt,2,0,Double,Y,NOT Near to lift,100.0,103,2,0.0,"Accessible, Double"
Norcutt,2,0,Double,Y,NOT Near to lift,100.0,104,2,0.0,"Accessible, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,206,2,1.0,"Bath, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,307,2,1.0,"Bath, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,503,2,1.0,"High Floor, Bath, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,504,2,1.0,"High Floor, Bath, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,506,2,1.0,"High Floor, Bath, Double"
Josefer,1,1,Double,N,"Bath, NOT Near to lift",100.0,507,2,1.0,"High Floor, Bath, Double"
Winmill,1,1,Double,N,"High Floor, NOT Near to lift",100.0,503,2,1.0,"High Floor, Bath, Double"
Winmill,1,1,Double,N,"High Floor, NOT Near to lift",100.0,504,2,1.0,"High Floor, Bath, Double"
Winmill,1,1,Double,N,"High Floor, NOT Near to lift",100.0,506,2,1.0,"High Floor, Bath, Double"
Winmill,1,1,Double,N,"High Floor, NOT Near to lift",100.0,507,2,1.0,"High Floor, Bath, Double"
Iczokvitz,2,0,Double,Y,Bath,0.0,101,2,0.0,"Accessible, Near to lift, Double"
Iczokvitz,2,0,Double,Y,Bath,0.0,102,2,0.0,"Accessible, Double"
Iczokvitz,2,0,Double,Y,Bath,0.0,103,2,0.0,"Accessible, Double"
Iczokvitz,2,0,Double,Y,Bath,0.0,104,2,0.0,"Accessible, Double"
Guisler,1,0,Twin,N,"Bath, High Floor, NOT Near to lift",100.0,402,2,1.0,"High Floor, Bath, Twin"
Guisler,1,0,Twin,N,"Bath, High Floor, NOT Near to lift",100.0,405,2,0.0,"High Floor, Bath, Twin"
Guisler,1,0,Twin,N,"Bath, High Floor, NOT Near to lift",100.0,407,2,0.0,"High Floor, Bath, Twin"
Rozzier,2,0,Double,N,Bath,100.0,202,2,0.0,"Bath,Double"
Rozzier,2,0,Double,N,Bath,100.0,204,2,0.0,"Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,206,2,1.0,"Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,207,2,0.0,"Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,307,2,1.0,"Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,308,2,0.0,"Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Rozzier,2,0,Double,N,Bath,100.0,502,2,0.0,"High Floor, Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,503,2,1.0,"High Floor, Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,504,2,1.0,"High Floor, Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,505,2,0.0,"High Floor, Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,506,2,1.0,"High Floor, Bath, Double"
Rozzier,2,0,Double,N,Bath,100.0,507,2,1.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,502,2,0.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,503,2,1.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,504,2,1.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,505,2,0.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,506,2,1.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,507,2,1.0,"High Floor, Bath, Double"
Jirousek,2,0,Double,N,"High Floor, NOT Near to lift",100.0,508,2,0.0,"High Floor, Double"
