id,Agent Name,Leader 1,Leader Name,Month Start Date,Location,Calls Answered,Calls Not Answered,Not Answered Rate,Met Not Answered Rate,Not Answered Percent < 5,Calls Offered,Total Duration,Agent Avg Duration,Transfers,Sentiment,Sentiment Score >= 0,Met Sentiment Goal
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/9/2021,Margaree,568,27,0.045,TRUE,5,595,1785,3,22,-87,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/8/2021,Margaree,654,60,0.084,FALSE,5,714,13566,21,12,28,0,TRUE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/7/2021,Margaree,391,49,0.111,FALSE,5,440,9240,24,8,-85,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/6/2021,Margaree,681,67,0.09,FALSE,5,748,4488,7,2,82,0,TRUE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/5/2021,Margaree,560,63,0.101,FALSE,5,623,1869,3,12,-39,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/4/2021,Margaree,466,41,0.081,FALSE,5,507,1521,3,,67,0,TRUE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/3/2021,Margaree,552,43,0.072,FALSE,5,595,5355,10,,-60,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/2/2021,Margaree,714,46,0.061,FALSE,5,760,7600,11,,-47,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/1/2021,Margaree,575,4,0.007,TRUE,5,579,3474,6,,-70,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/12/2021,Margaree,376,31,0.076,FALSE,5,407,4884,13,2,30,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/11/2021,Margaree,915,64,0.065,FALSE,5,979,8811,10,21,-63,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/10/2021,Margaree,927,53,0.054,FALSE,5,980,5880,6,6,-39,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/9/2021,Margaree,628,7,0.011,TRUE,5,635,5080,8,5,24,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/8/2021,Margaree,702,3,0.004,TRUE,5,705,11985,17,19,-52,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/7/2021,Margaree,356,67,0.158,FALSE,5,423,3807,11,3,-50,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/6/2021,Margaree,892,23,0.025,TRUE,5,915,6405,7,21,-44,0,FALSE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/5/2021,Margaree,813,27,0.032,TRUE,5,840,17640,22,11,99,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/4/2021,Margaree,653,74,0.102,FALSE,5,727,14540,22,,34,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/3/2021,Margaree,838,42,0.048,TRUE,5,880,2640,3,,19,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/2/2021,Margaree,879,6,0.007,TRUE,5,885,13275,15,,69,0,TRUE
11,"Cranke, Zabrina",1,"Howroyd, Kylie",1/1/2021,Margaree,812,12,0.015,TRUE,5,824,13184,16,,17,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/12/2021,Margaree,786,1,0.001,TRUE,5,787,2361,3,15,27,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/11/2021,Margaree,645,76,0.105,FALSE,5,721,12257,19,16,-87,0,FALSE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/10/2021,Margaree,690,35,0.048,TRUE,5,725,13775,20,8,23,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/9/2021,Margaree,592,69,0.104,FALSE,5,661,12559,21,18,97,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/8/2021,Margaree,524,54,0.093,FALSE,5,578,6936,13,18,-34,0,FALSE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/7/2021,Margaree,688,24,0.034,TRUE,5,712,7120,10,2,-76,0,FALSE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/6/2021,Margaree,773,71,0.084,FALSE,5,844,14348,19,11,-49,0,FALSE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/5/2021,Margaree,702,87,0.11,FALSE,5,789,10257,15,13,97,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/4/2021,Margaree,957,1,0.001,TRUE,5,958,7664,8,,-20,0,FALSE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/3/2021,Margaree,734,33,0.043,TRUE,5,767,10738,15,,52,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/2/2021,Margaree,765,54,0.066,FALSE,5,819,9828,13,,50,0,TRUE
12,"Matysiak, Berny",1,"Howroyd, Kylie",1/1/2021,Margaree,422,7,0.016,TRUE,5,429,4719,11,,40,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/12/2021,Margaree,645,56,0.08,FALSE,5,701,3505,5,17,-85,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/11/2021,Margaree,630,37,0.055,FALSE,5,667,10672,17,16,32,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/10/2021,Margaree,360,72,0.167,FALSE,5,432,7776,22,1,-15,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/9/2021,Margaree,535,17,0.031,TRUE,5,552,5520,10,5,72,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/8/2021,Margaree,810,15,0.018,TRUE,5,825,9900,12,18,-22,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/7/2021,Margaree,639,79,0.11,FALSE,5,718,6462,10,21,1,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/6/2021,Margaree,823,32,0.037,TRUE,5,855,7695,9,26,25,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/5/2021,Margaree,780,24,0.03,TRUE,5,804,9648,12,0,-52,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/4/2021,Margaree,509,1,0.002,TRUE,5,510,7650,15,,-98,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/3/2021,Margaree,701,1,0.001,TRUE,5,702,5616,8,,15,0,TRUE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/2/2021,Margaree,697,12,0.017,TRUE,5,709,3545,5,,-100,0,FALSE
21,"Gaule, Petronille",2,"MacAne, Madelyn",1/1/2021,Margaree,763,5,0.007,TRUE,5,768,11520,15,,-62,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/12/2021,Margaree,842,70,0.077,FALSE,5,912,18240,22,13,92,0,TRUE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/11/2021,Margaree,488,42,0.079,FALSE,5,530,6360,13,1,-15,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/10/2021,Margaree,576,66,0.103,FALSE,5,642,3210,6,18,-72,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/9/2021,Margaree,604,1,0.002,TRUE,5,605,9680,16,4,51,0,TRUE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/8/2021,Margaree,784,2,0.003,TRUE,5,786,12576,16,4,-31,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/7/2021,Margaree,743,74,0.091,FALSE,5,817,11438,15,3,-50,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/6/2021,Margaree,488,52,0.096,FALSE,5,540,11340,23,26,-30,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/5/2021,Margaree,487,21,0.041,TRUE,5,508,2540,5,21,4,0,TRUE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/4/2021,Margaree,390,25,0.06,FALSE,5,415,4980,13,,76,0,TRUE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/3/2021,Margaree,414,2,0.005,TRUE,5,416,5408,13,,10,0,TRUE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/2/2021,Margaree,650,29,0.043,TRUE,5,679,11543,18,,-39,0,FALSE
22,"Wyrall, Grace",1,"Howroyd, Kylie",1/1/2021,Margaree,529,6,0.011,TRUE,5,535,9095,17,,72,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/12/2021,Margaree,712,63,0.081,FALSE,5,775,10075,14,17,-76,0,FALSE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/11/2021,Margaree,765,65,0.078,FALSE,5,830,12450,16,3,90,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/10/2021,Margaree,436,31,0.066,FALSE,5,467,2802,6,9,14,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/9/2021,Margaree,710,45,0.06,FALSE,5,755,15100,21,16,57,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/8/2021,Margaree,789,73,0.085,FALSE,5,862,2586,3,9,18,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/7/2021,Margaree,669,37,0.052,FALSE,5,706,10590,16,2,16,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/6/2021,Margaree,590,65,0.099,FALSE,5,655,7860,13,26,-27,0,FALSE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/5/2021,Margaree,898,19,0.021,TRUE,5,917,11004,12,23,-72,0,FALSE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/4/2021,Margaree,813,81,0.091,FALSE,5,894,8046,10,,4,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/3/2021,Margaree,885,0,0,TRUE,5,885,14160,16,,-39,0,FALSE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/2/2021,Margaree,469,39,0.077,FALSE,5,508,6604,14,,36,0,TRUE
25,"Yusupov, Chane",1,"Howroyd, Kylie",1/1/2021,Margaree,633,0,0,TRUE,5,633,6330,10,,-4,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/12/2021,Margaree,410,16,0.038,TRUE,5,426,4686,11,24,53,0,TRUE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/11/2021,Margaree,709,5,0.007,TRUE,5,714,4284,6,15,-60,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/10/2021,Margaree,806,13,0.016,TRUE,5,819,9009,11,1,-72,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/9/2021,Margaree,778,87,0.101,FALSE,5,865,13840,18,18,-87,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/8/2021,Margaree,562,21,0.036,TRUE,5,583,8162,15,15,-52,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/7/2021,Margaree,905,81,0.082,FALSE,5,986,11832,13,0,-86,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/6/2021,Margaree,710,25,0.034,TRUE,5,735,4410,6,3,52,0,TRUE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/5/2021,Margaree,830,10,0.012,TRUE,5,840,15120,18,25,-19,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/4/2021,Margaree,806,60,0.069,FALSE,5,866,10392,13,,78,0,TRUE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/3/2021,Margaree,995,6,0.006,TRUE,5,1001,3003,3,,-64,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/2/2021,Margaree,664,49,0.069,FALSE,5,713,12121,18,,-39,0,FALSE
29,"Ludgate, Ric",2,"MacAne, Madelyn",1/1/2021,Margaree,466,20,0.041,TRUE,5,486,4860,10,,57,0,TRUE
31,"York, Elyse",3,"Befroy, Yorke",1/12/2021,Margaree,730,15,0.02,TRUE,5,745,14155,19,21,79,0,TRUE
31,"York, Elyse",3,"Befroy, Yorke",1/11/2021,Margaree,550,36,0.061,FALSE,5,586,4102,7,5,-97,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/10/2021,Margaree,441,51,0.104,FALSE,5,492,8364,19,19,-84,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/9/2021,Margaree,545,56,0.093,FALSE,5,601,7212,13,24,-6,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/8/2021,Margaree,709,13,0.018,TRUE,5,722,14440,20,17,57,0,TRUE
31,"York, Elyse",3,"Befroy, Yorke",1/7/2021,Margaree,626,61,0.089,FALSE,5,687,9618,15,7,61,0,TRUE
31,"York, Elyse",3,"Befroy, Yorke",1/6/2021,Margaree,852,46,0.051,FALSE,5,898,8980,11,16,-81,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/5/2021,Margaree,450,68,0.131,FALSE,5,518,3108,7,1,-80,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/4/2021,Margaree,416,39,0.086,FALSE,5,455,9555,23,,-73,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/3/2021,Margaree,375,84,0.183,FALSE,5,459,5967,16,,-71,0,FALSE
31,"York, Elyse",3,"Befroy, Yorke",1/2/2021,Margaree,492,29,0.056,FALSE,5,521,2605,5,,60,0,TRUE
31,"York, Elyse",3,"Befroy, Yorke",1/1/2021,Margaree,693,25,0.035,TRUE,5,718,7180,10,,41,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/12/2021,Margaree,760,13,0.017,TRUE,5,773,2319,3,19,48,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/11/2021,Margaree,874,12,0.014,TRUE,5,886,3544,4,27,90,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/10/2021,Margaree,488,85,0.148,FALSE,5,573,4584,9,22,-93,0,FALSE
32,"Elstone, Clo",3,"Befroy, Yorke",1/9/2021,Margaree,423,0,0,TRUE,5,423,6345,15,2,20,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/8/2021,Margaree,502,16,0.031,TRUE,5,518,6216,12,4,32,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/7/2021,Margaree,513,1,0.002,TRUE,5,514,10794,21,21,96,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/6/2021,Margaree,408,14,0.033,TRUE,5,422,6330,16,15,62,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/5/2021,Margaree,646,19,0.029,TRUE,5,665,13300,21,25,-9,0,FALSE
32,"Elstone, Clo",3,"Befroy, Yorke",1/4/2021,Margaree,528,85,0.139,FALSE,5,613,7356,14,,23,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/3/2021,Margaree,676,29,0.041,TRUE,5,705,11280,17,,22,0,TRUE
32,"Elstone, Clo",3,"Befroy, Yorke",1/2/2021,Margaree,750,7,0.009,TRUE,5,757,11355,15,,-24,0,FALSE
32,"Elstone, Clo",3,"Befroy, Yorke",1/1/2021,Margaree,642,18,0.027,TRUE,5,660,7260,11,,-70,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/12/2021,Margaree,694,84,0.108,FALSE,5,778,6224,9,0,91,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/11/2021,Margaree,358,59,0.141,FALSE,5,417,5421,15,24,89,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/10/2021,Margaree,757,31,0.039,TRUE,5,788,11820,16,0,93,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/9/2021,Margaree,482,14,0.028,TRUE,5,496,9920,21,18,-53,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/8/2021,Margaree,718,82,0.103,FALSE,5,800,16000,22,13,41,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/7/2021,Margaree,648,71,0.099,FALSE,5,719,14380,22,16,-98,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/6/2021,Margaree,839,48,0.054,FALSE,5,887,15966,19,24,74,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/5/2021,Margaree,807,25,0.03,TRUE,5,832,6656,8,16,83,0,TRUE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/4/2021,Margaree,700,73,0.094,FALSE,5,773,6957,10,,-87,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/3/2021,Margaree,681,11,0.016,TRUE,5,692,2768,4,,-90,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/2/2021,Margaree,460,10,0.021,TRUE,5,470,5640,12,,-16,0,FALSE
35,"McCarty, Ninette",3,"Befroy, Yorke",1/1/2021,Margaree,832,9,0.011,TRUE,5,841,5046,6,,99,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/12/2021,Margaree,454,60,0.117,FALSE,5,514,5654,12,17,100,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/11/2021,Margaree,832,37,0.043,TRUE,5,869,9559,11,5,-41,0,FALSE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/10/2021,Margaree,616,38,0.058,FALSE,5,654,2616,4,27,75,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/9/2021,Margaree,919,65,0.066,FALSE,5,984,6888,7,18,31,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/8/2021,Margaree,740,46,0.059,FALSE,5,786,3144,4,10,-5,0,FALSE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/7/2021,Margaree,732,1,0.001,TRUE,5,733,2932,4,22,64,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/6/2021,Margaree,789,33,0.04,TRUE,5,822,14796,19,15,8,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/5/2021,Margaree,420,65,0.134,FALSE,5,485,8730,21,23,-22,0,FALSE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/4/2021,Margaree,520,41,0.073,FALSE,5,561,4488,9,,-91,0,FALSE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/3/2021,Margaree,650,46,0.066,FALSE,5,696,6960,11,,-41,0,FALSE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/2/2021,Margaree,552,47,0.078,FALSE,5,599,8386,15,,63,0,TRUE
36,"Janusik, Gregory",3,"Befroy, Yorke",1/1/2021,Margaree,588,3,0.005,TRUE,5,591,5319,9,,-30,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/12/2021,Margaree,949,17,0.018,TRUE,5,966,13524,14,24,-18,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/11/2021,Margaree,680,84,0.11,FALSE,5,764,8404,12,5,-25,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/10/2021,Margaree,532,83,0.135,FALSE,5,615,3690,7,20,90,0,TRUE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/9/2021,Margaree,702,36,0.049,TRUE,5,738,5166,7,14,92,0,TRUE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/8/2021,Margaree,445,69,0.134,FALSE,5,514,2570,6,23,-4,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/7/2021,Margaree,397,27,0.064,FALSE,5,424,8904,22,26,-30,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/6/2021,Margaree,658,12,0.018,TRUE,5,670,11390,17,6,-23,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/5/2021,Margaree,475,20,0.04,TRUE,5,495,3960,8,22,65,0,TRUE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/4/2021,Margaree,555,43,0.072,FALSE,5,598,4784,9,,54,0,TRUE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/3/2021,Margaree,402,44,0.099,FALSE,5,446,5798,14,,-46,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/2/2021,Margaree,806,57,0.066,FALSE,5,863,5178,6,,-90,0,FALSE
42,"Mattusov, Petra",2,"MacAne, Madelyn",1/1/2021,Margaree,438,5,0.011,TRUE,5,443,4873,11,,-50,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/12/2021,Margaree,602,73,0.108,FALSE,5,675,6750,11,18,30,0,TRUE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/11/2021,Margaree,851,40,0.045,TRUE,5,891,17820,21,22,-2,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/10/2021,Margaree,564,66,0.105,FALSE,5,630,6930,12,16,-70,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/9/2021,Margaree,814,0,0,TRUE,5,814,13838,17,25,-49,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/8/2021,Margaree,870,83,0.087,FALSE,5,953,11436,13,14,16,0,TRUE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/7/2021,Margaree,668,21,0.03,TRUE,5,689,11713,18,16,15,0,TRUE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/6/2021,Margaree,866,40,0.044,TRUE,5,906,19026,22,18,-97,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/5/2021,Margaree,978,20,0.02,TRUE,5,998,6986,7,10,87,0,TRUE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/4/2021,Margaree,499,15,0.029,TRUE,5,514,3598,7,,80,0,TRUE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/3/2021,Margaree,398,63,0.137,FALSE,5,461,8759,22,,-13,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/2/2021,Margaree,477,20,0.04,TRUE,5,497,5467,11,,-64,0,FALSE
43,"Baldrick, Tressa",2,"MacAne, Madelyn",1/1/2021,Margaree,397,89,0.183,FALSE,5,486,5832,15,,94,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/12/2021,Margaree,554,83,0.13,FALSE,5,637,13377,24,0,51,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/11/2021,Margaree,596,38,0.06,FALSE,5,634,10778,18,8,-25,0,FALSE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/10/2021,Margaree,500,83,0.142,FALSE,5,583,8745,17,18,-70,0,FALSE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/9/2021,Margaree,431,14,0.031,TRUE,5,445,7120,17,2,48,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/8/2021,Margaree,789,54,0.064,FALSE,5,843,16860,21,7,0,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/7/2021,Margaree,411,69,0.144,FALSE,5,480,1920,5,0,88,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/6/2021,Margaree,391,85,0.179,FALSE,5,476,2380,6,19,-67,0,FALSE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/5/2021,Margaree,648,29,0.043,TRUE,5,677,2708,4,15,54,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/4/2021,Margaree,927,62,0.063,FALSE,5,989,16813,18,,29,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/3/2021,Margaree,354,71,0.167,FALSE,5,425,8075,23,,10,0,TRUE
44,"Roch, Lilith",2,"MacAne, Madelyn",1/2/2021,Margaree,809,25,0.03,TRUE,5,834,9174,11,,-42,0,FALSE
