OrderID,Customer,Order Date,Return State,Category,Sub-Category,Product Name,Unit Price,Quantity
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Furniture,Tables,Laminate Occasional Tables,£464.29,8
Edinburgh-1984,Mrs Etezadi,13/01/2021,,Furniture,Tables,Laminate Occasional Tables,£464.29,9
York-1133,Mrs Latchford,21/01/2021,,Furniture,Tables,Desk,£125.33,9
London-1313,Mr Jacobs,27/01/2021,Return Processed,Furniture,Tables,Desk,£125.33,11
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Furniture,Tables,Desk,£125.33,6
Edinburgh-1095,Mr Hightower,20/01/2021,,Office Supplies,Appliances,Vaccuum,£605.39,7
Manchester-1922,Mr Armstrong,15/01/2021,,Office Supplies,Appliances,Vaccuum,£605.39,8
Manchester-1923,Mrs Swindell,15/01/2021,Return Processed,Office Supplies,Appliances,Vaccuum,£605.39,8
Birmingham-1140,Mrs Fein,30/01/2021,,Office Supplies,Appliances,Refrigerator,£897.65,5
Manchester-1178,Mr Davis,07/01/2021,,Office Supplies,Appliances,Refrigerator,£897.65,10
London-1138,Mr Französisch,30/01/2021,Return Processed,Office Supplies,Appliances,Microwave,£104.58,3
York-1194,Mr Peterman,14/01/2021,,Office Supplies,Appliances,Microwave,£104.58,3
London-2016,Mr Rosenberg,28/01/2021,,Office Supplies,Appliances,Microwave,£104.58,6
Newcastle-2096,Mrs McVee,07/01/2021,,Office Supplies,Appliances,Microwave,£104.58,6
London-2076,Mrs Brennan,27/01/2021,,Office Supplies,Art,Pens,£5.69,10
London-1232,Mrs Wener,28/01/2021,Return Processed,Office Supplies,Art,Post-its,£3.33,11
Manchester-1851,Mrs Roberts,12/01/2021,Return Processed,Office Supplies,Art,Post-its,£3.33,2
Birmingham-2002,Mr Wiediger,01/01/2021,,Office Supplies,Art,Post-its,£3.33,4
London-2076,Mrs Brennan,27/01/2021,,Office Supplies,Art,Post-its,£3.33,9
London-2097,Mrs Foster,07/01/2021,,Office Supplies,Art,Post-its,£3.33,8
York-1432,Mrs Wener,26/01/2021,Return Processed,Office Supplies,Art,Highlighters,£2.69,6
York-1139,Mr Bzostek,30/01/2021,Return Processed,Office Supplies,Envelopes,White Envelopes,£4.50,8
Manchester-1137,Mr Weien,30/01/2021,,Office Supplies,Envelopes,Coloured Envelopes,£5.50,10
Edinburgh-1702,Mr Gute,14/01/2021,,Office Supplies,Envelopes,Coloured Envelopes,£5.50,5
York-1778,Mr Zeldin,20/01/2021,,Office Supplies,Envelopes,Coloured Envelopes,£5.50,3
London-2076,Mrs Brennan,27/01/2021,,Office Supplies,Envelopes,Coloured Envelopes,£5.50,11
Birmingham-2095,Mrs Calhoun,07/01/2021,,Office Supplies,Envelopes,Coloured Envelopes,£5.50,3
Bristol-1223,Mrs Glotzbach,02/01/2021,,Office Supplies,Fasteners,Push Pins,£2.69,8
London-1704,Mr Badders,14/01/2021,,Office Supplies,Fasteners,Push Pins,£2.69,10
Manchester-1964,Mr Jackson,16/01/2021,Return Processed,Office Supplies,Fasteners,Push Pins,£2.69,11
London-2016,Mr Rosenberg,28/01/2021,,Office Supplies,Fasteners,Push Pins,£2.69,1
London-2097,Mrs Foster,07/01/2021,,Office Supplies,Fasteners,Push Pins,£2.69,8
Newcastle-1193,Mrs Nunn,14/01/2021,,Office Supplies,Fasteners,Rubber Bands,£4.87,10
Edinburgh-1221,Mr Norvell,02/01/2021,,Office Supplies,Fasteners,Rubber Bands,£4.87,6
London-1313,Mr Jacobs,27/01/2021,Return Processed,Office Supplies,Fasteners,Rubber Bands,£4.87,2
Bristol-1142,Mr Collins,30/01/2021,,Office Supplies,Labels,Colour-Coded Labels,£9.99,1
Birmingham-1188,Mr Yedwab,21/01/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,9
York-1432,Mrs Wener,26/01/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,4
Manchester-1747,Mrs Ferguson,03/01/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,8
Manchester-1791,Mr Cunningham,26/01/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,8
York-1194,Mr Peterman,14/01/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,8
Birmingham-1589,Mr Collister,14/01/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,1
Edinburgh-1686,Mrs Hughes,28/01/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,4
Birmingham-1706,Mr Hwang,14/01/2021,Return Processed,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,11
Newcastle-1986,Mrs Braun,13/01/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,4
Edinburgh-1221,Mr Norvell,02/01/2021,,Office Supplies,Paper,Parchment Paper,£2.65,1
Birmingham-1408,Mr Weirich,21/01/2021,,Office Supplies,Paper,Parchment Paper,£2.65,3
Newcastle-1721,Mr Mitchum,29/01/2021,,Office Supplies,Paper,Xerox 1897,£2.55,7
Edinburgh-2160,Mr Garza,26/01/2021,,Office Supplies,Paper,Xerox 1897,£2.55,9
Birmingham-1231,Mrs Dilbeck,28/01/2021,,Office Supplies,Paper,Xerox 1901,£2.65,10
Birmingham-1408,Mr Weirich,21/01/2021,,Office Supplies,Paper,Xerox 1901,£2.65,3
Newcastle-1193,Mrs Nunn,14/01/2021,,Office Supplies,Paper,Xerox 1925,£2.80,3
Birmingham-1187,Mr Tran,21/01/2021,,Office Supplies,Paper,Xerox 1933,£3.97,5
London-1985,Mr Creighton,13/01/2021,,Office Supplies,Paper,Xerox 1933,£3.97,2
London-1259,Mr Bensley,20/01/2021,,Office Supplies,Paper,Xerox 1936,£4.87,7
London-1407,Mrs Gerbode,21/01/2021,,Office Supplies,Paper,Xerox 1936,£4.87,9
Edinburgh-1584,Mr Nguyen,30/01/2021,,Office Supplies,Paper,Xerox 1936,£4.87,9
Manchester-1748,Mr Schnelling,16/01/2021,Return Processed,Office Supplies,Paper,Xerox 1936,£4.87,4
London-1275,Mr Brumley,12/01/2021,,Office Supplies,Paper,Xerox 1951,£5.67,7
Birmingham-1706,Mr Hwang,14/01/2021,Return Processed,Office Supplies,Paper,Xerox 1951,£5.67,1
Edinburgh-1913,Mr Coram,23/01/2021,Return Processed,Office Supplies,Paper,Xerox 1951,£5.67,10
Manchester-1923,Mrs Swindell,15/01/2021,Return Processed,Office Supplies,Paper,Xerox 1951,£5.67,4
London-2076,Mrs Brennan,27/01/2021,,Office Supplies,Paper,Xerox 1951,£5.67,5
London-1138,Mr Französisch,30/01/2021,Return Processed,Office Supplies,Paper,Xerox 1974,£5.99,6
London-1259,Mr Bensley,20/01/2021,,Office Supplies,Paper,Xerox 1974,£5.99,2
Manchester-1329,Mr MacKendrick,08/01/2021,Return Processed,Office Supplies,Paper,Xerox 1974,£5.99,10
London-1407,Mrs Gerbode,21/01/2021,,Office Supplies,Paper,Xerox 1974,£5.99,1
Manchester-1748,Mr Schnelling,16/01/2021,Return Processed,Office Supplies,Paper,Xerox 1974,£5.99,1
London-1104,Mr Davis,22/01/2021,Return Processed,Office Supplies,Paper,Xerox 1979,£6.45,4
York-1105,Mr Sunley,23/01/2021,,Office Supplies,Paper,Xerox 1979,£6.45,5
Newcastle-1155,Mrs Philippe,01/01/2021,,Office Supplies,Paper,Xerox 1979,£6.45,5
Birmingham-1408,Mr Weirich,21/01/2021,,Office Supplies,Paper,Xerox 1979,£6.45,7
York-1432,Mrs Wener,26/01/2021,Return Processed,Office Supplies,Paper,Xerox 1979,£6.45,5
Newcastle-1705,Mr Bremer,14/01/2021,Return Processed,Office Supplies,Paper,Xerox 1979,£6.45,9
Edinburgh-1786,Mrs Sheldon,30/01/2021,,Office Supplies,Paper,Xerox 1979,£6.45,2
Birmingham-1589,Mr Collister,14/01/2021,,Office Supplies,Paper,Xerox 200,£6.52,2
Newcastle-1703,Mrs McFarland,14/01/2021,,Office Supplies,Paper,Xerox 200,£6.52,1
Manchester-1283,Mrs Sperren,19/01/2021,,Office Supplies,Paper,Xerox 2000,£6.89,11
Manchester-1312,Mr Zeldin,27/01/2021,Return Processed,Office Supplies,Paper,Xerox 2000,£6.89,7
London-1407,Mrs Gerbode,21/01/2021,,Office Supplies,Paper,Xerox 2000,£6.89,10
Edinburgh-1584,Mr Nguyen,30/01/2021,,Office Supplies,Paper,Xerox 2000,£6.89,6
Manchester-1137,Mr Weien,30/01/2021,,Office Supplies,Paper,Xerox 208,£7.14,2
London-1314,Mrs Hane,27/01/2021,Return Processed,Office Supplies,Paper,Xerox 208,£7.14,7
Manchester-1851,Mrs Roberts,12/01/2021,Return Processed,Office Supplies,Paper,Xerox 208,£7.14,8
Birmingham-2002,Mr Wiediger,01/01/2021,,Office Supplies,Paper,Xerox 208,£7.14,6
London-1407,Mrs Gerbode,21/01/2021,,Office Supplies,Paper,Xerox 219,£7.50,7
Newcastle-1705,Mr Bremer,14/01/2021,Return Processed,Office Supplies,Paper,Xerox 219,£7.50,1
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Office Supplies,Paper,Xerox 219,£7.50,7
Bristol-1102,Mr Hirsh,22/01/2021,Return Processed,Office Supplies,Paper,Xerox 221,£7.80,4
London-1445,Mrs Abelman,30/01/2021,Return Processed,Office Supplies,Paper,Xerox 221,£7.80,11
Newcastle-1101,Mrs Karlsson,22/01/2021,,Office Supplies,Paper,Xerox 232,£7.99,10
Edinburgh-1686,Mrs Hughes,28/01/2021,,Office Supplies,Paper,Xerox 232,£7.99,11
York-1778,Mr Zeldin,20/01/2021,,Office Supplies,Paper,Xerox 232,£7.99,4
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Office Supplies,Paper,Xerox 232,£7.99,11
Manchester-1131,Mr Flanagan,21/01/2021,Return Processed,Office Supplies,Storage,Stacking Storage Drawers,£43.26,3
Birmingham-1187,Mr Tran,21/01/2021,,Office Supplies,Storage,Stacking Storage Drawers,£43.26,10
Manchester-1570,Mr Barnes,01/01/2021,Return Processed,Office Supplies,Storage,Stacking Storage Drawers,£43.26,7
Edinburgh-1912,Mr Morse,23/01/2021,,Office Supplies,Storage,Stacking Storage Drawers,£43.26,7
Edinburgh-1965,Mr Farhat,16/01/2021,,Office Supplies,Storage,Stacking Storage Drawers,£43.26,9
Edinburgh-2160,Mr Garza,26/01/2021,,Office Supplies,Storage,Stacking Storage Drawers,£43.26,9
Birmingham-1188,Mr Yedwab,21/01/2021,Return Processed,Office Supplies,Storage,Lockers,£89.97,10
Birmingham-1589,Mr Collister,14/01/2021,,Office Supplies,Storage,Lockers,£89.97,3
Birmingham-1706,Mr Hwang,14/01/2021,Return Processed,Office Supplies,Storage,Lockers,£89.97,3
Edinburgh-1347,Mr Schneider,24/01/2021,,Technology,Accessories,USB Wired Mouse,£5.99,2
Newcastle-2075,Mrs Martinez,09/01/2021,,Technology,Accessories,USB Wired Mouse,£5.99,3
Newcastle-1705,Mr Bremer,14/01/2021,Return Processed,Technology,Accessories,Keyboard,£19.94,10
Manchester-1922,Mr Armstrong,15/01/2021,,Technology,Accessories,Keyboard,£19.94,8
Edinburgh-1095,Mr Hightower,20/01/2021,,Technology,Accessories,PC Headset,£45.89,6
Newcastle-1193,Mrs Nunn,14/01/2021,,Technology,Accessories,PC Headset,£45.89,10
Bristol-1222,Mr Campbell,02/01/2021,,Technology,Accessories,PC Headset,£45.89,2
York-1410,Mrs Daniels,21/01/2021,,Technology,Accessories,PC Headset,£45.89,5
Bristol-2098,Mrs Monton,07/01/2021,,Technology,Accessories,PC Headset,£45.89,1
Birmingham-1408,Mr Weirich,21/01/2021,,Technology,Machines,Videoconferencing Unit,£168.76,5
Birmingham-1565,Mr Payne,15/01/2021,,Technology,Machines,Videoconferencing Unit,£168.76,6
Edinburgh-1347,Mr Schneider,24/01/2021,,Technology,Machines,Shredder,£65.49,6
Edinburgh-1913,Mr Coram,23/01/2021,Return Processed,Technology,Machines,Shredder,£65.49,8
London-2016,Mr Rosenberg,28/01/2021,,Technology,Machines,Shredder,£65.49,11
Edinburgh-2160,Mr Garza,26/01/2021,,Technology,Machines,Shredder,£65.49,9
Bristol-1142,Mr Collins,30/01/2021,,Technology,Machines,Printer,£129.99,4
Edinburgh-1584,Mr Nguyen,30/01/2021,,Technology,Machines,Printer,£129.99,2
Newcastle-1585,Mrs Kamberova,30/01/2021,Return Processed,Technology,Machines,Printer,£129.99,10
Newcastle-1103,Mr Schnelling,22/01/2021,,Technology,Phones,Speakerphone,£79.46,7
Edinburgh-1584,Mr Nguyen,30/01/2021,,Technology,Phones,Speakerphone,£79.46,9
York-1105,Mr Sunley,23/01/2021,,Technology,Phones,Fast-charging Portable Charger,£15.64,3
Birmingham-1134,Mr Chapman,21/01/2021,,Technology,Phones,Fast-charging Portable Charger,£15.64,6
Edinburgh-1221,Mr Norvell,02/01/2021,,Technology,Phones,Fast-charging Portable Charger,£15.64,1
London-1445,Mrs Abelman,30/01/2021,Return Processed,Technology,Phones,Fast-charging Portable Charger,£15.64,3
Birmingham-1554,Mr Crestani,29/01/2021,Return Processed,Technology,Phones,Fast-charging Portable Charger,£15.64,1
Manchester-1708,Mr Dortch,06/01/2021,Return Processed,Technology,Phones,Fast-charging Portable Charger,£15.64,6
Edinburgh-1913,Mr Coram,23/01/2021,Return Processed,Technology,Phones,Fast-charging Portable Charger,£15.64,2
London-2048,Mr Barreto,29/01/2021,Return Processed,Technology,Phones,Fast-charging Portable Charger,£15.64,7
Birmingham-1188,Mr Yedwab,21/01/2021,Return Processed,Technology,Phones,Bluetooth Headset,£86.99,1
Manchester-1749,Mrs Kelty,16/01/2021,Return Processed,Technology,Phones,Bluetooth Headset,£86.99,3
Edinburgh-1914,Mr McGuire,23/01/2021,Return Processed,Technology,Phones,Bluetooth Headset,£86.99,8
London-2097,Mrs Foster,07/01/2021,,Technology,Phones,Bluetooth Headset,£86.99,7
Edinburgh-1584,Mr Nguyen,30/01/2021,,Technology,Phones,Motorola L703CM,£356.99,10
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Technology,Phones,Motorola L703CM,£356.99,5
London-2097,Mrs Foster,07/01/2021,,Technology,Phones,Motorola L703CM,£356.99,1
Birmingham-1188,Mr Yedwab,21/01/2021,Return Processed,Technology,Phones,Motorola L804,£459.67,1
Birmingham-1408,Mr Weirich,21/01/2021,,Technology,Phones,Motorola L804,£459.67,10
Edinburgh-1426,Mrs Moffitt,15/01/2021,Return Processed,Technology,Phones,Motorola L804,£459.67,4
London-1445,Mrs Abelman,30/01/2021,Return Processed,Technology,Phones,Motorola L804,£459.67,8
Bristol-1722,Mr Reed,29/01/2021,,Technology,Phones,Motorola L804,£459.67,3
Edinburgh-1984,Mrs Etezadi,13/01/2021,,Technology,Phones,Motorola L804,£459.67,3
London-2048,Mr Barreto,29/01/2021,Return Processed,Technology,Phones,Motorola L804,£459.67,6
London-2048,Mr Barreto,29/01/2021,Return Processed,Technology,Phones,Panasonic KX T7731-B Digital phone,£451.27,4
Bristol-1142,Mr Collins,30/01/2021,,Technology,Phones,Panasonic KX TS3282W Corded phone,£297.50,1
York-1194,Mr Peterman,14/01/2021,,Technology,Phones,Panasonic KX TS3282W Corded phone,£297.50,4
Manchester-1748,Mr Schnelling,16/01/2021,Return Processed,Technology,Phones,Panasonic KX TS3282W Corded phone,£297.50,8
Birmingham-1987,Mr Luxemburg,13/01/2021,,Technology,Phones,Panasonic KX TS3282W Corded phone,£297.50,4
Edinburgh-1426,Mrs Moffitt,15/01/2021,Return Processed,Technology,Phones,Panasonic KX-TG9471B,£397.54,8
Manchester-1747,Mrs Ferguson,03/01/2021,Return Processed,Technology,Phones,Panasonic KX-TG9471B,£397.54,9
Manchester-1749,Mrs Kelty,16/01/2021,Return Processed,Technology,Phones,Panasonic KX-TG9471B,£397.54,7
London-2102,Mrs Hendricks,20/01/2021,,Technology,Phones,Panasonic KX-TG9471B,£397.54,4
Edinburgh-1586,Mr Cartwright,30/01/2021,Return Processed,Technology,Phones,Panasonic Kx-TS550,£657.55,8
Bristol-2098,Mrs Monton,07/01/2021,,Technology,Phones,Panasonic Kx-TS550,£657.55,10
London-2102,Mrs Hendricks,20/01/2021,,Technology,Phones,Panasonic Kx-TS550,£657.55,6
London-1275,Mr Brumley,12/01/2021,,Technology,Phones,Samsung Galaxy Note 2,£809.56,2
Birmingham-1554,Mr Crestani,29/01/2021,Return Processed,Technology,Phones,Samsung Galaxy Note 2,£809.56,6
Bristol-1590,Mr Nguyen,14/01/2021,,Technology,Phones,Samsung Galaxy Note 2,£809.56,3
Edinburgh-1913,Mr Coram,23/01/2021,Return Processed,Technology,Phones,Samsung Galaxy Note 2,£809.56,2
Newcastle-1272,Mrs Kunitz,19/02/2021,Return Processed,Furniture,Bookcases,Bookcase,£60.07,8
Newcastle-1295,Mr Thurman,24/02/2021,,Furniture,Bookcases,Bookcase,£60.07,3
Manchester-1867,Mrs Harrigan,06/02/2021,,Furniture,Bookcases,Bookcase,£60.07,9
York-1874,Mrs Bierner,23/02/2021,,Furniture,Bookcases,Bookcase,£60.07,6
Birmingham-2023,Mrs Prescott,05/02/2021,,Furniture,Bookcases,Bookcase,£60.07,2
Manchester-2077,Mr Workman,24/02/2021,,Furniture,Bookcases,Bookcase,£60.07,9
London-1247,Mrs Stobb,11/02/2021,,Furniture,Chairs,Leather Highback Executive Chair,£96.82,8
Edinburgh-1418,Mrs Grace,13/02/2021,,Furniture,Chairs,Leather Highback Executive Chair,£96.82,4
London-1683,Mr Hood,03/02/2021,,Furniture,Chairs,Leather Highback Executive Chair,£96.82,2
Manchester-1731,Mr Minnotte,02/02/2021,,Furniture,Chairs,Leather Highback Executive Chair,£96.82,6
London-1683,Mr Hood,03/02/2021,,Furniture,Chairs,Task/Swivel Chairs,£43.29,7
Manchester-1909,Mr Gjertsen,16/02/2021,Return Processed,Furniture,Chairs,Task/Swivel Chairs,£43.29,8
Edinburgh-1498,Mrs Zewe,20/02/2021,,Furniture,Chairs,Operator's Chair,£20.87,2
Manchester-1731,Mr Minnotte,02/02/2021,,Furniture,Chairs,Operator's Chair,£20.87,1
Bristol-1732,Mrs McMath,02/02/2021,,Furniture,Chairs,Operator's Chair,£20.87,4
York-1874,Mrs Bierner,23/02/2021,,Furniture,Chairs,Operator's Chair,£20.87,4
London-2078,Mr Harms,24/02/2021,,Furniture,Chairs,Operator's Chair,£20.87,9
Manchester-1068,Mr Bensley,02/02/2021,Return Processed,Furniture,Chairs,Folding Chairs,£15.69,1
Birmingham-1212,Mrs Goldwyn,03/02/2021,,Furniture,Chairs,Folding Chairs,£15.69,3
Birmingham-1866,Mrs Jones,09/02/2021,Return Processed,Furniture,Chairs,Folding Chairs,£15.69,8
Manchester-1909,Mr Gjertsen,16/02/2021,Return Processed,Furniture,Furnishings,Round Wall Clock,£8.80,9
Newcastle-1971,Mr Norvell,05/02/2021,,Furniture,Furnishings,Round Wall Clock,£8.80,1
Manchester-2077,Mr Workman,24/02/2021,,Furniture,Furnishings,Round Wall Clock,£8.80,10
Bristol-2111,Mr Jacobs,03/02/2021,,Furniture,Furnishings,Round Wall Clock,£8.80,6
Edinburgh-1145,Mr Saunders,20/02/2021,,Furniture,Furnishings,Stackable Tray,£2.60,11
Manchester-1484,Mr DeVincentis,11/02/2021,,Furniture,Furnishings,Stackable Tray,£2.60,1
London-1815,Mr Glassco,13/02/2021,Return Processed,Furniture,Furnishings,Stackable Tray,£2.60,4
Manchester-1444,Mr Flathmann,19/02/2021,Return Processed,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,5
Birmingham-1641,Mr Crier,20/02/2021,,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,11
York-1730,Mr Ratner,02/02/2021,Return Processed,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,4
London-2129,Mr Ludtke,25/02/2021,Return Processed,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,10
Birmingham-1641,Mr Crier,20/02/2021,,Furniture,Furnishings,Desk Lamp,£19.99,7
Newcastle-1295,Mr Thurman,24/02/2021,,Furniture,Tables,Round Conference Table,£562.90,7
York-1992,Mrs Hagelstein,20/02/2021,,Furniture,Tables,Round Conference Table,£562.90,1
York-2052,Mr Gastineau,04/02/2021,Return Processed,Furniture,Tables,Round Conference Table,£562.90,10
Birmingham-1641,Mr Crier,20/02/2021,,Furniture,Tables,Laminate Occasional Tables,£464.29,10
Edinburgh-1661,Mrs VanderZanden,17/02/2021,,Furniture,Tables,Laminate Occasional Tables,£464.29,11
York-2052,Mr Gastineau,04/02/2021,Return Processed,Furniture,Tables,Laminate Occasional Tables,£464.29,9
London-1995,Mr Bergmann,20/02/2021,,Furniture,Tables,Desk,£125.33,9
London-2078,Mr Harms,24/02/2021,,Furniture,Tables,Desk,£125.33,4
Edinburgh-1326,Mrs Brumfield,06/02/2021,,Office Supplies,Appliances,Refrigerator,£897.65,11
Manchester-1909,Mr Gjertsen,16/02/2021,Return Processed,Office Supplies,Appliances,Refrigerator,£897.65,8
London-2078,Mr Harms,24/02/2021,,Office Supplies,Appliances,Microwave,£104.58,4
Edinburgh-1069,Mr Shillingsburg,02/02/2021,,Office Supplies,Art,Pens,£5.69,5
Manchester-1484,Mr DeVincentis,11/02/2021,,Office Supplies,Art,Pens,£5.69,8
Newcastle-1682,Mr Pistek,03/02/2021,,Office Supplies,Art,Pens,£5.69,7
London-1815,Mr Glassco,13/02/2021,Return Processed,Office Supplies,Art,Pens,£5.69,5
Bristol-1199,Mr Preis,26/02/2021,,Office Supplies,Art,Post-its,£3.33,10
York-1874,Mrs Bierner,23/02/2021,,Office Supplies,Art,Post-its,£3.33,5
Edinburgh-1551,Mrs Hoffman,17/02/2021,,Office Supplies,Art,Highlighters,£2.69,9
Bristol-1144,Mr Ellison,20/02/2021,,Office Supplies,Envelopes,White Envelopes,£4.50,11
Birmingham-1302,Mr Ober,23/02/2021,,Office Supplies,Envelopes,White Envelopes,£4.50,9
Edinburgh-1541,Mr Packer,25/02/2021,,Office Supplies,Envelopes,White Envelopes,£4.50,9
York-2130,Mrs Ordway,25/02/2021,,Office Supplies,Envelopes,White Envelopes,£4.50,7
York-1991,Mr MacKendrick,20/02/2021,Return Processed,Office Supplies,Envelopes,Coloured Envelopes,£5.50,10
York-1994,Mrs Conant,20/02/2021,Return Processed,Office Supplies,Envelopes,Coloured Envelopes,£5.50,5
Bristol-1910,Mr Kirkland,16/02/2021,Return Processed,Office Supplies,Fasteners,Push Pins,£2.69,1
London-1247,Mrs Stobb,11/02/2021,,Office Supplies,Fasteners,Rubber Bands,£4.87,3
Newcastle-1272,Mrs Kunitz,19/02/2021,Return Processed,Office Supplies,Fasteners,Rubber Bands,£4.87,2
Newcastle-1971,Mr Norvell,05/02/2021,,Office Supplies,Fasteners,Rubber Bands,£4.87,2
Edinburgh-2086,Mrs Harrigan,09/02/2021,,Office Supplies,Fasteners,Rubber Bands,£4.87,4
Manchester-1909,Mr Gjertsen,16/02/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,2
Bristol-1996,Mrs Daniels,20/02/2021,,Office Supplies,Labels,Colour-Coded Labels,£9.99,3
Newcastle-2109,Mrs Schoenberger,03/02/2021,Return Processed,Office Supplies,Labels,Colour-Coded Labels,£9.99,2
Edinburgh-1418,Mrs Grace,13/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,3
Birmingham-1993,Mr Mitchell,20/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,10
Newcastle-2046,Mrs Nunn,06/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,10
Manchester-2077,Mr Workman,24/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,3
Bristol-2111,Mr Jacobs,03/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,5
York-2130,Mrs Ordway,25/02/2021,,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels,£7.80,7
Newcastle-1475,Mr Chand,09/02/2021,,Office Supplies,Paper,Parchment Paper,£2.65,1
