Account Number,Transaction Value,Balance
57186194,-106.33,718.36
85362253,-63.28,727.13
31693244,,311.41
33424425,-54.7,-31.52
40082950,,322.41
65606472,,405.1
85839285,637.1,1365.16
55916056,,377.36
13997603,,516.79
19094015,74.43,623.08
19956941,,723.33
24434457,,385.3
28909144,,263.97
35616763,,279.43
39710099,105.76,261.64
86788651,370.18,963.56
98043237,,491.59
75696521,,660.34
18095448,,73.28
46215382,,549.77
61634340,-148.64,-64.79
79380893,-63.11,100.04
86737119,,432.69
48507357,,980.8
69665438,-258.13,159.65
13277127,,793.22
92684055,,430.86
11302888,,458.83
34908905,,887.49
88160468,-1125.93,-485.86
14355869,-1052.6,-723.44
53502347,-406.76,-387.87
80758476,,977.44
14103210,,369.01
20117480,-86.68,-15.71
34921262,,971.82
43499771,78.47,106.87
12680102,,674.64
22268314,-160.38,-7.33
42589255,,282.84
83668302,,686.96
90019913,,430.21
95564462,,643.45
95898143,,197.65
11522216,,590.37
45688415,1393.7,2080.62
76355557,,285.61
32424424,,848.04
68836810,,171.96
84411930,,916.61
18346988,,450.36
65589565,,321.99
59980709,99.56,880.98
89905732,,883.38
16030234,-282.13,-107.58
62276269,,575.1
40551490,,569.45
41914097,,921.06
62414886,,489.04
65988118,,647.81
92214557,173.01,431.43
63556863,-0.5,633.9
65280102,,2.17
65321237,,425.42
99000939,,155.29
18899132,,244.46
21844169,-3.04,460.47
11804173,,353.62
53006272,,761.95
60866500,,523.13
68051701,,911.6
15290238,83.96,177.19
47483982,,661.58
94331180,-54.98,34.33
98070849,213.59,1207.53
14600288,,622.77
73282074,-61.23,159.25
91819341,,701.61
19530097,,960.21
30058030,,39.21
38690875,,320.39
38921478,,641.48
57133159,,734.4
84746166,,806.73
89309725,,858.68
90824896,,484.11
56094156,,531.43
59510370,,523.1
93009261,,675.04
93840154,,159.7
14144267,,97.69
21844651,,525.16
42181728,,51.89
56760248,,571.55
70163139,85.94,760.08
70989002,,220.06
86596620,,512.69
95868007,-89.15,885.17
14448009,-210.36,748.1
23415061,-102.1,-30.9
38442044,,106.95
64893719,,689.59
78953379,,45.3
57790631,-105.16,788.3
25310962,98.74,475.64
43080619,,426.64
85482194,,997.62
82776251,91.77,838.88
60711202,,869.92
45397824,-130.8,610.82
46920610,124.86,249.02
87101816,-150.96,711.91
90894195,,157.01
97935683,,40.96
25807378,,25.32
40374724,-187.15,505.43
22027757,-337.34,101.51
31158381,363.12,878.08
58491429,,937.47
60138058,,686.46
86406958,,842.43
87504607,86.21,691.84
15258886,-124.86,564.48
64958880,64.89,905.69
87261106,,203.16
11882775,-1164.33,-864.92
15914466,,436.62
76257915,,795.66
91829198,,103.19
27264533,,254.28
37267391,-105.76,713.35
38346624,,740.09
50161801,,180.69
50880352,,12.46
80678427,156.33,254.05
16181964,-49.69,929.75
23736501,,831.27
40530538,,364.98
49172838,,136.96
84280969,,161.7
19920990,,70.95
83659554,,548.94
15265650,146.1,293.82
23030554,,196.97
36519974,,922.41
75839704,,202.34
87297577,,351.06
50231864,,117.34
78905675,-84.08,-72.9
12440230,,842.67
30235398,,973.95
34264499,,864.86
99657974,-114.47,148.85
18850031,,191.3
23333877,-123.23,525.23
72323206,,372.97
81075588,192.73,490.46
82568859,,32.21
94493359,,17.96
41741558,,435.71
80184223,,52.59
86530050,103.16,550.33
87179572,1292.5,1819.73
17983851,160.4,1009.64
36725272,,52.82
57121657,135.55,983.45
48318402,,965.28
82263080,,928.54
61644310,,709.97
67029298,-60.58,194.95
70217229,,705.69
16312979,,833.92
37247834,-1086.06,-766.87
83056011,,968.4
79415620,,729.51
56041976,,56.45
91382872,,782.62
96121732,-17,754.81
23124345,,595.61
36110938,,532.77
79757019,-116.57,252.69
37004975,,635.77
61720005,,687.35
87276000,299.48,1125.69
76869375,133.53,1028.37
85609963,,424.83
92037264,,252.95
51504474,219.71,372.96
59379884,,139.54
93569124,,221.11
25636885,,755.58
56899079,,445.39
21705004,,496.88
62227017,,177.72
65380590,,683.96
67153119,18.15,472.96
73668192,,371.47
21898016,,117.42
40189934,,804.21
42726921,,590.15
53059420,-97.79,433.93
59737910,,523.19
16013218,,322.63
22099256,,523.78
91944915,100.12,701.33
49550154,-122.7,55.44
52835507,-86.91,219.77
23045208,,359.49
26115121,,466.67
26632358,363.02,747.66
76698056,,827.36
77880852,,550.69
29638033,-1905.12,-1367.17
23698615,,316.68
26109213,,698.97
42300418,-808.4,-657.01
49581833,-52,65.56
53010345,,131.63
30647433,,632.2
30723991,,310.02
39602737,,881.44
80040176,,533.74
34112514,,974.1
54458410,,973.1
34960760,,981.79
35345678,,381.43
39516154,,620.87
45067158,,115.23
70469258,,868.53
78773905,,511.78
86108287,,523.61
21728352,,733.87
39097663,,326.42
83573848,-94.56,723.94
92840827,,403.77
26888158,,473.02
84714323,,667.61
36692647,,710.29
85723355,,745.34
58345258,,749.07
72164482,,535.39
15922706,,478.87
24516638,,426.16
64683004,614.1,962.96
67805276,,431.12
83828891,,780.59
32973728,,321.03
37936898,-104.85,640.94
45816894,,227.68
50887252,,464.78
71135606,,728.32
68483071,,25.88
70221848,69.91,620.74
58873428,,191.58
94208888,,97.84
69344396,,304.19
69588947,,732.72
91020929,-107.56,240.56
17085651,,945.51
23580422,,716.05
41574018,140.73,395.62
83191889,,344.33
11251776,,504.02
22683382,-92.35,894.78
24076677,,494.74
89088715,,336.6
31759645,162.02,205.94
77688406,,224.2
81727860,,192.44
41245288,,540.61
49071892,,909.58
40548885,,160.32
59529922,-129.91,386.18
99729369,-1194.4,-443.39
24123707,,327.69
44626164,,915.14
63381038,,541.91
99261094,-119.5,356.3
31670977,,385.42
37503622,,630.18
62716405,,531.19
49127699,83.63,239.16
72809561,,270.68
96291927,79.4,306.62
27625709,-77.61,538.84
32312410,,817.47
38124225,,943.59
12985543,-140.27,262.67
29523226,102.6,910.16
48553648,,80.62
82424659,,568.77
97738591,,254.4
37561049,-80.58,823.37
41584073,,561.74
58434725,,365.9
11438427,,484.08
24715803,,684.75
67902154,-566.9,102.89
55912413,,297.61
61493381,-12.97,556.97
64402841,-61.08,690.68
83443439,,97.61
91703213,54.25,945.92
94171142,-123.08,138.86
11826060,,782.13
12493067,,404.61
20838578,,620.7
37510139,,546.33
45740727,,904.27
67489489,-118.62,100.77
78072161,-76.69,837.5
68798691,-112.52,706.81
83302154,,465.25
95674888,124.86,963.78
43453543,-98.39,792.28
65052411,,877.5
88568543,-168.34,304.49
11067879,-625.59,-144.03
56946115,,298.13
90480183,,465.06
17469776,,443.18
19201987,,624.55
66022888,57.37,814.51
14397662,,363.51
31026801,52.99,138.35
62213525,948.2,993.88
78065026,,356.26
27388260,,39.64
36982820,599.8,1433.26
68198696,,979.46
89761152,,923.01
49031379,67.01,440.64
15377274,,902.14
69648759,80.92,774.31
73039019,,360
44711172,,382.83
54137851,,30.67
75747094,-108.17,181.31
83475318,-95.83,133.13
17925406,,393.37
20263437,,789.09
39529729,86.44,512.1
44427272,-174.19,795.91
72208029,0.5,11.87
19154395,630.16,904.22
51718829,,260.45
77551209,,7.33
77668890,,804.88
86496446,-85.61,39.23
33806253,151.18,998.62
54570251,,430.68
70505401,,138.85
47115177,-56.39,703.2
61724951,,656.25
23962863,-599.8,-292.73
43781476,128.49,157.32
78580221,105.16,377.1
33116647,,391.76
43772330,,701.52
50031425,,695.18
51198722,,559.63
86728138,,175.36
87817645,181.11,1164.47
38395807,,463.52
29631870,,694.99
58925998,,855.45
98849007,4.45,62.71
47808992,,885.16
71643841,,232.5
77289104,,737.08
57897038,-38.67,361.05
70049609,,226.63
91251995,,244
20878023,,648.19
23479459,,176.23
44389169,,978.69
93529019,,463.32
53204515,,689.65
79566627,,377.62
86268635,,679.32
28362321,,849.34
33505838,,76.39
51325070,21.08,954.48
56922739,,174.07
76122310,,985.6
49540328,,458.12
97844854,,547.15
52203356,,899.39
17939571,,396.93
46085917,,340.16
58822254,,79.7
75004471,,435.54
76206810,-128.78,758.85
81994568,,578.86
11242986,-160.4,184.28
34252525,,107.18
54405539,,397.2
65199307,304.76,372.85
69796371,,649.23
74703933,239.72,561.14
78927989,,825.23
21881168,,950.62
34482885,,359.84
47414258,,900.7
42245590,55.09,284.1
55513887,,722.45
72087700,,359.55
74154906,,743.84
83557419,,374.69
14337606,,561.8
23498368,101.12,576.05
38291062,-82.42,404.26
54910290,,11.12
54997427,,825.84
57426365,282.87,888.9
58810775,-62,685.44
88857879,,601.01
43858112,-102.95,538.83
58728550,,250.26
63486424,,531.83
70719064,,752.97
74544582,-58.96,349
21711501,126.36,252.99
29464742,,557.11
61676204,,88.85
69468071,,652.9
84188877,,624.29
24513968,1277.2,1583.55
61649729,,848.76
32019304,-43.61,917.88
45015534,,215.54
30428666,,393.33
40550712,,511.4
13426667,,70.47
59110895,,605.5
79792810,,505.57
80168427,-262.28,-243.27
18451683,,501.75
34158235,,50.76
54288062,,336.75
43074888,,779.86
57584855,-83.37,-45.51
61884944,,123.93
41773473,68.47,423.47
73410227,-219.71,600.65
82027257,,681.1
24826358,,923.46
26675311,,989.13
28606808,,1.71
43541008,105.55,518.75
85423742,,131.14
90203948,,689.49
15052808,,786.05
22341160,,61.07
23971753,,170.77
49459559,,467.56
49533543,,190.64
19242274,9.420000000,74.7
52747145,,546.71
58995891,,12.92
87906438,,196.99
73015538,249.75,884.69
55795603,,241.17
62862427,-176.41,368.73
82023979,,744.37
95723006,,861.2
32824719,-9.8,492.57
73534143,,804.34
27193025,54.7,242.27
67283010,,872.4
76629706,,962.66
89608054,,495.15
95993993,,95.41
16270746,49.84,954.15
20632572,,286.44
60017511,,859.48
82920281,,41.13
86698396,,314.21
71913103,,5.42
72996601,,730.27
85919813,106.8,754.16
58362636,,89.45
39974803,,567.93
74539170,,417.58
25941557,-880.27,-223.93
28247818,75.52,225.76
47172665,,11.06
69664627,-130.78,766.98
70571486,-52.17,521.09
85435135,,106.63
86272488,-90.79,-79.06
33414190,,204.38
64526097,,491.42
71825742,,665.75
89369216,-99.09,305.47
95213279,,441.59
69556322,102.91,887.94
16118153,,829.58
32930305,,49.71
42746180,,12.15
80610910,,139.54
16334793,,297.75
18133554,,733.1
21475060,,354.98
27203821,,256.57
65804470,,454.38
67400117,,769.45
68294036,,184.64
41252281,148.34,983.22
35379604,,171.68
42546381,,409.3
52141048,,102.68
54230889,,597.31
64160490,,222.89
96200049,61.23,1020.81
36112473,,530.67
49441522,159.64,234.94
60417212,-1043.8,-390.49
89650416,-205.89,-59.72
93349543,-122.63,206.82
28781155,,555.55
41706310,188.15,314.23
48131431,-128.93,680.87
61087394,121.69,234.5
35746207,,785.36
64901797,,672.29
86263956,,852.67
53192110,,588.04
54377130,,425.86
10011977,,676.54
18517970,,709.95
19836996,,245.14
86637863,,672.86
45829157,-147.6,214.17
56843498,122.7,632.25
42726928,102.89,704.19
50217872,,667.95
68393439,137.75,920.8
96649120,,307.91
63977699,,140.44
71051904,,48.92
74304084,131.58,1014.93
39822234,,718.73
47932460,-99.41,685.64
60459342,,734.15
81384411,,175.86
25439304,-126.4,763.68
57043647,-103.35,448.71
82314789,53.09,788.86
82589836,,648.06
98237008,,437.26
41778536,,722.03
83891783,-144.25,13.83
11061291,-162.41,-89.71
81662619,-137.9,574.43
46561814,70.34,286.63
82233451,97.37,893.08
24198488,,578.35
25779398,,967.13
26087369,-47.33,605.87
27806002,,565.08
50627436,,183.41
33771855,-373.45,513.33
79015773,,706.11
88933315,216.48,506.27
70567557,,984.3
24178466,,330.91
24051672,,429.37
56875373,-71.73,562.06
78541427,,366.51
86106528,,238.55
13322659,-153.9,536.37
40224914,8.07,61.17
41561470,490.9,1241.7
52104303,,810.97
68973836,116.57,751.24
17024652,,918.84
19387921,-86.97,840.31
44586370,,440.56
30312615,,659.36
35642953,,137.26
75569387,1775.6,2024.87
85490561,,512.78
86131065,,920.08
42396753,,628.86
86864320,-103.58,507.56
17868317,-172.78,533.8
42838186,56.55,523.03
70554021,,44.26
93306742,,388.54
38032055,,416.47
10449180,48.99,277.23
30929422,-280.57,-119.04
84396180,,103.83
93559470,-126.64,84.06
25133996,,419.22
26884718,114.47,688.12
45196342,-64.89,337.59
77504884,695.3,916.33
81191580,,584.56
85679194,,891.99
87911550,,149.29
98882225,,881.65
11150945,-105.1,753.73
48625559,,797.88
43420385,,881.49
49516533,,7.4
85341369,146.39,1078.5
91373446,-87.59,473.83
91423814,,957.99
94660017,-115.14,-7.85
69617552,,853.9
17644586,-55.49,166.96
24149353,,487.27
58400012,71.73,678.52
21032760,-637.1,-95.77
22833010,-58,587.79
33173974,,94.47
64123632,,358.39
67571676,,491.88
11008868,,271.3
15563919,-90.71,401.63
46100177,,979.25
62580854,,421.59
67104073,,476.04
26070761,,641.67
55122249,,43.86
85501046,-152.04,202.72
96281358,,463.07
66044567,,596.13
81206535,,452.69
84290934,,914.5
18582171,,732.99
44794340,,488.91
46663039,49.37,1038.8
83672404,164.06,433.63
26751921,,800.07
29238925,,574.82
33270307,,38.51
39772392,-15.38,354.96
99678854,,664
49427302,,468.73
61687835,,739
35210460,1721.57,1906.87
67434874,,399.94
11346696,,661.99
11910409,-80.43,160.79
23490922,,934.35
29358670,92.86,967.8
33527603,,413.42
43843937,,79.03
48886521,134.06,961.35
72289791,,502.96
76869201,-98.26,417.36
26907311,,842.69
52756904,,428.77
55753843,,524.57
94525216,,635.22
21550631,,84.96
81087182,,861.31
13274987,-33.51,868.55
69315008,979.81,1902.89
90589761,,535.28
30409599,,117.47
80001684,,572.24
26248782,,70.58
41972741,,374.09
44272912,-142.26,305.92
50115324,80.86,410.18
99734848,,354.29
74367877,45.64,864.56
21392412,,708.46
81646873,,188.36
53079883,,489.35
76524911,-41.55,149.35
10989769,,334.18
30279114,144.31,1095.44
39360799,-1870.4,-1490.68
49467252,,444.92
58458443,,903.64
12042151,,336.44
37789180,,854.05
69806946,,971.49
85559926,-125.68,297.6
11463412,,342.53
55341552,,768.94
60371134,,444.57
77802960,,157.47
19931073,,404.96
88676459,94.56,380.51
10553619,-40.59,715.61
28251857,85.99,517.59
43330367,,172.38
62511159,,347.79
63057168,,159.71
82101740,-72.19,397.15
18308848,,570.65
28659160,-172.77,-57.17
50772829,,47.57
71934515,,340.99
40247376,,209.78
62251465,-96.35,208.2
63280767,,836.58
84778718,,521.14
14564252,,263.39
58533748,,490.86
86995846,,956.26
15077298,-158.57,349.05
23815822,,835
32400822,,987.34
58126511,,940.27
25584693,,793.42
53884626,,478.38
69533742,1288.68,2100.88
20413037,,235.79
93248179,-157.47,219.1
24298516,-74.43,694.26
16152779,227.37,292.46
54786481,,96.87
76847816,-145.45,52.35
62158499,,581.72
71247681,,955.43
46790294,-212.73,642.69
64237458,-75.62,179.86
87726203,,55.92
39863459,,387.4
78767161,-115.41,133.01
82283956,-158.92,586.8
94365401,,81.28
94796578,-1057.7,-357.21
35574156,,471.05
54349805,,752.49
65782923,,193.43
66168472,,29.89
74012560,,414.56
91859090,,10.38
93039862,,806.99
17533114,,274.53
31589468,-885.27,-171.83
93981472,,175.68
10725127,,984.69
97265555,137.25,210.49
61682186,,959.96
68153614,,927.95
35996817,,187.89
44164363,,998.43
80304720,170.25,785.12
25678043,,49.06
77387016,,894.34
83698413,,223.67
93355755,,753.84
10437896,,661.08
22403299,,702.95
43597919,,906.64
92770567,-120.09,829.57
19686460,818.4,1235.1
93409343,830.7,1579.15
11694020,,379.2
51272805,49.96,185.43
55397453,96.77,917.65
92052516,,466.43
98671410,-129.27,89.19
28142099,,420.86
28969443,,12.77
41036701,-802.6,-553.31
60193174,,740.53
69561077,125.38,443.69
77931114,57.95,538.47
79091642,,961.45
79325967,,647.65
18859451,,441.04
32408166,-735.22,-473.59
42509068,,890.56
67716893,,250.99
71381278,,592.79
92221411,-122.46,727
96847078,105.94,518.42
84448752,,412.15
90851200,,361.43
22391508,12.31,103.63
61661386,,524.42
54958587,,874.83
50693024,,171.87
83854141,,280.06
27010847,-249.75,22.29
42202867,,614.83
81049128,,694.91
10783139,,992.98
25768265,,702.22
33159039,-240.2,-139.69
56116199,-129.83,486.15
41919083,-164.31,720.21
87373821,-233.73,711.27
17284705,-81.56,64.03
10079965,,799.27
50122119,774.6,1039.21
92319358,94.06,210.57
73762750,-66.19,154.93
70123664,-122.51,360.61
11928523,,818.51
16633794,,263.05
21001872,,31.76
67056187,,392.51
79570236,,91.66
96719450,,633.74
24184530,,37.87
35614465,71.03,347.2
73700087,,274.17
16087504,144.25,200.9
36197772,-21.82,940.21
80464084,,12.73
98882065,16.96,647.64
32390015,,529.35
85265080,-204.58,788.02
95356167,,170.2
39620163,,126.08
53858816,-92.2,447.18
82764940,42.34,918.71
59961433,-130.3,136.75
58099419,-152.29,33.45
58332273,,299.3
33112628,,879.2
67102224,103.68,956.39
31537778,-36.43,298.76
46231176,-1234.99,-944.64
71444662,-101.08,175.7
23369902,129.91,846.7
27334998,,817.28
55398856,-645.5,17.93
55607955,,274.23
58547184,,218.22
72526383,,885.37
40872555,,115.88
60667043,,937.62
17543122,,681.64
35726421,-36.3,342.8
81527490,-102.61,131.44
15334737,217.35,414.47
36192947,,744.33
36296704,,491.31
36949196,,614.22
25504032,,838.81
88968006,,952.66
99685765,,43.01
48029032,,422.88
52436120,,904.47
63102647,77.81,742.95
64610632,,869.95
68275028,-120.92,797.52
60522190,,965.46
77737443,,220.7
97098684,-0.96,462.95
20720894,,243.42
51653868,,410.88
19220216,,628.89
36106467,,720.17
44145489,,635.75
84375036,114.22,470.32
10799356,,915.04
28680375,,337.2
42017456,,947.67
65583532,,542.09
89503991,,204.52
85924719,,472.05
97939041,,320.97
38487215,808.4,1588.41
98336782,,266.46
13117442,,799.69
19429964,,694.43
22054113,33.36,398.02
35391237,-128.5,283.56
53518299,-116.27,837.69
58720727,,471.56
90625637,,477.46
32308270,,976.53
39662559,,536.88
54565625,148.64,621.4
66390683,-104.47,-51.7
70375931,,980.21
32934183,,917.81
48185625,,822.11
55590263,189.32,794.44
65125795,,632.35
99877007,-103.16,478.84
39013360,,987.76
87195449,,493.58
34275044,,532.29
37164421,,302.68
37830423,,285.5
52973634,,417.09
64331821,,519.62
11437275,,115.34
26793058,,384.98
27305999,,17.22
32679915,,841.31
69307050,,623.84
91747441,,356.85
59238438,12.97,118.07
65721172,,221.49
66445304,174,327.78
13459523,,814.31
25269707,,770.38
58586275,,916.97
88837750,,269.14
90233696,73.14,701.16
40631802,,104.96
63714888,77.55,710.3
86795912,,295.95
22888798,,326.4
30227774,-99.3,447.55
34190086,65.9,956.77
56483442,,151.85
69362270,,410.6
44564500,215.02,570.2
64228624,,508.14
81245588,,775.87
27193470,,479.57
75551521,-170.89,367.75
80439799,,968.23
92943637,,28.23
61999896,,788.63
15522788,-101.62,52.64
43892675,,997.95
52560688,,622.16
60966485,-52.72,721.69
94645169,-98.05,756.17
97762952,-38.91,372.96
25240031,,520.29
94893604,122.07,411.26
97445899,-473.7,-278.28
16927652,-14.22,623.36
20176338,-100.02,189.55
27170424,,211.66
12859818,89.22,240.28
22063978,-894.09,-507.08
89916489,-174,552.43
21694967,,90.13
25006771,2077.24,2677.4
84964879,106.68,736.49
85848442,,118.46
42235537,807.2,972.4
63265361,,935.22
36171568,,343.44
15918861,,781.97
96208050,-188.17,-16.71
57108303,,737.04
92145159,333.6,395.25
97187999,43.65,214.31
44364430,-65.61,240.83
78493642,,748.98
89471153,,52.29
34867145,,212.16
68294645,33.51,339.69
37062632,119.45,486.17
92234913,,613.18
49157903,,601.62
60996794,,27.98
73782061,,891.9
56751728,,610.52
80877479,,210.98
11110085,,861.29
27585212,,150.57
66341438,,685.06
66601462,,361.46
19315124,,447.16
72925782,,351.64
73983601,,617.23
82879607,,72.18
94044891,,367.77
84070285,,796.6
95710324,,978.16
39516203,,689.19
41981752,,843.61
81651344,,219.55
73328955,,404.7
22830156,,596.06
63412767,,715.41
23445508,,373.43
26985042,,248.7
29473763,,724.82
33168725,88.65,300.09
62147353,,783.96
77911836,,87.75
14897645,113.69,202.69
95759022,76.39,154.41
31680976,-82.09,245.7
66152145,,83.45
73275714,,924.88
87356428,,705.05
80355773,-37.94,868.34
83796561,-2239.3,-1829.22
71332337,,661.23
86870860,,987.14
36636385,-134.06,851.49
50610780,,536.41
10231977,116,177.63
28572979,,156.38
30396291,,803.37
60955647,,546.28
75331062,124.73,242.54
25318205,,582.9
36849841,,593.56
37528735,,368.39
90932350,,480.51
95412973,,892.85
97501557,,572.14
97983552,670.1,1255.02
52855120,160.48,1040.69
23032852,,475.21
66504443,,618.97
29061354,,180.47
35197451,-96.06,315.63
54673873,,71.58
85498936,,47.77
89983842,,880.93
96227490,,242.11
10232603,125.68,858.23
17810734,,348.22
57975842,,101.94
75223089,,557.48
88681540,-36.13,494.88
88824263,-28.95,266.95
37905098,,389.98
84995019,-215.07,516.34
94457332,,764.02
63746530,,874.63
96756719,,601.68
88381437,,472.65
25893329,,211.58
27821800,,322.23
61423373,,87.17
72716288,,167.69
20280759,,838.7
31131351,,278.94
31594938,,486.88
86339899,14.100000000,474.79
19647966,,849.89
19574610,,104.29
53332086,,273.51
29639626,,985.7
47886866,,399.75
79771974,,350.67
92437489,,24.19
43140934,,820.81
71266283,,496.77
78913378,-84.25,293.83
68680764,,200.27
78133064,,103.96
79632523,,867.95
65534206,-110.06,164.83
79169988,,354.01
18305932,,834.42
23931414,,126.7
29017229,,950.07
50219545,1057.7,1605.82
54154999,107.18,1069.32
55088029,-152.86,767.67
62332278,119.74,1090.4
54452317,,358.39
58258401,,873.05
66521788,-127.41,74.02
14014401,,554.46
51079213,-70.27,713.31
54720837,,166.15
85902834,,357.94
21719977,,758.81
26008806,,553.23
75782714,,105.34
45242171,,174.66
59640238,,993.42
86092750,,261.57
35652360,,41.81
36259936,18.77,647
12583269,,910.46
13537427,52.56,609.54
36419197,,627.78
44140049,,372.02
61860337,,892.77
91184544,,64.05
18198770,,108.23
69008969,,716.37
95467370,,307.45
59989722,,816.77
64034275,-84.71,524.9
93564856,117.24,351.9
15055504,,339.94
36327122,,808.81
39920664,,627.45
76474111,88.99,652.42
10024680,-153.43,414.03
49536707,-136.75,-99.45
95274344,,990.84
44413402,,75.55
47824990,,704.97
10521885,43.55,98.42
10675607,-114.21,170.63
68552857,,309.92
68786878,,512.06
82927034,,435.71
36143004,,256.22
85939269,-121.91,101.19
16984772,,823.43
26863880,,818.47
91972687,,463.97
59252971,,803.65
68104946,,925.71
80428983,,323.32
90044139,,568.28
21716351,,800.95
35549277,,505.72
41356963,,398.3
49966528,133.29,774.47
52146995,69.4,391.92
59432049,142.99,530.56
86489618,,488.7
92338537,-75.36,240.88
92423759,,475.1
97010482,83.77,626.16
14907946,,845.72
47226769,126.5,576.38
45611838,,784.55
46230315,,4.43
89720252,,672.88
45026430,,745.31
97571696,1361,1983.92
20372310,,366.41
85874418,-151.41,0.42
34128127,88.1,363.93
49961732,148.54,822.25
76146870,,414.24
28976546,-128.83,325.42
72809943,,870.72
28595197,,897.68
65159654,,761.19
78807944,-90.9,351.58
57372684,111.48,360.74
48875351,,239.7
72450129,-208.23,697.38
77017650,-103.04,596.2
90745743,-142.99,232.08
29958061,93.28,110.71
15468532,,819.87
21618665,-223.94,67.65
34017695,79.2,751.66
76318330,-960.8,-250.24
78175956,,124.55
95642341,546.3,1242.18
16306280,,921.83
75216128,,671.26
48524535,32.75,297.78
87433733,,34.77
10271519,,50.02
66416254,,166.4
12035637,,461.35
80504934,,759.22
50520009,,892.55
35038984,,566.36
44368280,,291.54
93624474,,622.14
98886699,152.86,453.17
48733708,-273.55,97.19
80135904,,120.34
17933377,,189.05
55304418,,968.71
73124762,-99.81,10.66
94677908,115.41,458.74
27356852,289.54,704.36
49400211,212.62,672.86
77379844,,32.65
80391084,,466.35
50893310,,185.13
67090449,,724.35
18348734,-147.58,432.35
38428295,,690.12
35194218,142.2,984.54
42311039,156.73,255.68
45029598,,558.87
92390334,-136.22,466.4
12088180,,656.51
12499656,243.93,340.2
34027487,,54.87
74770758,143.86,787.38
91605034,,560.96
11836917,-138.19,511.95
73208971,,107.97
80778066,-55.58,161.91
46073044,,957.36
50624960,,5.03
88489173,169.18,645.44
44009985,,763.43
84333228,,330.99
38316158,,138.4
95277712,,235.91
72446758,,893.64
80940019,,957.41
67674594,61.16,187.32
24122572,,924.02
16157014,99.09,957.82
24849103,-83.41,297.95
66624477,,521.98
80812213,,277.14
13563384,,952.65
97870414,-1074.11,-255.23
38957380,,37.95
37878074,-124.69,522.87
42602631,,539.62
68315462,152.29,921.45
93346040,-69.18,746.89
97843608,,19.05
43064169,,555.44
70905083,,623.65
87456121,76.69,334.19
23932793,,962.8
58785108,61.87,535.28
41282329,-42.27,38.05
96319450,186.45,965.61
21293955,,232.88
33527759,,245.55
64300289,,472.59
48906756,,996.87
60819695,,38.96
86031592,-10.76,626.66
22137086,,410.35
58897654,,210.05
30977834,,203.99
45161114,134.43,417.03
78844183,,194.7
10464544,-89.56,666.43
61582769,,325.47
86785126,,148.21
30760024,,766.43
53091928,,235.6
70409852,,662.8
38224160,,701.82
46133743,,862.26
59684752,-119.45,-105.02
88732093,-51.03,6.53
94615411,,147.21
84310867,65.12,323.78
92963966,3.04,986.69
94163785,,953.91
80811957,,139.95
10769769,-93.28,813.63
56609826,,14.24
73642628,,300.06
36549889,,760.2
72292735,-204.6,518.83
14866733,-77.78,171.57
44662337,119.68,887.8
58290957,,580.25
59591324,,509.65
14421453,150.38,964.14
