Account Number,Transaction Value,Balance
16181964,-49.69,929.75
16191280,,825.86
16223952,,222.18
16229373,-96.26,160.63
16270746,49.84,954.15
16306280,,921.83
16312979,,833.92
16334793,,297.75
16453812,,356.9
16506904,-106.68,495.49
16584745,-136.51,-7.05
16628269,,27.11
16633794,,263.05
16676577,77.41,484.65
16927652,-14.22,623.36
16977372,-181.11,494.39
16984772,,823.43
17024652,,918.84
17039422,,941.44
17051223,,558.16
17085651,,945.51
17138963,-1500.7,-1368.75
17144855,295.34000000000003,650.48
17191420,130.78,848.06
17228160,-886.51,-318.64
17264146,,345.33
17284705,-81.56,64.03
17301178,,311.47
17434670,,148.92
17469776,,443.18
17483941,-225.73000000000002,258.08
17533114,,274.53
17534364,,758.41
17543122,,681.64
17644586,-55.49000000000001,166.96
17648252,75.90000000000009,150.92
17669623,,163.19
17692892,,457.79
17722231,-67.01,877.21
17749893,32.579999999999984,922.03
17810734,,348.22
17840180,0.96,558.52
17868317,-172.78,533.8
17881363,,415.27
17925406,,393.37
17933377,,189.05
17938672,102.95,1007.94
17939571,,396.93
17983851,160.4,1009.64
18046225,,205.83
18052851,,672.09
18095448,,73.28
18133554,,733.1
18179400,,768.78
18185362,,609.36
18198770,,108.23
18305932,,834.42
18308848,,570.65
18346988,,450.36
18348734,-147.58,432.35
18447548,99.41,673.65
18451683,,501.75
18517970,,709.95
18563743,,649.46
18582171,,732.99
18584434,,877.81
18645136,120.09,674.96
18685463,,476.02
18718399,,716.22
18850031,,191.3
18859451,,441.04
18899132,,244.46
18928638,,150.95
19001745,,507.55
19094015,74.43,623.08
19154395,630.16,904.22
19160862,,211.53
19201987,,624.55
19216744,,123.53
19220216,,628.89
19242274,9.419999999999987,74.7
19283264,,301.31
19315124,,447.16
19317267,,51.87
19334563,-774.6,-249.15
19387921,-86.97,840.31
19429964,,694.43
19432211,,24.19
19524427,,579.16
19530097,,960.21
19559937,1413.98,2141.38
19574610,,104.29
19647966,,849.89
19686460,818.4,1235.1
19705767,,997.48
19789505,1041.9,1935.8
19836996,,245.14
19876635,-182.44,700.81
19920990,,70.95
19931073,,404.96
19956941,,723.33
19980716,,432.98
20015298,158.51,1112.33
20067958,,38.05
20090784,,482.62
20117480,-86.68,-15.71
20129535,143.85,590.26
20176338,-100.02,189.55
20242626,,701.08
20248053,,565.28
20263437,,789.09
20280759,,838.7
20287993,,616.17
20316429,,697.84
20345467,-72.35,780.15
20369153,387.9,681.68
20372310,,366.41
20413037,,235.79
20425065,,866.77
20464830,,181.25
20632572,,286.44
20704613,97.11,168.7
20705548,,184.81
20720894,,243.42
20838578,,620.7
20849721,,740.52
20851460,,931.67
20878023,,648.19
20908067,,607.53
20991411,,572.64
20992354,-82.18,5.08
21001872,,31.76
21032760,-637.1,-95.77
21047777,,699.12
21142911,-103.99,610.9
21293955,,232.88
21314767,-164.29000000000002,273.9
21368735,-145.77,136.1
21392412,,708.46
21464772,,719.8
21475060,,354.98
21515934,-126.75,416.63
21550631,,84.96
21558805,,586.63
21601747,-58.18,352.44
21618665,-223.94,67.65
21646418,,909.55
21655728,,761.31
21675999,109.32,1002.59
21694967,,90.13
21705004,,496.88
21711501,126.36,252.99
21716351,,800.95
21719977,,758.81
21728352,,733.87
21749252,50.95,697.22
21750371,,329.19
21816770,,693.8
21844169,-3.04,460.47
21844651,,525.16
21881168,,950.62
21898016,,117.42
21918195,,510.33
21966927,,511.1
22027757,-337.34000000000003,101.51
22035411,,9.55
22054113,33.36,398.02
22063978,-894.0899999999999,-507.08
22099256,,523.78
22137086,,410.35
22268314,-160.38,-7.33
22292682,-130.44,743.88
22298371,-107.18,783.98
22341160,,61.07
22374612,,554.31
22391508,12.31,103.63
22393008,,753.5
22403299,,702.95
22404690,,726.06
22412680,,637.99
22483300,,763.23
22683382,-92.35,894.78
22696687,,133.52
22730750,33.48,507.04
22799719,,481.26
22830156,,596.06
22833010,-58.0,587.79
22846221,-179.6,688.6
22884864,,521.87
22888798,,326.4
22951653,17.61,432.25
23030554,,196.97
23032852,,475.21
23045208,,359.49
23093541,,326.05
23124345,,595.61
23141588,,281.28
23231848,,27.12
23269253,899.8,1224.36
23271383,,633.3
23289647,,522.8
23295106,89.15,429.31
23310842,,78.85
23321929,,408.3
23325248,,49.31
23333877,-123.23,525.23
23369902,129.91,846.7
23415061,-102.1,-30.9
23445508,,373.43
23479459,,176.23
23490922,,934.35
23498368,101.12,576.05
23501735,,562.17
23580422,,716.05
23698615,,316.68
23736501,,831.27
23775829,,771.57
23815822,,835.0
23865100,,201.44
23920423,,221.15
23931414,,126.7
23932793,,962.8
23935849,,888.11
23942646,82.42,600.35
23959928,,878.83
23962863,-599.8,-292.73
23971753,,170.77
24010877,107.29,760.24
24051672,,429.37
24076677,,494.74
24085667,78.1,327.2
24113784,,47.67
24122572,,924.02
24123707,,327.69
24125563,98.33,1006.61
24149353,,487.27
24150990,,365.31
24178466,,330.91
24184530,,37.87
24198488,,578.35
24250015,132.46,725.05
24285988,,783.9
24298516,-74.43,694.26
24299977,-383.45,-184.12
24308337,,764.57
24370240,-45.7,562.94
24382889,,14.23
24406166,,746.97
24434457,,385.3
24462859,,646.0
24510213,,142.59
24513968,1277.2,1583.55
24516638,,426.16
24519138,-123.96,-65.81
24529850,,800.79
24531428,,565.21
24533829,118.62,309.42
24533935,,808.99
24539679,,768.68
24577383,,911.96
24638469,-209.89,758.38
24669065,,574.3
24715803,,684.75
24725325,,567.17
24796881,,943.93
24826358,,923.46
24849103,-83.41,297.95
24859951,,950.69
24860683,-114.22,868.75
24976861,91.95,1074.48
24999129,,750.61
25004339,,120.44
25006771,2077.2400000000002,2677.4
25033680,-615.8,23.67
25099734,,872.31
25110012,103.35,403.38
25133996,,419.22
25146667,-830.7,-296.59
25240031,,520.29
25269707,,770.38
25281513,,618.78
25310962,98.74,475.64
25318205,,582.9
25406407,56.06,450.11
25412464,,203.46
25439304,-126.4,763.68
25504032,,838.81
25510430,,110.66
25522226,,428.21
25584693,,793.42
25596483,,595.87
25628234,,808.37
25636885,,755.58
25677428,,307.44
25678043,,49.06
25698177,,923.38
25710768,,968.16
25737886,,410.76
25746852,-86.44,234.26
25768265,,702.22
25779398,,967.13
25787771,,494.02
25807378,,25.32
25893329,,211.58
25931435,-69.52,57.56
25939481,106.3,608.89
25941557,-880.27,-223.93
26008806,,553.23
26023976,,681.17
26070761,,641.67
26087369,-47.33,605.87
26101648,,9.84
26102798,,104.08
26109213,,698.97
26115121,,466.67
26118463,127.46,1108.46
26248782,,70.58
26375186,,804.02
26432558,212.63,677.95
26506201,,592.7
26522255,,283.67
26528251,,539.97
26632358,363.02,747.66
26643616,-46.92999999999999,213.17
26669001,,70.04
26675311,,989.13
26751921,,800.07
26791907,-126.46,139.81
26793058,,384.98
26863880,,818.47
26874415,,19.62
26884718,114.47,688.12
26888158,,473.02
26893181,-118.42000000000002,839.01
26906533,,312.58
26907311,,842.69
26953669,81.22,894.43
26958171,,837.04
26964507,,358.72
26979446,18.27,167.92
26985042,,248.7
27010847,-249.75,22.29
27108454,,423.96
27117946,,342.03
27170424,,211.66
27193025,54.7,242.27
27193470,,479.57
27203821,,256.57
27264533,,254.28
27305999,,17.22
27334998,,817.28
27356852,289.53999999999996,704.36
27357010,,579.29
27382109,63.48,238.43
27388260,,39.64
27389680,,815.68
27415805,,902.28
27430568,-286.57,163.88
27580272,,352.81
27582893,,639.21
27585212,,150.57
27589482,129.54,623.57
27596004,1198.37,1704.1
27600956,,84.39
27625709,-77.61,538.84
27628187,,344.63
27713909,,199.77
27806002,,565.08
27821800,,322.23
27845045,80.9,217.81
27870202,,286.17
27985160,,446.21
28053942,-1821.2,-1750.26
28063272,,252.41
28142099,,420.86
28222331,242.86,380.6
28240243,-122.07,728.63
28247818,75.52,225.76
28251857,85.99,517.59
28254911,,697.78
28362321,,849.34
28380949,-131.58,805.66
28429440,-57.95,480.2
28548067,,499.29
28553155,-131.36,15.73
28572979,,156.38
28595197,,897.68
28606808,,1.71
28629966,,60.86
28640713,-53.43,150.9
28652960,,140.6
28659160,-172.77,-57.17
28680375,,337.2
28696496,,150.57
28738041,,907.31
28743137,,781.13
28745450,163.82,321.2
28754062,,16.41
28781155,,555.55
28811285,,813.63
28819175,-44.29,370.19
28822117,-98.74,106.05
28909144,,263.97
28911002,1139.7,1997.76
28969443,,12.77
28976546,-128.83,325.42
29000698,,954.02
29017229,,950.07
29039134,,218.26
29043142,,210.89
29052260,,639.05
29061354,,180.47
29074095,86.91,599.29
29222005,,0.34
29238925,,574.82
29288598,,386.76
29303323,,525.6
29358670,92.86,967.8
29422349,,623.61
29464742,,557.11
29473763,,724.82
29489865,,854.53
29523226,102.6,910.16
29527534,,355.57
29608056,,248.43
29631870,,694.99
29638033,-1905.12,-1367.17
29639626,,985.7
29705419,,799.07
29878790,,360.74
29887258,,392.91
29920698,,922.07
29958061,93.28,110.71
30030650,,414.27
30058030,,39.21
30093672,,939.77
30110747,98.39,1048.15
30112323,126.28,646.01
30196319,-32.39,689.01
30227774,-99.3,447.55
30235398,,973.95
30237685,,751.93
30279114,144.31,1095.44
30312615,,659.36
30324819,,823.45
30340808,,895.41
30372316,,189.39
30374840,,564.42
30396291,,803.37
30409599,,117.47
30428666,,393.33
30484027,127.65,400.36
30511779,,772.02
30518350,,490.85
30557885,,615.82
30565855,,982.05
30623117,,266.92
30647433,,632.2
30657838,2147.3500000000004,2616.17
30671754,,621.9
30672740,,355.33
30688447,,555.31
30718836,109.98999999999998,470.77
30723991,,310.02
30758515,102.39,138.13
30760024,,766.43
30791105,,272.5
30929422,-280.57,-119.04
30970897,-141.6,-84.43
30977834,,203.99
30979429,-70.34,343.76
30990911,,997.59
31026801,52.99,138.35
31131351,,278.94
31150830,-161.85,-125.69
31158381,363.12,878.08
31183587,,725.0
31187024,,950.41
31263913,-48.78,218.72
31319183,,407.92
31335654,,217.33
31367758,89.01,625.17
31392168,,615.42
31525756,81.02,444.7
31537778,-36.43,298.76
31541158,,215.94
31557275,,362.05
31589468,-885.27,-171.83
31594938,,486.88
31595213,,418.35
31661113,,309.32
31670977,,385.42
31680976,-82.09,245.7
31689747,104.57,1011.78
31693244,,311.41
31759645,162.02,205.94
31770323,,666.66
31774984,127.57,1092.14
31826534,,541.64
31830289,44.29,860.84
31873155,,351.03
31957459,98.52,857.21
31978646,,393.51
32019304,-43.610000000000014,917.88
32084810,,610.7
32092491,126.01,177.83
32109414,116.27,1083.58
32131123,,758.69
32192958,,209.37
32221529,,887.75
32221652,-2909.8999999999996,-2872.94
32261620,787.2,842.63
32275676,,889.61
32308270,,976.53
32312381,-96.77,646.08
32312410,,817.47
32370392,,369.09
32386770,-56.55,582.9
32390015,,529.35
32400822,,987.34
32408166,-735.22,-473.59
32424424,,848.04
32474004,,509.41
32476086,,67.66
32597705,,869.89
32641357,,12.39
32679915,,841.31
32737909,99.52,843.62
32803222,-80.92,747.0
32824719,-9.8,492.57
32888555,,781.33
32930305,,49.71
32934183,,917.81
32973728,,321.03
32991596,166.48,922.4
33014501,,454.35
33112628,,879.2
33116647,,391.76
33159039,-240.2,-139.69
33168725,88.65,300.09
33173974,,94.47
33202593,,329.25
33240853,-120.69,864.77
33259781,-93.43,829.75
33270307,,38.51
33348876,,267.33
33351056,,597.06
33381880,,682.27
33403100,,270.23
33414190,,204.38
33424425,-54.7,-31.52
33470885,,531.96
33505838,,76.39
33527603,,413.42
33527759,,245.55
33561341,102.31,851.47
33632099,,943.81
33634912,,888.99
33749113,,590.37
33749812,,121.02
33750944,,100.44
33771855,-373.45000000000005,513.33
33806253,151.18,998.62
33832864,,46.85
33906740,-67.52,752.94
33914941,-160.48,505.42
33915504,,742.98
33967237,142.15,466.95
34017695,79.2,751.66
34027487,,54.87
34112514,,974.1
34128127,88.1,363.93
34158235,,50.76
34190086,65.9,956.77
34252525,,107.18
34264499,,864.86
34275044,,532.29
34284479,,74.46
34336001,-48.39,348.36
34351752,,30.31
34374766,131.53,1047.62
34400277,-1393.7,-1186.11
34403979,181.06,282.2
34461285,,149.82
34482885,,359.84
34650969,,177.82
34681193,-216.49,-33.36
34866268,,516.92
34867145,,212.16
34902863,-89.22,-57.86
34908905,,887.49
34921262,,971.82
34960760,,981.79
35038984,,566.36
35051369,-43.65,593.53
35082945,,713.95
35083564,,599.99
35126236,,739.8
35160368,41.55,95.14
35177782,,79.03
35194218,142.2,984.54
35197451,-96.06,315.63
35210460,1721.5700000000002,1906.87
35293864,-68.47,524.08
35321469,76.26,270.83
35330225,,717.9
35345678,,381.43
35379604,,171.68
35391237,-128.5,283.56
35391340,-119.2,767.36
35405748,,19.49
35445202,,972.48
35506101,,713.65
35510004,,723.62
35539408,,469.13
35540836,120.69,138.6
35549277,,505.72
35555120,,598.72
35564578,258.56,879.93
35574156,,471.05
35614465,71.02999999999999,347.2
35616763,,279.43
35633136,,603.11
35642953,,137.26
35652360,,41.81
35698347,,258.22
35712712,,828.88
35721788,,837.07
35726421,-36.3,342.8
35746207,,785.36
35762783,,346.14
35772673,-76.39,441.51
35799522,,750.79
35805852,,886.37
35827625,-4.45,441.18
35869347,-99.06,669.68
35948735,,117.14
35996817,,187.89
36007496,,239.44
36106467,,720.17
36110938,,532.77
36112473,,530.67
36114551,,876.22
36126802,,617.04
36131723,,602.96
36141472,,656.7
36143004,,256.22
36171568,,343.44
36192947,,744.33
36197772,-21.82,940.21
36258926,,549.71
36259936,18.77,647.0
36296704,,491.31
36327122,,808.81
36389309,,469.45
36393557,,407.12
36419197,,627.78
36425954,,93.85
36519974,,922.41
36549889,,760.2
36551112,-12.83,963.19
36596942,,550.9
36611100,,485.06
36636385,-134.06,851.49
36668239,,566.32
36692647,,710.29
36696277,153.43,548.85
36725272,,52.82
36837451,146.02,575.54
36841261,-127.65,44.72
36849841,,593.56
36871984,,949.89
36949196,,614.22
36982820,599.8,1433.26
37004975,,635.77
37017424,-184.35,-113.01
37062632,119.45,486.17
37146521,-18.27,453.37
37164421,,302.68
37247834,-1086.06,-766.87
37256412,,24.43
37267391,-105.76,713.35
37273974,,533.14
37274865,,95.23
37297429,-79.4,614.42
37319261,,574.42
37369245,-74.4,372.25
37407392,,822.17
37443706,,621.08
37503622,,630.18
37510139,,546.33
37528735,,368.39
37561049,-80.58,823.37
37599317,,177.32
37642787,,396.03
37658218,570.3,1131.57
37678813,,767.56
37767441,-88.19,638.27
37789180,,854.05
37796234,,992.46
37830423,,285.5
37878074,-124.69,522.87
37905098,,389.98
37936898,-104.85,640.94
37945317,,8.24
37953007,,440.78
38032055,,416.47
38038623,,526.98
38124225,,943.59
38157078,,756.55
38224160,,701.82
38291062,-82.42,404.26
38316158,,138.4
38346624,,740.09
38395807,,463.52
38428295,,690.12
38429514,-72.18,555.44
38442044,,106.95
38487215,808.4,1588.41
38495059,,14.18
38502892,,600.32
38528119,,165.9
38558525,,833.07
38564653,,647.95
38587383,-65.03,514.09
38606148,,956.59
38627867,,132.74
38690875,,320.39
38740782,,702.64
38749064,143.97,713.95
38764064,52.17,700.29
38780970,-118.27,728.32
38839019,884.11,1071.26
38903150,,263.28
38921478,,641.48
38957380,,37.95
38969279,,195.74
38990596,,108.78
38991889,,292.35
39001531,,882.34
39013360,,987.76
39061853,98.05,451.98
39093565,,107.2
39097663,,326.42
39122920,,445.68
39123048,-9.230000000000004,678.36
39160879,-186.89,257.26
39161053,-14.75,360.53
39267013,,516.74
39298122,135.0,742.25
39360799,-1870.4,-1490.68
39386771,,171.52
39398476,,541.52
39400991,,896.44
39402264,1255.3,2248.34
39427922,-131.53,662.57
39491241,,564.0
39502821,,924.88
39504855,,890.63
39516154,,620.87
39516203,,689.19
39529729,86.44,512.1
39542358,,671.28
39590347,,180.22
39602737,,881.44
39620163,,126.08
39623640,,617.74
39662559,,536.88
39684993,,168.99
39710099,105.76,261.64
39744047,,505.93
39749381,,576.13
39772392,-15.379999999999995,354.96
39822234,,718.73
39863459,,387.4
39875057,,126.02
39920664,,627.45
39974803,,567.93
40004707,,206.15
40039031,,124.72
40048102,,519.25
40082477,-131.11,40.63
40082950,,322.41
40091206,86.72,899.06
40098771,,742.62
40098912,,951.18
40112082,,289.68
40127778,-85.77,110.97
40176462,,193.24
40189934,,804.21
40224914,8.07,61.17
40247376,,209.78
40374724,-187.15,505.43
40436811,,445.93
40507682,86.68,611.31
40530538,,364.98
40548885,,160.32
40550712,,511.4
40551490,,569.45
40600852,89.87,104.95
40631802,,104.96
40673170,95.49,220.15
40712298,,781.72
40745545,-85.94,374.35
40745965,-1264.3,-610.15
40797438,49.69,729.07
40813783,,288.51
40872555,,115.88
40898013,,650.33
40906801,185.45,269.22
41022448,,37.89
41036701,-802.6,-553.31
41038634,,802.08
41085190,,78.73
41170515,,713.46
41194009,,585.15
41211432,6.689999999999998,211.69
41245288,,540.61
41245805,,753.91
41252281,148.34,983.22
41282329,-42.27,38.05
41356963,,398.3
41420018,,816.5
41542689,,246.73
41561470,490.9,1241.7
41574018,140.73000000000002,395.62
41584073,,561.74
41664336,45.11,898.48
41706310,188.15000000000003,314.23
41716822,78.07,496.12
41741558,,435.71
41755476,,72.71
41773473,68.47,423.47
41778536,,722.03
41852767,114.68,1108.04
41879906,-80.81,-51.76
41881442,-347.81,302.53
41914097,,921.06
41919083,-164.31,720.21
41954037,,768.8
41972741,,374.09
41981752,,843.61
42017456,,947.67
42181728,,51.89
42202867,,614.83
42232896,,647.99
42235537,807.2,972.4
42245590,55.09,284.1
42255054,255.84999999999997,806.25
42268900,140.67,662.02
42300418,-808.4,-657.01
42311039,156.73,255.68
42322494,,486.58
42340050,184.78,1120.39
42396753,,628.86
42509068,,890.56
42515631,,186.74
42546381,,409.3
42589255,,282.84
42602631,,539.62
42652193,,566.53
42726921,,590.15
42726928,102.89,704.19
42746180,,12.15
42752982,,526.19
42783101,-61.16,228.66
42813808,,633.08
42838186,56.55,523.03
42882563,,419.69
42889744,,223.01
43017336,,935.99
43017598,,151.6
43032836,217.86,604.69
43064169,,555.44
43074888,,779.86
43080619,,426.64
43140934,,820.81
43257373,,483.49
43265708,,814.0
43312288,,830.91
43329727,,477.69
43330367,,172.38
43338400,-80.7,702.42
43354643,,863.38
43365633,,57.11
43368978,55.49,188.56
43387803,,646.4
43417466,66.84,940.86
43420385,,881.49
43453543,-98.39,792.28
43490748,-143.86,664.06
43499771,78.47,106.87
43541008,105.55,518.75
43597919,,906.64
43616790,,365.67
43623061,,724.39
43772330,,701.52
43781476,128.49,157.32
43811112,,99.92
43830772,,158.17
43843937,,79.03
43858112,-102.95,538.83
43860538,,478.05
43892675,,997.95
43930935,,651.22
43979238,170.96,239.04
44007497,,331.92
44009985,,763.43
44019515,,312.63
44066457,,18.09
44075619,,979.0
44130477,,918.0
44133867,,358.61
44140049,,372.02
44145489,,635.75
44162563,,325.77
44164363,,998.43
44228646,,651.3
44234432,-127.46,271.71
44239230,-189.46,201.48
44242297,-136.95,251.07
44243236,-54.25,743.7
44272912,-142.26,305.92
44281556,-117.4,-46.7
44310966,,361.02
44317934,1888.2,2808.41
44331942,,389.13
44358901,-144.31,432.42
44364430,-65.61,240.83
44368280,,291.54
44378133,-12.5,708.71
44389169,,978.69
44413402,,75.55
44427272,-174.19,795.91
44474369,,663.93
44516940,-182.19,747.98
44537960,-168.84,506.19
44564500,215.02,570.2
44586370,,440.56
44626164,,915.14
44662337,119.68,887.8
44701536,-76.18,919.22
44711172,,382.83
44759468,-97.92,864.99
44794340,,488.91
44812075,601.7,1465.41
44816910,229.8,415.31
44873253,,660.51
44902994,85.77,876.11
44912164,,355.61
45015534,,215.54
45015570,892.62,1798.19
45020832,,104.89
45021115,,464.27
45021398,,783.24
45026430,,745.31
45027876,-155.38,-75.25
45029598,,558.87
45067158,,115.23
45089475,,676.92
45111669,121.91,581.19
45161114,134.43,417.03
45196342,-64.89,337.59
45238909,,904.83
45242171,,174.66
45253870,,273.37
45275334,,49.55
45397824,-130.8,610.82
45519330,-261.71000000000004,578.51
45543867,82.42,502.34
45558696,,760.19
45611838,,784.55
45631973,-187.01,575.69
45639009,,489.05
45688415,1393.7,2080.62
45706674,-1187.7,-796.97
45740727,,904.27
45790907,1376.6399999999999,1944.31
45816894,,227.68
45822265,,881.34
45829157,-147.6,214.17
45859156,-146.02,498.48
45960045,,853.47
45974864,,957.27
46012936,,120.79
46059921,-95.21,810.57
46064017,,672.77
46067647,,677.66
46073044,,957.36
46085917,,340.16
46100177,,979.25
46133743,,862.26
46215382,,549.77
46230315,,4.43
46231176,-1234.99,-944.64
46255563,92.51,657.93
46322903,,873.01
46326165,,571.8
46346470,,787.87
46355307,-161.31,-8.91
46442210,,732.14
46479025,,323.03
46525458,,938.4
46552077,,672.51
46561814,70.34,286.63
46597215,,455.5
46597728,,920.72
46643937,,751.73
46663039,49.37,1038.8
46730484,,398.49
46741126,,393.18
46768821,,458.81
46790294,-212.73,642.69
46792863,-81.07,762.43
46851905,93.2,111.43
46854962,-45.60999999999999,318.42
46879333,,462.44
46913859,-119.68,290.51
46920610,124.86,249.02
46925211,189.46,698.71
47040996,-130.83,332.12
47091705,-75.52,-20.92
47115177,-56.39,703.2
47127756,,300.02
47133143,-182.36,541.16
47172665,,11.06
47226769,126.5,576.38
47232232,126.4,179.84
47266645,,207.15
47313428,,204.67
47356348,,65.95
47406737,844.6,1807.74
47414258,,900.7
47473145,,801.43
47483982,,661.58
47582488,,744.99
47654093,,294.0
47763906,,980.42
47781255,,462.62
47808992,,885.16
47824990,,704.97
47886866,,399.75
47902339,,919.92
47932460,-99.41,685.64
47964895,,982.97
48018851,,288.26
48029032,,422.88
48050578,,203.26
48056301,,943.28
48071843,-387.9,609.72
48075275,-176.69,704.62
48081999,,290.89
48131431,-128.93,680.87
48185625,,822.11
48186857,,518.26
48271608,54.71,398.65
48318402,,965.28
48350476,,305.2
48399121,,984.98
48429255,,79.7
48434572,-113.69,238.01
48444386,,962.57
48491614,120.88,875.33
48500030,,917.05
48507357,,980.8
48524535,32.75,297.78
48532894,,662.86
48553648,,80.62
48569537,-1153.0,-778.31
48591774,84.03,506.97
48625559,,797.88
48654969,,83.93
48722022,123.96,710.4
48733708,-273.55,97.19
48757991,141.6,818.2
48781678,-856.5,-454.95
48783408,,278.34
48799650,83.35,244.1
48831634,,146.94
48860469,-166.48,563.89
48875351,,239.7
48886521,134.06,961.35
48906756,,996.87
48911149,,580.54
48930319,167.53,763.18
48940493,,394.19
48976336,-2027.7,-1627.58
49031081,,788.18
49031379,67.01,440.64
49039474,89.56,664.26
49071892,,909.58
49075324,,301.39
49095464,-54.72999999999999,-53.43
49127699,83.63,239.16
49157903,,601.62
49172838,,136.96
49186099,208.31,416.55
49216581,-754.9,157.01
49253709,-55.86,417.6
49310474,46.59,975.75
49400211,212.62,672.86
49410021,112.52,621.24
49427302,,468.73
49441522,159.64,234.94
49454023,780.9,1579.62
49459559,,467.56
49467252,,444.92
49516533,,7.4
49520335,77.78,276.57
49533543,,190.64
49534905,,383.91
49536707,-136.75,-99.45
49540328,,458.12
49550154,-122.7,55.44
49581833,-52.0,65.56
49696722,,142.69
49834565,,51.12
49840526,,461.64
49941860,60.93,716.59
49961732,148.54,822.25
49966528,133.29,774.47
50018070,,450.64
50024545,,867.21
50031425,,695.18
