CustomerID,Customer,Return %,Number of Orders,First Order
77,Mr Cartwright,1.0,1,30/01/2021
78,Mr Collins,0.0,2,30/01/2021
79,Mr Crebassa,0.6,3,30/01/2021
80,Mr Französisch,1.0,2,30/01/2021
81,Mr Weien,0.0,2,30/01/2021
82,Mrs Abelman,0.71,3,30/01/2021
83,Mrs Fein,0.0,2,30/01/2021
84,Mrs Kamberova,1.0,2,30/01/2021
85,Mrs Sheldon,0.62,4,30/01/2021
86,Mr McCrary,0.0,2,02/02/2021
87,Mr Minnotte,0.5,3,02/02/2021
88,Mr Ratner,0.5,2,02/02/2021
89,Mr Shillingsburg,0.0,2,02/02/2021
90,Mrs McMath,0.0,1,02/02/2021
91,Mr Glassco,0.75,2,03/02/2021
92,Mr Hood,0.33,2,03/02/2021
93,Mr Pistek,0.0,4,03/02/2021
94,Mrs Goldwyn,0.0,2,03/02/2021
95,Mrs Manning,0.5,3,03/02/2021
96,Mrs Schoenberger,0.33,3,03/02/2021
97,Mr Gastineau,0.4,3,04/02/2021
98,Mr Bickford,0.4,2,05/02/2021
99,Mrs Prescott,0.0,2,05/02/2021
100,Mr Williamson,0.0,2,06/02/2021
101,Mrs Brumfield,0.0,3,06/02/2021
102,Mrs Harrigan,0.0,4,06/02/2021
103,Mr Barnett,0.25,3,09/02/2021
104,Mr Chand,0.5,3,09/02/2021
105,Mr Magee,0.0,2,09/02/2021
106,Mrs Jones,0.6,3,09/02/2021
107,Mrs Van Hugh,0.0,3,09/02/2021
108,Mrs Derr,0.25,2,10/02/2021
109,Mr DeVincentis,0.0,3,11/02/2021
110,Mrs Holloman,0.0,3,11/02/2021
111,Mrs Stobb,0.33,2,11/02/2021
112,Mr Gainer,0.0,3,13/02/2021
113,Mr Steele,0.0,1,13/02/2021
114,Mrs Grace,0.14,4,13/02/2021
115,Mrs Kaydos,0.0,3,13/02/2021
116,Mrs Messe,0.0,2,13/02/2021
117,Mr Gjertsen,1.0,1,16/02/2021
118,Mr Kirkland,1.0,1,16/02/2021
119,Mrs Chong,0.33,3,16/02/2021
120,Mr Elias,0.67,2,17/02/2021
121,Mr Paige,1.0,1,17/02/2021
122,Mrs Hoffman,0.0,2,17/02/2021
123,Mrs VanderZanden,0.0,2,17/02/2021
124,Mr Seite,0.08,4,18/02/2021
125,Mrs Budd,0.67,4,18/02/2021
126,Mr Flathmann,1.0,2,19/02/2021
127,Mrs Kunitz,0.27,4,19/02/2021
128,Mr Bergmann,0.5,3,20/02/2021
129,Mr Crier,0.25,2,20/02/2021
130,Mr Ellison,0.1,3,20/02/2021
131,Mr Mitchell,0.33,3,20/02/2021
132,Mr Saunders,0.5,3,20/02/2021
133,Mrs Conant,0.25,4,20/02/2021
134,Mrs Folk,0.0,4,20/02/2021
135,Mrs Hagelstein,0.27,4,20/02/2021
136,Mrs Zewe,0.0,2,20/02/2021
137,Mr Carroll,0.67,2,23/02/2021
138,Mr Ober,0.2,3,23/02/2021
139,Mrs Bierner,0.0,3,23/02/2021
140,Mr Harms,0.0,2,24/02/2021
141,Mr Thurman,0.33,3,24/02/2021
142,Mr Workman,0.0,3,24/02/2021
143,Mr Ludtke,0.67,4,25/02/2021
144,Mr Packer,0.0,4,25/02/2021
145,Mrs Ordway,0.0,2,25/02/2021
146,Mr Preis,0.0,2,26/02/2021
147,Mrs Bowman,0.6,3,26/02/2021
148,Mrs Harton,0.29,4,26/02/2021
149,Mrs Shonely,0.67,3,26/02/2021
150,Mr Brooks,0.0,3,02/03/2021
151,Mr Frazer,0.56,4,02/03/2021
152,Mr Lloyd,0.29,3,02/03/2021
153,Mrs Halladay,0.62,2,02/03/2021
154,Mrs Lichtenstein,0.5,2,02/03/2021
155,Mrs Marie,0.5,4,02/03/2021
156,Mrs Moren,0.38,4,02/03/2021
157,Mr Barton,0.67,2,03/03/2021
158,Mr Bergman,0.73,3,03/03/2021
159,Mr Carreira,0.0,3,03/03/2021
160,Mr Dawkins,0.0,3,03/03/2021
161,Mr Moss,0.0,2,03/03/2021
162,Mr Dona,1.0,2,04/03/2021
163,Mr Hildebrand,0.0,3,04/03/2021
164,Mr Maddox,0.36,3,04/03/2021
165,Mrs Kriz,0.0,2,04/03/2021
166,Mrs Poddar,0.0,2,04/03/2021
167,Mr Grayson,0.17,4,05/03/2021
168,Mr MacIntyre,0.62,3,05/03/2021
169,Mr Swint,0.0,3,05/03/2021
170,Mr Wilson,0.5,2,05/03/2021
171,Mrs Blanton,0.44,4,05/03/2021
172,Mr Butterfield,0.0,2,06/03/2021
173,Mr Castell,0.0,3,06/03/2021
174,Mr Gockenbach,0.4,2,06/03/2021
175,Mr Gordon,0.4,3,06/03/2021
176,Mrs Roper,0.0,1,07/03/2021
177,Mrs Kotsonis,0.75,3,08/03/2021
178,Mr Hughsby,0.14,3,10/03/2021
179,Mr Yotov,1.0,2,10/03/2021
180,Mrs Hart,0.33,3,10/03/2021
181,Mrs Myrick,1.0,1,10/03/2021
182,Mrs Overfelt,0.57,3,10/03/2021
183,Mrs Tron,0.0,3,10/03/2021
184,Mr Ferrer,0.0,2,11/03/2021
185,Mr Pölking,0.67,2,11/03/2021
186,Mr Crowe,0.33,3,12/03/2021
187,Mr West,0.0,4,12/03/2021
188,Mrs Pelletier,1.0,3,12/03/2021
189,Mr Bolton,0.33,2,13/03/2021
190,Mr House,0.5,2,13/03/2021
191,Mr Howell,0.25,4,13/03/2021
192,Mr Koutras,0.75,3,13/03/2021
193,Mr Prichep,0.0,4,13/03/2021
194,Mr Roelle,0.0,3,13/03/2021
195,Mr Smith,0.4,3,13/03/2021
196,Mrs Odegard,0.23,4,13/03/2021
197,Mr Ryan,0.0,4,16/03/2021
198,Mr Blacks,0.0,3,17/03/2021
199,Mr Cortes,0.0,3,17/03/2021
200,Mr Elijah,1.0,2,17/03/2021
201,Mr Lanier,0.0,2,17/03/2021
202,Mr Sweed,0.0,2,17/03/2021
203,Mrs MacAllister,0.0,2,17/03/2021
204,Mr Dominguez,0.0,3,18/03/2021
205,Mr Fortune,0.2,3,18/03/2021
206,Mrs Trevino,0.0,1,18/03/2021
207,Mr Knutson,0.0,3,19/03/2021
208,Mr Norris,0.17,4,19/03/2021
209,Mrs Catlett,1.0,1,19/03/2021
210,Mr Takahito,0.67,2,20/03/2021
211,Mr Anderson,0.0,2,21/03/2021
212,Mr Engle,0.5,3,21/03/2021
213,Mr Hudgings,0.0,3,21/03/2021
214,Mrs Sink,0.0,2,21/03/2021
215,Mrs Goranitis,0.4,2,23/03/2021
216,Mrs Soltero,0.6,3,23/03/2021
217,Mrs Huffman,0.0,3,24/03/2021
218,Mr Hallsten,0.12,3,25/03/2021
219,Mr Hirasaki,0.0,2,25/03/2021
220,Mr Ulpright,0.25,3,25/03/2021
221,Mrs Ocampo,1.0,1,25/03/2021
222,Mrs Rupert,0.0,3,25/03/2021
223,Mr Coakley,0.0,3,26/03/2021
224,Mr Cox,0.36,3,26/03/2021
225,Mr DeMoss,0.0,2,26/03/2021
226,Mr Leslie,0.75,2,26/03/2021
227,Mr Shagiari,0.0,2,26/03/2021
228,Mrs Avila,0.0,2,26/03/2021
229,Mr Kennedy,0.11,3,28/03/2021
230,Mr Raglin,0.43,4,28/03/2021
231,Mrs Dodson,0.75,2,28/03/2021
232,Mrs Reese,0.0,3,28/03/2021
233,Mrs Sundaresam,0.0,2,28/03/2021
234,Mr Thornton,0.5,3,30/03/2021
235,Mrs Galang,0.83,3,30/03/2021
236,Mr Childs,0.67,3,31/03/2021
237,Mr DeCherney,0.17,3,31/03/2021
238,Mr Duston,0.0,3,31/03/2021
239,Mr Fuller,0.36,2,31/03/2021
240,Mr liebe,0.0,4,31/03/2021
241,Mr Noonan,0.0,3,31/03/2021
242,Mr Venier,0.33,3,31/03/2021
243,Mrs Kendrick,0.75,2,31/03/2021
244,Mrs Kimmel,0.0,3,31/03/2021
245,Mr Ballard,0.0,2,01/04/2021
246,Mr Jarboe,0.0,2,01/04/2021
247,Mr Matthias,0.25,3,01/04/2021
248,Mr Spruell,0.0,3,01/04/2021
249,Mr Stewart,0.0,3,01/04/2021
250,Mr Tillman,0.0,4,01/04/2021
251,Mrs Eno,0.25,2,01/04/2021
252,Mrs Nockton,0.2,3,01/04/2021
253,Mrs Meador,0.0,3,02/04/2021
254,Mrs Patel,0.0,2,03/04/2021
255,Mrs Pippenger,0.6,2,04/04/2021
256,Mr Olsen,0.38,4,07/04/2021
257,Mr Webber,0.33,3,07/04/2021
258,Mr Zydlo,0.57,2,07/04/2021
259,Mr Medina,0.3,4,08/04/2021
260,Mr Zettner,0.0,3,08/04/2021
261,Mrs Perrino,0.0,2,08/04/2021
262,Mr Edelman,0.8,2,09/04/2021
263,Mrs Eplett,0.62,2,09/04/2021
264,Mr Ballentine,0.57,4,10/04/2021
265,Mr Rawles,0.0,2,10/04/2021
266,Mrs Sayre,0.5,3,10/04/2021
267,Mrs Trafton,0.8,3,10/04/2021
268,Mr Goldenen,0.0,2,11/04/2021
269,Mr Dartt,0.67,2,12/04/2021
270,Mr Klamczynski,1.0,3,14/04/2021
271,Mr Zypern,0.0,2,14/04/2021
272,Mrs Baptist,0.0,4,14/04/2021
273,Mr Häberlin,0.82,4,15/04/2021
274,Mr Reiter,0.25,3,15/04/2021
275,Mr Willingham,0.0,3,15/04/2021
276,Mr Bell,0.75,2,16/04/2021
277,Mr Blumstein,0.0,3,16/04/2021
278,Mr Sievert,0.0,2,16/04/2021
279,Mrs Ludwig,0.0,2,16/04/2021
280,Mr Staavos,0.2,4,17/04/2021
281,Mr Wendt,0.17,2,17/04/2021
282,Mr Boyes,0.5,3,20/04/2021
283,Mr Wasserman,0.0,2,20/04/2021
284,Mr Lucas,1.0,1,21/04/2021
285,Mr Arnett,0.0,2,23/04/2021
286,Mr Holt,0.0,1,24/04/2021
287,Mr McGrath,0.0,2,24/04/2021
288,Mrs Pawlan,0.67,2,24/04/2021
289,Mr Delaney,0.25,3,25/04/2021
290,Mrs Andreadi,0.0,2,25/04/2021
291,Mr Becker,0.33,2,27/04/2021
292,Mr Sewall,0.0,3,27/04/2021
293,Mrs Hazard,0.0,1,27/04/2021
294,Mr Glantz,0.0,1,28/04/2021
295,Mr Cooley,0.33,3,29/04/2021
296,Mr Black,0.71,3,30/04/2021
297,Mr Currie,0.0,2,30/04/2021
298,Mr Hawley,1.0,2,30/04/2021
299,Mr Sorensen,0.0,3,30/04/2021
300,Mrs Mills,0.0,1,03/05/2021
301,Mr Allen,0.25,4,04/05/2021
302,Mr Fisher,0.43,3,04/05/2021
303,Mr Van Huff,0.6,3,04/05/2021
304,Mrs McAfee,0.5,2,04/05/2021
305,Mr Ritter,0.0,2,05/05/2021
306,Mr Stivers,0.0,2,05/05/2021
307,Mrs Benoit,0.5,2,05/05/2021
308,Mrs Jordon,0.5,2,06/05/2021
309,Mr Triggs,0.67,2,08/05/2021
310,Mrs Huthwaite,1.0,1,12/05/2021
311,Mr Voltz,0.0,2,13/05/2021
312,Mrs Ward,0.0,2,13/05/2021
313,Mr Blume,1.0,1,14/05/2021
314,Mr Braxton,0.67,3,14/05/2021
315,Mr Grady,0.36,3,14/05/2021
316,Mr McGarr,0.0,2,14/05/2021
317,Mr Turnell,0.0,1,14/05/2021
318,Mr Wiener,0.0,2,14/05/2021
319,Mrs Caffey,0.0,2,14/05/2021
320,Mrs Fjeld,0.43,2,14/05/2021
321,Mrs Jumper,0.0,3,14/05/2021
322,Mr Bertelson,0.3,4,15/05/2021
323,Mr Phonely,0.55,3,15/05/2021
324,Mr Smayling,0.0,1,15/05/2021
325,Mr Wooten,0.0,1,16/05/2021
326,Mr Braden,0.2,2,18/05/2021
327,Mr Bixby,1.0,1,19/05/2021
328,Mr Brandow,0.4,2,19/05/2021
329,Mr Tyler,0.75,3,19/05/2021
330,Mr Brown,0.44,3,20/05/2021
331,Mr Catini,0.75,4,20/05/2021
332,Mr Christensen,0.2,2,20/05/2021
333,Mr Haines,0.0,3,20/05/2021
334,Mr Cazamias,0.0,2,22/05/2021
335,Mr Sissman,0.5,2,23/05/2021
336,Mr Chance,0.0,2,25/05/2021
337,Mr Donatelli,0.0,2,26/05/2021
338,Mr Willman,0.27,3,29/05/2021
339,Mr Mathis,0.0,1,30/05/2021
340,Mr Beeghly,0.5,2,01/06/2021
341,Mr Katz,0.0,2,03/06/2021
342,Mrs Schild,0.0,2,03/06/2021
343,Mr Craven,0.14,3,04/06/2021
344,Mr Crouse,0.5,2,08/06/2021
345,Mr Cohen,0.71,3,10/06/2021
346,Mr Nelson,1.0,1,10/06/2021
347,Mrs Greene,0.6,3,10/06/2021
348,Mrs Vittorini,0.0,1,10/06/2021
349,Mr Gilpin,0.0,2,11/06/2021
350,Mrs Wallace,0.0,1,11/06/2021
351,Mr Eichhorn,0.5,3,13/06/2021
352,Mrs Rosenblatt,0.0,1,15/06/2021
353,Mrs Satty,0.6,3,15/06/2021
354,Mr Adams,0.0,1,16/06/2021
355,Mr Foulston,0.0,2,16/06/2021
356,Mr Pisteka,0.0,1,16/06/2021
357,Mr LaWare,0.33,2,17/06/2021
358,Mr Savely,1.0,1,17/06/2021
359,Mrs McNair,1.0,2,17/06/2021
360,Mr Selesnick,1.0,1,18/06/2021
361,Mrs Van,0.0,1,18/06/2021
362,Mr Boland,0.0,2,19/06/2021
363,Mr Hopkins,0.0,3,19/06/2021
364,Mr Kelly,0.6,2,25/06/2021
365,Mr Bavinger,0.67,2,26/06/2021
366,Mr Haberlin,0.0,2,27/06/2021
367,Mr Armold,0.0,1,29/06/2021
368,Mr Brittain,0.33,3,30/06/2021
369,Mrs Krohn,1.0,2,30/06/2021
370,Mrs Taslimi,0.6,2,30/06/2021
371,Mr Phan,0.0,2,03/07/2021
372,Mrs Gnade,0.0,1,09/07/2021
373,Mrs Stugart,0.0,1,11/07/2021
374,Mr Mautz,0.0,1,13/07/2021
375,Mr Phelps,0.0,2,13/07/2021
376,Mr Hansen,0.5,2,14/07/2021
377,Mr Poirier,0.57,2,14/07/2021
378,Mr McMahon,0.0,1,21/07/2021
379,Mr Heidel,0.0,1,27/07/2021
380,Mr Drucker,0.0,1,30/07/2021
